end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-24 09:23:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,10.00,31716.00
2026-02-24 09:24:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,437.00,32153.00
2026-02-24 09:25:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,74.00,32227.00
2026-02-24 09:26:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,16.00,32243.00
2026-02-24 09:27:00,0.5900,0.5900,0.6000,0.6000,0.5929,0.5900,257.00,32500.00
2026-02-24 09:28:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,14.00,32514.00
2026-02-24 09:29:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,769.00,33283.00
2026-02-24 09:30:00,,,,,,0.6000,0.00,33283.00
2026-02-24 09:31:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,79.00,33362.00
2026-02-24 09:32:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,41.00,33403.00
2026-02-24 09:33:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.6000,257.00,33154.00
2026-02-24 09:34:00,,,,,,0.5900,0.00,33154.00
2026-02-24 09:35:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.5900,71.00,33225.00
2026-02-24 09:36:00,,,,,,0.6000,0.00,33225.00
2026-02-24 09:37:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,32.00,33257.00
2026-02-24 09:38:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,2027.00,35284.00
2026-02-24 09:39:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,27.00,35311.00
2026-02-24 09:40:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,272.00,35583.00
2026-02-24 09:41:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,2.00,35585.00
2026-02-24 09:42:00,0.6000,0.5900,0.6000,0.5900,0.5935,0.6000,189.00,35651.00
2026-02-24 09:43:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.5900,59.00,35710.00
