end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-24 19:02:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,14.00,56851.00
2026-02-24 19:03:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,242.00,57093.00
2026-02-24 19:04:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,6.00,57099.00
2026-02-24 19:05:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,169.00,57268.00
2026-02-24 19:06:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,301.00,57569.00
2026-02-24 19:07:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,30.00,57599.00
2026-02-24 19:09:00,,,,,,0.6400,0.00,57599.00
2026-02-24 19:10:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,45.00,57644.00
2026-02-24 19:11:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,30.00,57674.00
2026-02-24 19:12:00,,,,,,0.6400,0.00,57674.00
2026-02-24 19:13:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,489.00,58163.00
2026-02-24 19:14:00,,,,,,0.6400,0.00,58163.00
2026-02-24 19:15:00,,,,,,0.6400,0.00,58163.00
2026-02-24 19:16:00,,,,,,0.6400,0.00,58163.00
2026-02-24 19:17:00,,,,,,0.6400,0.00,58163.00
2026-02-24 19:18:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,15.00,58178.00
2026-02-24 19:19:00,,,,,,0.6400,0.00,58178.00
2026-02-24 19:20:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,15.00,58193.00
2026-02-24 19:22:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,26.00,58219.00
2026-02-24 19:23:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,30.00,58249.00
2026-02-24 19:24:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,746.00,58995.00
2026-02-24 19:25:00,,,,,,0.6400,0.00,58995.00
2026-02-24 19:26:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,700.00,59695.00
2026-02-24 19:27:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,7085.00,66780.00
2026-02-24 19:28:00,,,,,,0.6400,0.00,66780.00
2026-02-24 19:29:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,152.00,66932.00
2026-02-24 19:30:00,,,,,,0.6400,0.00,66932.00
2026-02-24 19:31:00,,,,,,0.6400,0.00,66932.00
2026-02-24 19:32:00,,,,,,0.6400,0.00,66932.00
2026-02-24 19:33:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,305.00,67237.00
2026-02-24 19:34:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,266.00,67503.00
2026-02-24 19:35:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,757.00,68260.00
2026-02-24 19:36:00,,,,,,0.6400,0.00,68260.00
2026-02-24 19:37:00,,,,,,0.6400,0.00,68260.00
2026-02-24 19:38:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,72.00,68332.00
2026-02-24 19:39:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,461.00,68793.00
2026-02-24 19:40:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,225.00,69018.00
2026-02-24 19:41:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,15.00,69033.00
2026-02-24 19:42:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,290.00,69323.00
2026-02-24 19:43:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,15.00,69338.00
2026-02-24 19:44:00,,,,,,0.6400,0.00,69338.00
2026-02-24 19:46:00,,,,,,0.6400,0.00,69338.00
2026-02-24 19:47:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,66.00,69404.00
2026-02-24 19:48:00,,,,,,0.6400,0.00,69404.00
2026-02-24 19:49:00,,,,,,0.6400,0.00,69404.00
2026-02-24 19:50:00,,,,,,0.6400,0.00,69404.00
2026-02-24 19:51:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,249.00,69653.00
2026-02-24 19:52:00,,,,,,0.6400,0.00,69653.00
2026-02-24 19:53:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,18.00,69671.00
2026-02-24 19:54:00,,,,,,0.6400,0.00,69671.00
2026-02-24 19:55:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,74.00,69745.00
2026-02-24 19:56:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,9.00,69754.00
2026-02-24 19:58:00,,,,,,0.6400,0.00,69754.00
2026-02-24 19:59:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,1522.00,71276.00
2026-02-24 20:00:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,15.00,71291.00
2026-02-24 20:01:00,,,,,,0.6400,0.00,71291.00
2026-02-24 20:02:00,,,,,,0.6400,0.00,71291.00
2026-02-24 20:03:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,105.00,71396.00
2026-02-24 20:04:00,,,,,,0.6400,0.00,71396.00
2026-02-24 20:05:00,,,,,,0.6400,0.00,71396.00
2026-02-24 20:06:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,111.00,71406.00
2026-02-24 20:07:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,38.00,71444.00
2026-02-24 20:08:00,,,,,,0.6400,0.00,71444.00
2026-02-24 20:09:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,19.00,71463.00
2026-02-24 20:10:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,38.00,71501.00
2026-02-24 20:11:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,466.00,71967.00
2026-02-24 20:12:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,1240.00,73207.00
2026-02-24 20:13:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,298.00,73505.00
2026-02-24 20:14:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,30.00,73535.00
