end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-23 20:13:00,,,,,,0.3300,0.00,2278.00
2026-02-23 20:17:00,,,,,,0.3300,0.00,2278.00
2026-02-23 20:18:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,57.00,2335.00
2026-02-23 20:20:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,285.00,2597.00
2026-02-23 20:22:00,,,,,,0.3300,0.00,2597.00
2026-02-23 20:24:00,,,,,,0.3300,0.00,2597.00
2026-02-23 20:25:00,,,,,,0.3300,0.00,2597.00
2026-02-23 20:26:00,,,,,,0.3300,0.00,2597.00
2026-02-23 20:27:00,,,,,,0.3300,0.00,2597.00
2026-02-23 20:28:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,14.00,2597.00
2026-02-23 20:31:00,,,,,,0.3300,0.00,2597.00
2026-02-23 20:34:00,,,,,,0.3300,0.00,2597.00
2026-02-23 20:37:00,,,,,,0.3300,0.00,2597.00
2026-02-23 20:38:00,,,,,,0.3300,0.00,2597.00
2026-02-23 20:41:00,,,,,,0.3300,0.00,2597.00
2026-02-23 20:43:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,100.00,2597.00
2026-02-23 20:47:00,0.3200,0.3200,0.3200,0.3200,0.3200,0.3300,28.00,2597.00
2026-02-23 20:48:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3200,2.00,2597.00
2026-02-23 20:49:00,,,,,,0.3300,0.00,2597.00
2026-02-23 20:50:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,2.00,2599.00
2026-02-23 20:51:00,,,,,,0.3300,0.00,2599.00
2026-02-23 20:52:00,,,,,,0.3300,0.00,2599.00
2026-02-23 20:53:00,,,,,,0.3300,0.00,2599.00
2026-02-23 20:54:00,,,,,,0.3300,0.00,2599.00
2026-02-23 20:55:00,,,,,,0.3300,0.00,2599.00
2026-02-23 20:59:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,1.00,2600.00
2026-02-23 21:00:00,,,,,,0.3300,0.00,2600.00
2026-02-23 21:01:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,14.00,2614.00
2026-02-23 21:02:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,138.00,2752.00
2026-02-23 21:05:00,,,,,,0.3300,0.00,2752.00
2026-02-23 21:06:00,,,,,,0.3300,0.00,2752.00
2026-02-23 21:07:00,,,,,,0.3300,0.00,2752.00
2026-02-23 21:08:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,5.00,2757.00
2026-02-23 21:09:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,1447.00,4204.00
2026-02-23 21:10:00,,,,,,0.3300,0.00,4204.00
2026-02-23 21:11:00,,,,,,0.3300,0.00,4204.00
2026-02-23 21:13:00,0.3300,0.3300,0.3400,0.3400,0.3391,0.3300,11273.00,15431.00
2026-02-23 21:14:00,0.3300,0.3300,0.3400,0.3400,0.3378,0.3400,814.00,16245.00
2026-02-23 21:15:00,,,,,,0.3400,0.00,16245.00
2026-02-23 21:16:00,,,,,,0.3400,0.00,16245.00
2026-02-23 21:18:00,,,,,,0.3400,0.00,16245.00
2026-02-23 21:19:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3400,2.00,16247.00
2026-02-23 21:20:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,14.00,16261.00
2026-02-23 21:22:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,72.00,16333.00
2026-02-23 21:24:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,29.00,16362.00
2026-02-23 21:26:00,,,,,,0.3300,0.00,16362.00
2026-02-23 21:27:00,,,,,,0.3300,0.00,16362.00
2026-02-23 21:28:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,100.00,16462.00
2026-02-23 21:29:00,,,,,,0.3300,0.00,16462.00
2026-02-23 21:30:00,,,,,,0.3300,0.00,16462.00
2026-02-23 21:31:00,,,,,,0.3300,0.00,16462.00
2026-02-23 21:32:00,0.3300,0.3300,0.3900,0.3900,0.3523,0.3300,7874.00,24284.00
2026-02-23 21:33:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3900,363.00,24284.00
2026-02-23 21:34:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3400,1.00,24285.00
2026-02-23 21:35:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,351.00,24636.00
2026-02-23 21:36:00,,,,,,0.3300,0.00,24636.00
2026-02-23 21:38:00,,,,,,0.3300,0.00,24636.00
2026-02-23 21:41:00,,,,,,0.3300,0.00,24636.00
2026-02-23 21:43:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3300,849.00,25485.00
2026-02-23 21:44:00,,,,,,0.3400,0.00,25485.00
2026-02-23 21:45:00,,,,,,0.3400,0.00,25485.00
2026-02-23 21:46:00,,,,,,0.3400,0.00,25485.00
2026-02-23 21:48:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,27.00,25512.00
2026-02-23 21:49:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,83.00,25595.00
2026-02-23 21:50:00,,,,,,0.3400,0.00,25595.00
2026-02-23 21:52:00,,,,,,0.3400,0.00,25595.00
2026-02-23 21:53:00,,,,,,0.3400,0.00,25595.00
2026-02-23 21:54:00,,,,,,0.3400,0.00,25595.00
2026-02-23 21:55:00,,,,,,0.3400,0.00,25595.00
2026-02-23 21:56:00,,,,,,0.3400,0.00,25595.00
2026-02-23 21:57:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,13.00,25608.00
2026-02-23 21:58:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,26.00,25634.00
2026-02-23 21:59:00,,,,,,0.3400,0.00,25634.00
2026-02-23 22:00:00,,,,,,0.3400,0.00,25634.00
2026-02-23 22:01:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,33.00,25667.00
2026-02-23 22:02:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,225.00,25892.00
2026-02-23 22:04:00,,,,,,0.3400,0.00,25892.00
2026-02-23 22:05:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,288.00,26180.00
2026-02-23 22:06:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,28.00,26208.00
2026-02-23 22:07:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,1325.00,27533.00
