end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-25 03:03:00,0.6300,0.6300,0.6400,0.6400,0.6399,0.6400,229.00,103905.00
2026-02-25 03:04:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,36.00,103941.00
2026-02-25 03:05:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,15.00,103956.00
2026-02-25 03:06:00,,,,,,0.6400,0.00,103956.00
2026-02-25 03:07:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,152.00,104108.00
2026-02-25 03:09:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,73.00,104181.00
2026-02-25 03:10:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,188.00,104369.00
2026-02-25 03:11:00,,,,,,0.6400,0.00,104369.00
2026-02-25 03:12:00,,,,,,0.6400,0.00,104369.00
2026-02-25 03:13:00,,,,,,0.6400,0.00,104369.00
2026-02-25 03:15:00,,,,,,0.6400,0.00,104369.00
2026-02-25 03:16:00,0.6400,0.6300,0.6400,0.6300,0.6373,0.6400,394.00,104553.00
2026-02-25 03:17:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6300,37.00,104590.00
2026-02-25 03:18:00,,,,,,0.6400,0.00,104590.00
2026-02-25 03:19:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,1364.00,105954.00
2026-02-25 03:20:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,109.00,106063.00
2026-02-25 03:21:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,140.00,106203.00
2026-02-25 03:22:00,,,,,,0.6400,0.00,106203.00
2026-02-25 03:23:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,37.00,106240.00
2026-02-25 03:24:00,,,,,,0.6400,0.00,106240.00
2026-02-25 03:25:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,333.00,106573.00
2026-02-25 03:26:00,0.6500,0.6400,0.6500,0.6400,0.6474,0.6400,2941.00,109514.00
2026-02-25 03:27:00,,,,,,0.6400,0.00,109514.00
2026-02-25 03:28:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,14.00,109528.00
2026-02-25 03:29:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,15.00,109543.00
2026-02-25 03:30:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,7.00,109550.00
2026-02-25 03:31:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,306.00,109856.00
2026-02-25 03:32:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,37.00,109893.00
2026-02-25 03:33:00,,,,,,0.6400,0.00,109893.00
2026-02-25 03:34:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,83.00,109976.00
2026-02-25 03:35:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,7.00,109983.00
2026-02-25 03:36:00,,,,,,0.6400,0.00,109983.00
2026-02-25 03:37:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,7.00,109990.00
2026-02-25 03:38:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,402.00,110392.00
2026-02-25 03:39:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,9.00,110401.00
2026-02-25 03:40:00,,,,,,0.6400,0.00,110401.00
2026-02-25 03:41:00,,,,,,0.6400,0.00,110401.00
2026-02-25 03:42:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,191.00,110592.00
2026-02-25 03:43:00,,,,,,0.6400,0.00,110592.00
2026-02-25 03:44:00,,,,,,0.6400,0.00,110592.00
2026-02-25 03:45:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,4.00,110596.00
2026-02-25 03:46:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,84.00,110680.00
2026-02-25 03:47:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,128.00,110808.00
2026-02-25 03:48:00,,,,,,0.6400,0.00,110808.00
2026-02-25 03:49:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,51.00,110859.00
2026-02-25 03:50:00,,,,,,0.6400,0.00,110859.00
