end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-25 18:46:00,,,,,,0.3500,0.00,19391.00
2026-02-25 18:50:00,,,,,,0.3500,0.00,19391.00
2026-02-25 18:53:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3500,40.00,19431.00
2026-02-25 18:55:00,,,,,,0.3500,0.00,19431.00
2026-02-25 18:56:00,,,,,,0.3500,0.00,19431.00
2026-02-25 18:57:00,,,,,,0.3500,0.00,19431.00
2026-02-25 19:05:00,,,,,,0.3500,0.00,19431.00
2026-02-25 19:09:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3500,16.00,19447.00
2026-02-25 19:11:00,,,,,,0.3500,0.00,19447.00
2026-02-25 19:13:00,,,,,,0.3500,0.00,19447.00
2026-02-25 19:20:00,,,,,,0.3500,0.00,19447.00
2026-02-25 19:21:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3500,140.00,19489.00
2026-02-25 19:22:00,,,,,,0.3400,0.00,19489.00
2026-02-25 19:23:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,9.00,19498.00
2026-02-25 19:24:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,1405.00,20903.00
2026-02-25 19:25:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,210.00,21113.00
2026-02-25 19:26:00,,,,,,0.3400,0.00,21113.00
2026-02-25 19:27:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,140.00,21253.00
2026-02-25 19:28:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,5.00,21258.00
2026-02-25 19:29:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,338.00,21596.00
2026-02-25 19:30:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,25.00,21621.00
2026-02-25 19:34:00,0.3400,0.3400,0.3500,0.3500,0.3457,0.3400,4728.00,26349.00
2026-02-25 19:41:00,,,,,,0.3500,0.00,26349.00
2026-02-25 19:42:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3500,1351.00,27700.00
2026-02-25 19:43:00,,,,,,0.3500,0.00,27700.00
2026-02-25 19:45:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3500,8.00,27708.00
2026-02-25 19:49:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3500,32.00,27740.00
2026-02-25 19:51:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3500,4.00,27744.00
2026-02-25 19:53:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3500,200.00,27944.00
2026-02-25 19:56:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3500,1366.00,29310.00
2026-02-25 19:58:00,,,,,,0.3500,0.00,29310.00
2026-02-25 20:00:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3500,347.00,29657.00
2026-02-25 20:04:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3500,5.00,29662.00
2026-02-25 20:06:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3500,15.00,29677.00
2026-02-25 20:07:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3500,27.00,29704.00
2026-02-25 20:09:00,,,,,,0.3500,0.00,29704.00
2026-02-25 20:10:00,,,,,,0.3500,0.00,29704.00
2026-02-25 20:11:00,,,,,,0.3500,0.00,29704.00
2026-02-25 20:12:00,,,,,,0.3500,0.00,29704.00
2026-02-25 20:14:00,0.3400,0.3400,0.3500,0.3500,0.3415,0.3500,333.00,29471.00
2026-02-25 20:15:00,,,,,,0.3500,0.00,29471.00
2026-02-25 20:19:00,,,,,,0.3500,0.00,29471.00
2026-02-25 20:26:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3500,40.00,29431.00
2026-02-25 20:31:00,,,,,,0.3400,0.00,29431.00
2026-02-25 20:32:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3400,136.00,29567.00
2026-02-25 20:34:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3500,1.00,29568.00
2026-02-25 20:35:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3500,273.00,29841.00
2026-02-25 20:36:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3500,68.00,29909.00
2026-02-25 20:37:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3500,200.00,30109.00
2026-02-25 20:38:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3500,229.00,30338.00
2026-02-25 20:42:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3500,185.00,30523.00
2026-02-25 20:43:00,,,,,,0.3500,0.00,30523.00
2026-02-25 20:45:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3500,10.00,30533.00
2026-02-25 20:47:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3500,150.00,30683.00
2026-02-25 20:48:00,0.3400,0.3400,0.3500,0.3500,0.3477,0.3500,528.00,30965.00
2026-02-25 20:49:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3500,65.00,31030.00
2026-02-25 20:53:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3500,409.00,31439.00
2026-02-25 20:54:00,,,,,,0.3500,0.00,31439.00
2026-02-25 20:55:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3500,196.00,31635.00
2026-02-25 20:56:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3500,109.00,31744.00
2026-02-25 20:57:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3500,81.00,31825.00
2026-02-25 20:58:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3500,540.00,32365.00
2026-02-25 20:59:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3500,231.00,32596.00
2026-02-25 21:00:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3500,689.00,33285.00
2026-02-25 21:02:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3500,2980.00,36265.00
2026-02-25 21:03:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3500,2790.00,39055.00
2026-02-25 21:04:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3500,604.00,39659.00
2026-02-25 21:05:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3500,1010.00,40669.00
2026-02-25 21:06:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3500,40.00,40709.00
2026-02-25 21:07:00,0.3500,0.3400,0.3500,0.3500,0.3500,0.3500,8068.00,48772.00
2026-02-25 21:08:00,0.3500,0.2300,0.3500,0.2300,0.3227,0.3500,4324.00,52551.00
2026-02-25 21:09:00,0.3100,0.2500,0.3400,0.2700,0.2706,0.2300,541.00,52791.00
2026-02-25 21:10:00,0.2700,0.2100,0.2700,0.2100,0.2489,0.2700,734.00,53472.00
2026-02-25 21:11:00,0.2200,0.2200,0.2300,0.2300,0.2297,0.2100,531.00,54003.00
2026-02-25 21:12:00,0.2300,0.2000,0.2800,0.2600,0.2522,0.2300,1576.00,54934.00
2026-02-25 21:13:00,0.2500,0.2300,0.2900,0.2300,0.2452,0.2600,1013.00,55947.00
2026-02-25 21:14:00,0.2500,0.2500,0.2700,0.2700,0.2662,0.2300,967.00,56897.00
2026-02-25 21:15:00,0.3100,0.2300,0.3100,0.2300,0.2322,0.2700,5523.00,62420.00
2026-02-25 21:16:00,0.2600,0.2300,0.3000,0.2300,0.2555,0.2300,834.00,63226.00
2026-02-25 21:17:00,0.2800,0.2300,0.4000,0.2500,0.3107,0.2300,22018.00,80758.00
2026-02-25 21:18:00,0.2500,0.2100,0.2500,0.2100,0.2267,0.2500,1408.00,81616.00
2026-02-25 21:19:00,0.2000,0.2000,0.2800,0.2200,0.2190,0.2100,2333.00,83651.00
2026-02-25 21:20:00,0.2300,0.2200,0.2300,0.2200,0.2258,0.2200,883.00,84534.00
2026-02-25 21:21:00,0.2200,0.2100,0.2300,0.2300,0.2210,0.2200,185.00,84719.00
2026-02-25 21:22:00,0.2100,0.2100,0.2400,0.2200,0.2289,0.2300,445.00,85156.00
2026-02-25 21:23:00,0.2200,0.2200,0.2200,0.2200,0.2200,0.2200,500.00,85656.00
2026-02-25 21:24:00,0.2200,0.2200,0.2300,0.2300,0.2202,0.2200,46.00,85702.00
2026-02-25 21:25:00,0.2200,0.1600,0.2200,0.1600,0.1911,0.2300,777.00,85307.00
