end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-25 14:11:00,0.7200,0.7200,0.7200,0.7200,0.7200,0.7200,33.00,7870.00
2026-02-25 14:15:00,0.7200,0.7200,0.7200,0.7200,0.7200,0.7200,30.00,7900.00
2026-02-25 14:16:00,,,,,,0.7200,0.00,7900.00
2026-02-25 14:17:00,,,,,,0.7200,0.00,7900.00
2026-02-25 14:18:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7200,21.00,7921.00
2026-02-25 14:20:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,27.00,7948.00
2026-02-25 14:24:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,8.00,7956.00
2026-02-25 14:26:00,,,,,,0.7100,0.00,7956.00
2026-02-25 14:30:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,27.00,7983.00
2026-02-25 14:33:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,20.00,8003.00
2026-02-25 14:34:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,8.00,8011.00
2026-02-25 14:36:00,,,,,,0.7100,0.00,8011.00
2026-02-25 14:37:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,20.00,8031.00
2026-02-25 14:39:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,41.00,8072.00
2026-02-25 14:40:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7100,30.00,8042.00
2026-02-25 14:41:00,,,,,,0.7000,0.00,8042.00
2026-02-25 14:42:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7000,5.00,8047.00
2026-02-25 14:45:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,414.00,8461.00
2026-02-25 14:46:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,13.00,8474.00
2026-02-25 14:47:00,,,,,,0.7100,0.00,8474.00
2026-02-25 14:48:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,67.00,8541.00
2026-02-25 14:49:00,,,,,,0.7100,0.00,8541.00
2026-02-25 14:50:00,0.7300,0.7300,0.7300,0.7300,0.7300,0.7100,1.00,8542.00
2026-02-25 14:51:00,0.7300,0.7300,0.7300,0.7300,0.7300,0.7300,75.00,8617.00
2026-02-25 14:52:00,0.7200,0.7200,0.7200,0.7200,0.7200,0.7300,1.00,8618.00
2026-02-25 14:53:00,0.6900,0.6900,0.7100,0.7100,0.6905,0.7200,78.00,8620.00
2026-02-25 14:54:00,0.6800,0.6600,0.6800,0.6600,0.6772,0.7100,1693.00,10313.00
2026-02-25 14:55:00,0.6600,0.6600,0.7200,0.7200,0.6684,0.6600,7486.00,17799.00
2026-02-25 14:56:00,0.6900,0.6700,0.7100,0.6700,0.6778,0.7200,3059.00,18568.00
2026-02-25 14:57:00,0.6900,0.6800,0.7100,0.7100,0.6920,0.6700,508.00,18865.00
2026-02-25 14:58:00,0.6900,0.6800,0.6900,0.6800,0.6867,0.7100,21.00,18886.00
2026-02-25 14:59:00,0.6900,0.6800,0.6900,0.6800,0.6899,0.6800,141.00,19027.00
2026-02-25 15:00:00,0.6700,0.6700,0.7000,0.7000,0.6783,0.6800,225.00,19058.00
2026-02-25 15:01:00,0.6900,0.6800,0.7000,0.7000,0.6900,0.7000,114.00,19072.00
2026-02-25 15:02:00,0.7200,0.6900,0.7200,0.6900,0.6901,0.7000,279.00,19351.00
2026-02-25 15:03:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.6900,10.00,19361.00
2026-02-25 15:04:00,,,,,,0.7100,0.00,19361.00
2026-02-25 15:05:00,,,,,,0.7100,0.00,19361.00
2026-02-25 15:06:00,0.6700,0.6600,0.6800,0.6800,0.6700,0.7100,733.00,20090.00
2026-02-25 15:07:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,28.00,20118.00
2026-02-25 15:08:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6800,41.00,20159.00
2026-02-25 15:09:00,0.6800,0.6800,0.7100,0.7100,0.6950,0.6700,2.00,20160.00
2026-02-25 15:10:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,27.00,20187.00
2026-02-25 15:11:00,0.6900,0.6900,0.7100,0.7000,0.7029,0.7100,17.00,20201.00
2026-02-25 15:12:00,,,,,,0.7000,0.00,20201.00
2026-02-25 15:13:00,0.7500,0.7500,0.7700,0.7700,0.7608,0.7000,368.00,20568.00
2026-02-25 15:14:00,0.7700,0.7700,0.8200,0.8200,0.8004,0.7700,285.00,20637.00
2026-02-25 15:15:00,0.8100,0.8100,0.8300,0.8300,0.8102,0.8200,519.00,21156.00
2026-02-25 15:16:00,0.8400,0.8400,0.8500,0.8500,0.8458,0.8300,12.00,21168.00
2026-02-25 15:17:00,0.8200,0.8200,0.8500,0.8500,0.8496,0.8500,68.00,21236.00
2026-02-25 15:18:00,0.8400,0.7700,0.8400,0.8100,0.8082,0.8500,139.00,21244.00
2026-02-25 15:19:00,0.8200,0.8100,0.8500,0.8500,0.8351,0.8100,468.00,21361.00
2026-02-25 15:20:00,0.8100,0.8100,0.8300,0.8300,0.8292,0.8500,156.00,21517.00
2026-02-25 15:21:00,0.8300,0.8300,0.8500,0.8500,0.8443,0.8300,160.00,21672.00
2026-02-25 15:22:00,,,,,,0.8500,0.00,21672.00
2026-02-25 15:23:00,0.8600,0.8300,0.8900,0.8300,0.8616,0.8500,9826.00,31318.00
2026-02-25 15:24:00,0.8400,0.8200,0.8600,0.8600,0.8268,0.8300,3451.00,31526.00
2026-02-25 15:25:00,,,,,,0.8600,0.00,31526.00
2026-02-25 15:26:00,0.8300,0.8300,0.8300,0.8300,0.8300,0.8600,3.00,31529.00
2026-02-25 15:27:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.8300,315.00,31844.00
2026-02-25 15:28:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.8200,10.00,31844.00
2026-02-25 15:29:00,0.7400,0.7200,0.7800,0.7200,0.7399,0.8000,3656.00,31667.00
2026-02-25 15:30:00,0.7100,0.7000,0.7400,0.7300,0.7110,0.7200,220.00,31887.00
2026-02-25 15:31:00,0.7000,0.6700,0.7900,0.6700,0.7050,0.7300,101.00,31908.00
2026-02-25 15:32:00,0.6800,0.6500,0.6800,0.6500,0.6800,0.6700,4772.00,36680.00
2026-02-25 15:33:00,0.6500,0.6100,0.6500,0.6400,0.6256,0.6500,80.00,36675.00
2026-02-25 15:34:00,0.6400,0.6300,0.6700,0.6700,0.6354,0.6400,546.00,36393.00
2026-02-25 15:35:00,0.6700,0.6400,0.6800,0.6400,0.6527,0.6700,647.00,36993.00
2026-02-25 15:36:00,0.6500,0.5900,0.6500,0.6100,0.6033,0.6400,1129.00,37636.00
2026-02-25 15:37:00,0.6000,0.6000,0.6100,0.6100,0.6100,0.6100,1202.00,38838.00
2026-02-25 15:38:00,0.6100,0.5900,0.6300,0.5900,0.6158,0.6100,1723.00,40167.00
2026-02-25 15:39:00,0.5900,0.5800,0.6700,0.6700,0.5841,0.5900,103.00,40132.00
2026-02-25 15:40:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6700,600.00,40732.00
2026-02-25 15:41:00,0.6800,0.6800,0.7200,0.7200,0.6805,0.6500,3062.00,42155.00
2026-02-25 15:42:00,0.7200,0.6800,0.7200,0.6900,0.6893,0.7200,1387.00,43542.00
2026-02-25 15:43:00,0.7300,0.7300,0.7900,0.7400,0.7593,0.6900,733.00,44265.00
2026-02-25 15:44:00,0.7500,0.6600,0.8600,0.8100,0.8196,0.7400,85.00,44308.00
2026-02-25 15:45:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.8100,1262.00,45570.00
2026-02-25 15:46:00,0.8300,0.8300,0.8400,0.8300,0.8302,0.6900,41.00,45558.00
2026-02-25 15:47:00,0.8300,0.8300,0.8400,0.8300,0.8300,0.8300,944.00,44617.00
2026-02-25 15:48:00,0.8200,0.8200,0.8400,0.8400,0.8208,0.8300,266.00,44392.00
2026-02-25 15:49:00,0.8500,0.8500,0.8900,0.8900,0.8655,0.8400,77.00,44379.00
2026-02-25 15:50:00,0.8500,0.8500,0.8800,0.8700,0.8625,0.8900,296.00,44193.00
2026-02-25 15:51:00,0.8600,0.8600,0.8700,0.8700,0.8610,0.8700,89.00,44122.00
2026-02-25 15:52:00,0.8400,0.8100,0.8400,0.8100,0.8374,0.8700,80.00,44125.00
2026-02-25 15:53:00,0.8000,0.7600,0.8000,0.7600,0.7749,0.8100,202.00,44187.00
2026-02-25 15:54:00,0.7800,0.7800,0.8000,0.8000,0.7870,0.7600,441.00,44524.00
2026-02-25 15:55:00,0.8100,0.8100,0.8200,0.8200,0.8178,0.8000,464.00,44988.00
2026-02-25 15:56:00,0.8200,0.7600,0.8200,0.7600,0.7758,0.8200,199.00,45095.00
2026-02-25 15:57:00,0.7600,0.7600,0.8100,0.8000,0.7749,0.7600,41.00,45108.00
2026-02-25 15:58:00,0.8300,0.8300,0.8300,0.8300,0.8300,0.8000,5.00,45103.00
2026-02-25 15:59:00,0.8700,0.8600,0.8700,0.8600,0.8603,0.8300,92.00,45017.00
2026-02-25 16:00:00,0.8700,0.8500,0.8700,0.8500,0.8652,0.8600,1736.00,45770.00
2026-02-25 16:01:00,0.8600,0.8600,0.8600,0.8600,0.8600,0.8500,331.00,46101.00
2026-02-25 16:02:00,0.8400,0.8400,0.8800,0.8700,0.8678,0.8600,1045.00,46943.00
2026-02-25 16:03:00,0.8700,0.8600,0.9000,0.9000,0.8773,0.8700,730.00,47496.00
2026-02-25 16:04:00,0.8900,0.8500,0.8900,0.8600,0.8687,0.9000,1694.00,49146.00
2026-02-25 16:05:00,0.8600,0.8600,0.9100,0.9100,0.8675,0.8600,4665.00,51617.00
