end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-25 22:06:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,15.00,12115.00
2026-02-25 22:07:00,,,,,,0.3000,0.00,12115.00
2026-02-25 22:08:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,46.00,12161.00
2026-02-25 22:09:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,31.00,12192.00
2026-02-25 22:10:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,84.00,12276.00
2026-02-25 22:11:00,,,,,,0.3000,0.00,12276.00
2026-02-25 22:12:00,0.3000,0.2900,0.3000,0.2900,0.2948,0.3000,163.00,12271.00
2026-02-25 22:13:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.2900,71.00,12342.00
2026-02-25 22:14:00,,,,,,0.3000,0.00,12342.00
2026-02-25 22:15:00,,,,,,0.3000,0.00,12342.00
2026-02-25 22:16:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,15.00,12357.00
2026-02-25 22:17:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,12.00,12369.00
2026-02-25 22:18:00,,,,,,0.3000,0.00,12369.00
2026-02-25 22:19:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,156.00,12525.00
2026-02-25 22:20:00,,,,,,0.3000,0.00,12525.00
2026-02-25 22:21:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,79.00,12604.00
2026-02-25 22:22:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,31.00,12635.00
2026-02-25 22:23:00,,,,,,0.3000,0.00,12635.00
2026-02-25 22:24:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,88.00,12723.00
2026-02-25 22:25:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,31.00,12754.00
2026-02-25 22:27:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,37.00,12791.00
2026-02-25 22:28:00,,,,,,0.3000,0.00,12791.00
2026-02-25 22:29:00,,,,,,0.3000,0.00,12791.00
2026-02-25 22:30:00,0.3000,0.3000,0.3100,0.3100,0.3009,0.3000,68.00,12859.00
2026-02-25 22:31:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3100,9.00,12868.00
2026-02-25 22:32:00,,,,,,0.3000,0.00,12868.00
2026-02-25 22:33:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3000,15.00,12883.00
2026-02-25 22:34:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100,44.00,12927.00
2026-02-25 22:35:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100,4.00,12931.00
2026-02-25 22:36:00,,,,,,0.3100,0.00,12931.00
2026-02-25 22:37:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100,344.00,13275.00
2026-02-25 22:38:00,,,,,,0.3100,0.00,13275.00
2026-02-25 22:39:00,0.3100,0.3000,0.3100,0.3000,0.3032,0.3100,468.00,13743.00
2026-02-25 22:40:00,,,,,,0.3000,0.00,13743.00
2026-02-25 22:41:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,16.00,13759.00
2026-02-25 22:42:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,3130.00,16889.00
2026-02-25 22:43:00,,,,,,0.3000,0.00,16889.00
2026-02-25 22:44:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,21.00,16910.00
2026-02-25 22:45:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,10.00,16920.00
2026-02-25 22:46:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,5.00,16925.00
2026-02-25 22:47:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,100.00,17025.00
2026-02-25 22:48:00,0.3000,0.2900,0.3000,0.2900,0.2998,0.3000,201.00,17216.00
2026-02-25 22:49:00,0.2900,0.2900,0.3000,0.3000,0.2956,0.2900,9.00,17217.00
2026-02-25 22:50:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,61.00,17278.00
2026-02-25 22:51:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,3333.00,20611.00
2026-02-25 22:52:00,,,,,,0.3000,0.00,20611.00
2026-02-25 22:53:00,,,,,,0.3000,0.00,20611.00
2026-02-25 22:54:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,200.00,20784.00
2026-02-25 22:55:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,330.00,21114.00
2026-02-25 22:56:00,0.3000,0.3000,0.3100,0.3100,0.3062,0.3000,218.00,21332.00
2026-02-25 22:57:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100,30.00,21362.00
2026-02-25 22:58:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100,76.00,21438.00
2026-02-25 22:59:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100,5.00,21443.00
2026-02-25 23:00:00,,,,,,0.3100,0.00,21443.00
2026-02-25 23:01:00,,,,,,0.3100,0.00,21443.00
2026-02-25 23:02:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100,119.00,21562.00
2026-02-25 23:03:00,,,,,,0.3100,0.00,21562.00
2026-02-25 23:04:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3100,3.00,21565.00
2026-02-25 23:05:00,0.3000,0.3000,0.3100,0.3100,0.3033,0.3000,144.00,21709.00
2026-02-25 23:06:00,,,,,,0.3100,0.00,21709.00
2026-02-25 23:07:00,,,,,,0.3100,0.00,21709.00
2026-02-25 23:08:00,,,,,,0.3100,0.00,21709.00
2026-02-25 23:09:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3100,99.00,21709.00
