end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-26 09:43:00,0.7200,0.7200,0.7200,0.7200,0.7200,0.7200,160.00,15237.00
2026-02-26 09:44:00,,,,,,0.7200,0.00,15237.00
2026-02-26 09:45:00,,,,,,0.7200,0.00,15237.00
2026-02-26 09:47:00,,,,,,0.7200,0.00,15237.00
2026-02-26 09:48:00,0.7200,0.7200,0.7200,0.7200,0.7200,0.7200,8471.00,23708.00
2026-02-26 09:49:00,0.7200,0.7200,0.7200,0.7200,0.7200,0.7200,7.00,23715.00
2026-02-26 09:50:00,,,,,,0.7200,0.00,23715.00
2026-02-26 09:51:00,,,,,,0.7200,0.00,23715.00
2026-02-26 09:52:00,,,,,,0.7200,0.00,23715.00
2026-02-26 09:53:00,0.7200,0.7200,0.7200,0.7200,0.7200,0.7200,279.00,23994.00
2026-02-26 09:54:00,0.7200,0.7200,0.7200,0.7200,0.7200,0.7200,17.00,24011.00
2026-02-26 09:55:00,,,,,,0.7200,0.00,24011.00
2026-02-26 09:56:00,,,,,,0.7200,0.00,24011.00
2026-02-26 09:58:00,,,,,,0.7200,0.00,24011.00
2026-02-26 09:59:00,0.7200,0.7200,0.7200,0.7200,0.7200,0.7200,1551.00,25562.00
2026-02-26 10:00:00,0.7200,0.7200,0.7200,0.7200,0.7200,0.7200,25.00,25587.00
2026-02-26 10:02:00,0.7200,0.7200,0.7200,0.7200,0.7200,0.7200,16.00,25603.00
2026-02-26 10:04:00,0.7200,0.7200,0.7200,0.7200,0.7200,0.7200,47.00,25650.00
2026-02-26 10:05:00,0.7200,0.7200,0.7200,0.7200,0.7200,0.7200,82.00,25732.00
2026-02-26 10:06:00,0.7200,0.7200,0.7200,0.7200,0.7200,0.7200,40.00,25772.00
2026-02-26 10:07:00,0.7200,0.7200,0.7200,0.7200,0.7200,0.7200,813.00,26585.00
2026-02-26 10:08:00,,,,,,0.7200,0.00,26585.00
2026-02-26 10:10:00,0.7200,0.7200,0.7200,0.7200,0.7200,0.7200,340.00,26925.00
2026-02-26 10:14:00,0.7200,0.7200,0.7200,0.7200,0.7200,0.7200,23.00,26948.00
2026-02-26 10:15:00,,,,,,0.7200,0.00,26948.00
2026-02-26 10:17:00,0.7200,0.7200,0.7200,0.7200,0.7200,0.7200,40.00,26988.00
