end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-26 17:46:00,,,,,,0.6900,0.00,14282.00
2026-02-26 17:47:00,,,,,,0.6900,0.00,14282.00
2026-02-26 17:48:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,3546.00,17828.00
2026-02-26 17:49:00,0.6900,0.6700,0.6900,0.6700,0.6717,0.6900,1495.00,17970.00
2026-02-26 17:50:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6700,10.00,17980.00
2026-02-26 17:51:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,57.00,18037.00
2026-02-26 17:52:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,2172.00,18757.00
2026-02-26 17:53:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,1443.00,20200.00
2026-02-26 17:54:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,20.00,20220.00
2026-02-26 17:55:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,428.00,20648.00
2026-02-26 17:56:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,289.00,20937.00
2026-02-26 17:57:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,38.00,20975.00
2026-02-26 17:58:00,,,,,,0.6800,0.00,20975.00
2026-02-26 17:59:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,371.00,21346.00
2026-02-26 18:00:00,,,,,,0.6800,0.00,21346.00
2026-02-26 18:01:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,15.00,21361.00
2026-02-26 18:04:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,30.00,21391.00
2026-02-26 18:05:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6800,14.00,21405.00
2026-02-26 18:06:00,,,,,,0.6900,0.00,21405.00
2026-02-26 18:08:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6900,37.00,21442.00
2026-02-26 18:09:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,533.00,21975.00
2026-02-26 18:10:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,21.00,21996.00
2026-02-26 18:11:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,142.00,22138.00
2026-02-26 18:14:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6800,21.00,22159.00
2026-02-26 18:15:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,15.00,22174.00
2026-02-26 18:16:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,161.00,22335.00
2026-02-26 18:17:00,,,,,,0.6900,0.00,22335.00
2026-02-26 18:18:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,30.00,22365.00
2026-02-26 18:19:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,492.00,22857.00
2026-02-26 18:20:00,,,,,,0.6900,0.00,22857.00
2026-02-26 18:21:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,1.00,22858.00
2026-02-26 18:22:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.6900,27.00,22885.00
2026-02-26 18:23:00,,,,,,0.7000,0.00,22885.00
2026-02-26 18:24:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,6.00,22891.00
2026-02-26 18:25:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,116.00,23007.00
2026-02-26 18:26:00,,,,,,0.7000,0.00,23007.00
2026-02-26 18:27:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,26.00,23033.00
2026-02-26 18:28:00,,,,,,0.7000,0.00,23033.00
2026-02-26 18:29:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,1092.00,24125.00
2026-02-26 18:31:00,,,,,,0.7000,0.00,24125.00
2026-02-26 18:32:00,0.7000,0.7000,0.7100,0.7100,0.7024,0.7000,723.00,24848.00
2026-02-26 18:33:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,2.00,24850.00
2026-02-26 18:34:00,,,,,,0.7100,0.00,24850.00
2026-02-26 18:38:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,69.00,24919.00
2026-02-26 18:39:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,47.00,24966.00
2026-02-26 18:40:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,193.00,25159.00
2026-02-26 18:41:00,,,,,,0.7100,0.00,25159.00
2026-02-26 18:42:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,20.00,25179.00
2026-02-26 18:43:00,0.6900,0.6900,0.7100,0.7100,0.7058,0.7100,771.00,25628.00
2026-02-26 18:44:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,50.00,25678.00
2026-02-26 18:49:00,,,,,,0.7100,0.00,25678.00
2026-02-26 18:50:00,,,,,,0.7100,0.00,25678.00
2026-02-26 18:51:00,,,,,,0.7100,0.00,25678.00
2026-02-26 18:52:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,13.00,25691.00
2026-02-26 18:53:00,,,,,,0.7100,0.00,25691.00
2026-02-26 18:54:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,1.00,25692.00
2026-02-26 18:55:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,10.00,25702.00
2026-02-26 18:56:00,,,,,,0.7100,0.00,25702.00
2026-02-26 18:57:00,,,,,,0.7100,0.00,25702.00
2026-02-26 18:58:00,,,,,,0.7100,0.00,25702.00
2026-02-26 18:59:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,50.00,25752.00
2026-02-26 19:00:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,1362.00,27114.00
2026-02-26 19:01:00,,,,,,0.7100,0.00,27114.00
2026-02-26 19:02:00,,,,,,0.7100,0.00,27114.00
2026-02-26 19:03:00,,,,,,0.7100,0.00,27114.00
2026-02-26 19:04:00,,,,,,0.7100,0.00,27114.00
2026-02-26 19:06:00,,,,,,0.7100,0.00,27114.00
2026-02-26 19:07:00,,,,,,0.7100,0.00,27114.00
2026-02-26 19:09:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,1.00,27115.00
2026-02-26 19:10:00,0.7100,0.7100,0.7200,0.7200,0.7174,0.7100,34.00,27149.00
2026-02-26 19:11:00,0.7200,0.7200,0.7200,0.7200,0.7200,0.7200,41.00,27190.00
2026-02-26 19:12:00,0.7200,0.7200,0.7200,0.7200,0.7200,0.7200,100.00,27290.00
2026-02-26 19:13:00,0.7200,0.7200,0.7200,0.7200,0.7200,0.7200,340.00,27630.00
2026-02-26 19:14:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7200,148.00,27778.00
2026-02-26 19:15:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,138.00,27916.00
2026-02-26 19:16:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,850.00,28766.00
2026-02-26 19:17:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,1316.00,30082.00
2026-02-26 19:18:00,0.7200,0.7200,0.7200,0.7200,0.7200,0.7100,153.00,30235.00
2026-02-26 19:19:00,0.7200,0.7200,0.7200,0.7200,0.7200,0.7200,607.00,30842.00
2026-02-26 19:20:00,,,,,,0.7200,0.00,30842.00
2026-02-26 19:21:00,0.7100,0.7100,0.7200,0.7200,0.7167,0.7200,206.00,31048.00
2026-02-26 19:22:00,0.7200,0.7200,0.7200,0.7200,0.7200,0.7200,134.00,31182.00
2026-02-26 19:23:00,0.7200,0.7200,0.7200,0.7200,0.7200,0.7200,251.00,31433.00
2026-02-26 19:24:00,0.7200,0.7200,0.7200,0.7200,0.7200,0.7200,8.00,31441.00
2026-02-26 19:25:00,,,,,,0.7200,0.00,31441.00
2026-02-26 19:26:00,0.7200,0.7200,0.7200,0.7200,0.7200,0.7200,313.00,31754.00
2026-02-26 19:27:00,0.7200,0.7100,0.7200,0.7100,0.7114,0.7200,324.00,32078.00
2026-02-26 19:28:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,19.00,32097.00
2026-02-26 19:29:00,0.7100,0.7100,0.7200,0.7200,0.7189,0.7100,300.00,32397.00
2026-02-26 19:30:00,0.7200,0.7200,0.7200,0.7200,0.7200,0.7200,192.00,32589.00
2026-02-26 19:31:00,0.7100,0.7100,0.7200,0.7100,0.7124,0.7200,262.00,32851.00
2026-02-26 19:32:00,0.7200,0.7200,0.7500,0.7500,0.7399,0.7100,899.00,33750.00
2026-02-26 19:33:00,0.7500,0.7500,0.7500,0.7500,0.7500,0.7500,100.00,33850.00
2026-02-26 19:34:00,0.7400,0.7400,0.7500,0.7500,0.7401,0.7500,74.00,33851.00
2026-02-26 19:35:00,0.7400,0.7200,0.7400,0.7200,0.7244,0.7500,139.00,33895.00
2026-02-26 19:36:00,0.7000,0.7000,0.7100,0.7100,0.7099,0.7200,5621.00,39516.00
2026-02-26 19:37:00,0.7000,0.7000,0.7300,0.7200,0.7175,0.7100,2447.00,41963.00
2026-02-26 19:38:00,0.7300,0.7100,0.7300,0.7200,0.7201,0.7200,7147.00,49110.00
2026-02-26 19:39:00,0.6700,0.6100,0.6700,0.6100,0.6606,0.7200,875.00,49985.00
2026-02-26 19:40:00,0.6000,0.5500,0.6200,0.5500,0.5794,0.6100,731.00,50254.00
2026-02-26 19:41:00,0.5500,0.5400,0.5500,0.5500,0.5499,0.5500,1135.00,51389.00
2026-02-26 19:42:00,0.5400,0.5200,0.5400,0.5200,0.5301,0.5500,2211.00,53402.00
2026-02-26 19:43:00,0.5200,0.5200,0.5800,0.5400,0.5730,0.5200,829.00,54219.00
2026-02-26 19:44:00,0.5400,0.5300,0.5600,0.5600,0.5465,0.5400,2797.00,55000.00
