end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-27 08:03:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,106.00,21687.00
2026-02-27 08:04:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,109.00,21796.00
2026-02-27 08:05:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,473.00,22269.00
2026-02-27 08:06:00,,,,,,0.3000,0.00,22269.00
2026-02-27 08:07:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.3000,1.00,22270.00
2026-02-27 08:08:00,,,,,,0.2900,0.00,22270.00
2026-02-27 08:09:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,103.00,22373.00
2026-02-27 08:10:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,68.00,22441.00
2026-02-27 08:11:00,0.2900,0.2800,0.2900,0.2800,0.2814,0.2900,71.00,22512.00
2026-02-27 08:12:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2800,14.00,22526.00
2026-02-27 08:14:00,,,,,,0.2900,0.00,22526.00
2026-02-27 08:15:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,16.00,22542.00
2026-02-27 08:19:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,32.00,22574.00
2026-02-27 08:22:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,1.00,22575.00
2026-02-27 08:23:00,,,,,,0.2900,0.00,22575.00
2026-02-27 08:25:00,,,,,,0.2900,0.00,22575.00
2026-02-27 08:27:00,,,,,,0.2900,0.00,22575.00
2026-02-27 08:28:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,9.00,22584.00
2026-02-27 08:29:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,164.00,22748.00
2026-02-27 08:33:00,,,,,,0.2900,0.00,22748.00
2026-02-27 08:34:00,0.2900,0.2800,0.2900,0.2800,0.2895,0.2900,103.00,22846.00
2026-02-27 08:35:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2800,853.00,23699.00
2026-02-27 08:36:00,,,,,,0.2900,0.00,23699.00
2026-02-27 08:37:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,129.00,23828.00
2026-02-27 08:38:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,1.00,23829.00
2026-02-27 08:39:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,180.00,24009.00
2026-02-27 08:42:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,59.00,24068.00
2026-02-27 08:43:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,65.00,24133.00
2026-02-27 08:45:00,,,,,,0.2900,0.00,24133.00
2026-02-27 08:46:00,,,,,,0.2900,0.00,24133.00
2026-02-27 08:47:00,,,,,,0.2900,0.00,24133.00
2026-02-27 08:48:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,20.00,24153.00
2026-02-27 08:49:00,,,,,,0.2900,0.00,24153.00
2026-02-27 08:50:00,,,,,,0.2900,0.00,24153.00
2026-02-27 08:51:00,,,,,,0.2900,0.00,24153.00
2026-02-27 08:53:00,,,,,,0.2900,0.00,24153.00
2026-02-27 08:54:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,153.00,24306.00
2026-02-27 08:55:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,9.00,24315.00
2026-02-27 08:56:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,331.00,24646.00
2026-02-27 08:57:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,49.00,24695.00
2026-02-27 08:59:00,,,,,,0.2900,0.00,24695.00
2026-02-27 09:00:00,,,,,,0.2900,0.00,24695.00
2026-02-27 09:01:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,18.00,24713.00
2026-02-27 09:02:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,19.00,24732.00
2026-02-27 09:03:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,656.00,25388.00
2026-02-27 09:04:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,11.00,25399.00
2026-02-27 09:05:00,,,,,,0.2900,0.00,25399.00
2026-02-27 09:06:00,,,,,,0.2900,0.00,25399.00
2026-02-27 09:07:00,,,,,,0.2900,0.00,25399.00
2026-02-27 09:08:00,,,,,,0.2900,0.00,25399.00
2026-02-27 09:09:00,,,,,,0.2900,0.00,25399.00
2026-02-27 09:12:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,679.00,26078.00
2026-02-27 09:13:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,75.00,26153.00
2026-02-27 09:15:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,11.00,26164.00
2026-02-27 09:16:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,9.00,26173.00
2026-02-27 09:18:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,309.00,26482.00
2026-02-27 09:21:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,1642.00,28124.00
2026-02-27 09:22:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,799.00,28923.00
2026-02-27 09:23:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,1509.00,30432.00
2026-02-27 09:24:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,26.00,30458.00
2026-02-27 09:25:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,1020.00,31478.00
2026-02-27 09:26:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,32.00,31510.00
2026-02-27 09:27:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,2677.00,34187.00
2026-02-27 09:28:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,1817.00,36004.00
2026-02-27 09:29:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,2050.00,38054.00
2026-02-27 09:30:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,1769.00,39823.00
2026-02-27 09:31:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,245.00,40068.00
2026-02-27 09:32:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,36.00,40104.00
2026-02-27 09:33:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,358.00,40462.00
2026-02-27 09:34:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,1816.00,42278.00
2026-02-27 09:35:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,519.00,42797.00
2026-02-27 09:36:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,3409.00,46206.00
2026-02-27 09:37:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,847.00,47053.00
2026-02-27 09:38:00,0.2900,0.2800,0.2900,0.2800,0.2897,0.2900,200.00,47247.00
2026-02-27 09:39:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2800,4197.00,51444.00
2026-02-27 09:40:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,3907.00,55351.00
2026-02-27 09:41:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,2016.00,57367.00
2026-02-27 09:42:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,136.00,57503.00
2026-02-27 09:43:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,3204.00,60707.00
2026-02-27 09:44:00,0.2900,0.2900,0.3000,0.3000,0.2901,0.2900,9999.00,70706.00
2026-02-27 09:45:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.3000,8366.00,79072.00
2026-02-27 09:46:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,940.00,80012.00
2026-02-27 09:47:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,171.00,80183.00
2026-02-27 09:48:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,1682.00,81865.00
2026-02-27 09:49:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,882.00,82747.00
2026-02-27 09:50:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,3275.00,86022.00
2026-02-27 09:51:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,1776.00,87798.00
2026-02-27 09:52:00,0.2900,0.2800,0.2900,0.2900,0.2900,0.2900,2169.00,89967.00
2026-02-27 09:53:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,3210.00,93177.00
2026-02-27 09:54:00,0.2900,0.2800,0.2900,0.2900,0.2898,0.2900,3916.00,97043.00
2026-02-27 09:55:00,0.2900,0.2800,0.2900,0.2800,0.2821,0.2900,2868.00,99756.00
2026-02-27 09:56:00,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,23194.00,122950.00
