end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-28 20:21:00,,,,,,0.4800,0.00,62605.00
2026-02-28 20:22:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,20.00,62625.00
2026-02-28 20:23:00,,,,,,0.4800,0.00,62625.00
2026-02-28 20:24:00,,,,,,0.4800,0.00,62625.00
2026-02-28 20:25:00,,,,,,0.4800,0.00,62625.00
2026-02-28 20:26:00,,,,,,0.4800,0.00,62625.00
2026-02-28 20:27:00,,,,,,0.4800,0.00,62625.00
2026-02-28 20:28:00,,,,,,0.4800,0.00,62625.00
2026-02-28 20:29:00,,,,,,0.4800,0.00,62625.00
2026-02-28 20:31:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,26.00,62651.00
2026-02-28 20:32:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,343.00,62994.00
2026-02-28 20:34:00,,,,,,0.4800,0.00,62994.00
2026-02-28 20:35:00,,,,,,0.4800,0.00,62994.00
2026-02-28 20:36:00,,,,,,0.4800,0.00,62994.00
2026-02-28 20:37:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,142.00,63136.00
2026-02-28 20:38:00,,,,,,0.4800,0.00,63136.00
2026-02-28 20:39:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,30.00,63166.00
2026-02-28 20:40:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,221.00,63387.00
2026-02-28 20:41:00,,,,,,0.4800,0.00,63387.00
2026-02-28 20:42:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,190.00,63577.00
2026-02-28 20:43:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,80.00,63657.00
2026-02-28 20:44:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,2001.00,65658.00
2026-02-28 20:45:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,53.00,65711.00
2026-02-28 20:46:00,0.4800,0.4700,0.4800,0.4700,0.4800,0.4800,447.00,66158.00
2026-02-28 20:47:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4700,60.00,66218.00
2026-02-28 20:48:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,44.00,66262.00
2026-02-28 20:49:00,0.4700,0.4700,0.4800,0.4800,0.4798,0.4800,41.00,66303.00
2026-02-28 20:50:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,308.00,66611.00
2026-02-28 20:51:00,,,,,,0.4800,0.00,66611.00
2026-02-28 20:52:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,10.00,66621.00
2026-02-28 20:53:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,1.00,66622.00
2026-02-28 20:54:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,120.00,66742.00
2026-02-28 20:55:00,0.4800,0.4700,0.4800,0.4700,0.4795,0.4800,290.00,67032.00
2026-02-28 20:56:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4700,50.00,67082.00
2026-02-28 20:57:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,216.00,67298.00
2026-02-28 20:58:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,15.00,67313.00
2026-02-28 20:59:00,,,,,,0.4800,0.00,67313.00
2026-02-28 21:00:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4800,1.00,67314.00
2026-02-28 21:01:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4700,614.00,67928.00
2026-02-28 21:02:00,,,,,,0.4800,0.00,67928.00
2026-02-28 21:03:00,,,,,,0.4800,0.00,67928.00
2026-02-28 21:04:00,0.4700,0.4600,0.4700,0.4600,0.4674,0.4800,223.00,67954.00
2026-02-28 21:05:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4600,1245.00,69199.00
2026-02-28 21:06:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,1756.00,70930.00
2026-02-28 21:07:00,,,,,,0.4700,0.00,70930.00
2026-02-28 21:08:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,35.00,70965.00
2026-02-28 21:09:00,0.4800,0.4600,0.4800,0.4600,0.4611,0.4700,942.00,71015.00
2026-02-28 21:10:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4600,190.00,71205.00
2026-02-28 21:11:00,,,,,,0.4800,0.00,71205.00
2026-02-28 21:12:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,2170.00,73375.00
