end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-01-16 01:51:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4600,68.00,66507.00
2026-01-16 01:52:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,1.00,66508.00
2026-01-16 01:53:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,4.00,66512.00
2026-01-16 01:54:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,1618.00,68130.00
2026-01-16 01:55:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,222.00,68352.00
2026-01-16 01:56:00,,,,,,0.4800,0.00,68352.00
2026-01-16 01:57:00,,,,,,0.4800,0.00,68352.00
2026-01-16 01:58:00,,,,,,0.4800,0.00,68352.00
2026-01-16 01:59:00,0.4800,0.4600,0.4800,0.4600,0.4787,0.4800,239.00,68559.00
2026-01-16 02:00:00,,,,,,0.4600,0.00,68559.00
2026-01-16 02:01:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4600,1.00,68559.00
2026-01-16 02:02:00,,,,,,0.4700,0.00,68559.00
2026-01-16 02:03:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4700,19.00,68578.00
2026-01-16 02:04:00,,,,,,0.4800,0.00,68578.00
2026-01-16 02:05:00,,,,,,0.4800,0.00,68578.00
2026-01-16 02:06:00,,,,,,0.4800,0.00,68578.00
2026-01-16 02:07:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,33.00,68611.00
2026-01-16 02:08:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,18.00,68629.00
2026-01-16 02:09:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,78.00,68707.00
2026-01-16 02:10:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,217.00,68924.00
2026-01-16 02:11:00,,,,,,0.4800,0.00,68924.00
2026-01-16 02:12:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,4.00,68928.00
2026-01-16 02:13:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,22.00,68950.00
2026-01-16 02:14:00,,,,,,0.4800,0.00,68950.00
2026-01-16 02:15:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,297.00,69247.00
2026-01-16 02:16:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,92.00,69339.00
2026-01-16 02:17:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,8.00,69347.00
2026-01-16 02:18:00,,,,,,0.4800,0.00,69347.00
2026-01-16 02:19:00,,,,,,0.4800,0.00,69347.00
2026-01-16 02:20:00,0.4700,0.4700,0.4800,0.4800,0.4722,0.4800,3224.00,72571.00
2026-01-16 02:21:00,,,,,,0.4800,0.00,72571.00
2026-01-16 02:22:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,603.00,73174.00
2026-01-16 02:23:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,1.00,73175.00
2026-01-16 02:24:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4800,2.00,73177.00
2026-01-16 02:25:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4600,205.00,73382.00
2026-01-16 02:26:00,0.4700,0.4700,0.4800,0.4800,0.4736,0.4700,481.00,73863.00
2026-01-16 02:27:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,1125.00,74988.00
2026-01-16 02:28:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,359.00,75347.00
2026-01-16 02:29:00,0.4800,0.4500,0.4800,0.4500,0.4790,0.4800,1364.00,76624.00
2026-01-16 02:30:00,,,,,,0.4500,0.00,76624.00
2026-01-16 02:31:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4500,1005.00,77629.00
2026-01-16 02:32:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,40.00,77669.00
2026-01-16 02:33:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,2235.00,79904.00
2026-01-16 02:34:00,0.4800,0.4700,0.4800,0.4700,0.4799,0.4800,229.00,80133.00
2026-01-16 02:35:00,0.4700,0.4700,0.4800,0.4800,0.4797,0.4700,107.00,80240.00
2026-01-16 02:36:00,0.4700,0.4700,0.4800,0.4800,0.4800,0.4800,601.00,80841.00
2026-01-16 02:37:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,171.00,81012.00
