end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-01-19 21:34:00,0.7900,0.7700,0.7900,0.7700,0.7799,0.7900,1051.00,13726.00
2026-01-19 21:35:00,,,,,,0.7700,0.00,13726.00
2026-01-19 21:36:00,,,,,,0.7700,0.00,13726.00
2026-01-19 21:37:00,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,25.00,13751.00
2026-01-19 21:38:00,0.7400,0.7400,0.7400,0.7400,0.7400,0.7700,35.00,13786.00
2026-01-19 21:39:00,,,,,,0.7400,0.00,13786.00
2026-01-19 21:40:00,,,,,,0.7400,0.00,13786.00
2026-01-19 21:41:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7400,64.00,13850.00
2026-01-19 21:42:00,,,,,,0.7600,0.00,13850.00
2026-01-19 21:43:00,0.7600,0.7400,0.7600,0.7500,0.7495,0.7600,59.00,13896.00
2026-01-19 21:44:00,0.7500,0.7500,0.7500,0.7500,0.7500,0.7500,13.00,13909.00
2026-01-19 21:45:00,0.7500,0.7500,0.7500,0.7500,0.7500,0.7500,1.00,13910.00
2026-01-19 21:46:00,0.7500,0.7500,0.7500,0.7500,0.7500,0.7500,5.00,13915.00
2026-01-19 21:47:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7500,29.00,13944.00
2026-01-19 21:48:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,545.00,14489.00
2026-01-19 21:49:00,,,,,,0.7800,0.00,14489.00
2026-01-19 21:50:00,,,,,,0.7800,0.00,14489.00
2026-01-19 21:51:00,,,,,,0.7800,0.00,14489.00
2026-01-19 21:52:00,,,,,,0.7800,0.00,14489.00
2026-01-19 21:53:00,0.8300,0.8300,0.8300,0.8300,0.8300,0.7800,1.00,14489.00
2026-01-19 21:54:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.8300,30.00,14519.00
2026-01-19 21:55:00,0.7900,0.7900,0.7900,0.7900,0.7900,0.7800,12.00,14531.00
2026-01-19 21:56:00,,,,,,0.7900,0.00,14531.00
2026-01-19 21:57:00,0.7900,0.7500,0.7900,0.7500,0.7500,0.7900,1041.00,14723.00
2026-01-19 21:58:00,0.7500,0.7500,0.7600,0.7600,0.7595,0.7500,21.00,14724.00
2026-01-19 21:59:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,92.00,14632.00
2026-01-19 22:00:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,54.00,14686.00
2026-01-19 22:01:00,0.7000,0.7000,0.7100,0.7100,0.7093,0.7600,535.00,14671.00
2026-01-19 22:02:00,,,,,,0.7100,0.00,14671.00
2026-01-19 22:03:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.7100,30.00,14701.00
2026-01-19 22:04:00,0.8100,0.8100,0.8100,0.8100,0.8100,0.8000,30.00,14731.00
2026-01-19 22:05:00,0.8000,0.8000,0.8300,0.8300,0.8153,0.8100,1527.00,15584.00
2026-01-19 22:06:00,0.8500,0.8500,0.8800,0.8800,0.8523,0.8300,92.00,15663.00
2026-01-19 22:07:00,0.8800,0.8800,0.9100,0.9100,0.8804,0.8800,161.00,15762.00
2026-01-19 22:08:00,,,,,,0.9100,0.00,15762.00
2026-01-19 22:09:00,,,,,,0.9100,0.00,15762.00
2026-01-19 22:10:00,0.8900,0.8600,0.8900,0.8600,0.8601,0.9100,653.00,15934.00
2026-01-19 22:11:00,0.8700,0.8700,0.8700,0.8700,0.8700,0.8600,2.00,15936.00
2026-01-19 22:12:00,0.8800,0.8800,0.8800,0.8800,0.8800,0.8700,31.00,15936.00
2026-01-19 22:13:00,0.9000,0.8900,0.9000,0.8900,0.8992,0.8800,596.00,16198.00
2026-01-19 22:14:00,0.8900,0.8900,0.8900,0.8900,0.8900,0.8900,30.00,16228.00
2026-01-19 22:15:00,0.9100,0.9100,0.9100,0.9100,0.9100,0.8900,273.00,16501.00
2026-01-19 22:16:00,0.8900,0.8800,0.8900,0.8800,0.8832,0.9100,311.00,16779.00
2026-01-19 22:17:00,0.8800,0.8800,0.8800,0.8800,0.8800,0.8800,2.00,16781.00
2026-01-19 22:18:00,0.8800,0.8800,0.8800,0.8800,0.8800,0.8800,17.00,16798.00
2026-01-19 22:19:00,0.8900,0.8900,0.8900,0.8900,0.8900,0.8800,13.00,16811.00
2026-01-19 22:20:00,0.8900,0.8900,0.8900,0.8900,0.8900,0.8900,192.00,17003.00
2026-01-19 22:21:00,0.9100,0.9100,0.9100,0.9100,0.9100,0.8900,5.00,17008.00
2026-01-19 22:22:00,0.8900,0.8900,0.8900,0.8900,0.8900,0.9100,41.00,17008.00
2026-01-19 22:23:00,0.8800,0.8700,0.8800,0.8700,0.8795,0.8900,568.00,17576.00
2026-01-19 22:24:00,0.8700,0.8600,0.8700,0.8600,0.8693,0.8700,44.00,17617.00
2026-01-19 22:25:00,0.8100,0.8100,0.8100,0.8100,0.8100,0.8600,126.00,17743.00
2026-01-19 22:26:00,0.8100,0.7600,0.8500,0.8500,0.8080,0.8100,4154.00,20598.00
2026-01-19 22:27:00,,,,,,0.8500,0.00,20598.00
2026-01-19 22:28:00,,,,,,0.8500,0.00,20598.00
2026-01-19 22:29:00,0.8400,0.7900,0.8400,0.7900,0.8181,0.8500,191.00,20569.00
2026-01-19 22:30:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7900,50.00,20614.00
