end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-01-20 21:07:00,,,,,,0.0300,0.00,28579.00
2026-01-20 21:12:00,0.0300,0.0300,0.0300,0.0300,0.0300,0.0300,30.00,28609.00
2026-01-20 21:13:00,0.0300,0.0300,0.0300,0.0300,0.0300,0.0300,31.00,28640.00
2026-01-20 21:14:00,,,,,,0.0300,0.00,28640.00
2026-01-20 21:20:00,0.0300,0.0300,0.0300,0.0300,0.0300,0.0300,311.00,28951.00
2026-01-20 21:21:00,,,,,,0.0300,0.00,28951.00
2026-01-20 21:24:00,,,,,,0.0300,0.00,28951.00
2026-01-20 21:25:00,0.0300,0.0300,0.0300,0.0300,0.0300,0.0300,156.00,29107.00
2026-01-20 21:26:00,,,,,,0.0300,0.00,29107.00
2026-01-20 21:27:00,,,,,,0.0300,0.00,29107.00
2026-01-20 21:29:00,0.0300,0.0300,0.0300,0.0300,0.0300,0.0300,20.00,29127.00
2026-01-20 21:36:00,0.0300,0.0300,0.0300,0.0300,0.0300,0.0300,30.00,29157.00
2026-01-20 21:37:00,,,,,,0.0300,0.00,29157.00
2026-01-20 21:38:00,0.0300,0.0300,0.0300,0.0300,0.0300,0.0300,40.00,29197.00
2026-01-20 21:39:00,,,,,,0.0300,0.00,29197.00
2026-01-20 21:42:00,,,,,,0.0300,0.00,29197.00
2026-01-20 21:44:00,,,,,,0.0300,0.00,29197.00
2026-01-20 21:45:00,,,,,,0.0300,0.00,29197.00
2026-01-20 21:46:00,0.0100,0.0100,0.0100,0.0100,0.0100,0.0300,156.00,29197.00
2026-01-20 21:48:00,,,,,,0.0100,0.00,29197.00
2026-01-20 21:49:00,,,,,,0.0100,0.00,29197.00
2026-01-20 21:50:00,,,,,,0.0100,0.00,29197.00
2026-01-20 21:51:00,0.0300,0.0300,0.0300,0.0300,0.0300,0.0100,15.00,29212.00
2026-01-20 21:53:00,,,,,,0.0300,0.00,29212.00
2026-01-20 21:56:00,0.0300,0.0300,0.0300,0.0300,0.0300,0.0300,1092.00,30304.00
2026-01-20 21:57:00,,,,,,0.0300,0.00,30304.00
2026-01-20 21:59:00,,,,,,0.0300,0.00,30304.00
2026-01-20 22:00:00,0.0300,0.0300,0.0300,0.0300,0.0300,0.0300,3121.00,33425.00
2026-01-20 22:01:00,,,,,,0.0300,0.00,33425.00
2026-01-20 22:02:00,,,,,,0.0300,0.00,33425.00
2026-01-20 22:04:00,,,,,,0.0300,0.00,33425.00
2026-01-20 22:06:00,0.0300,0.0300,0.0300,0.0300,0.0300,0.0300,60.00,33485.00
2026-01-20 22:07:00,0.0300,0.0300,0.0300,0.0300,0.0300,0.0300,468.00,33953.00
2026-01-20 22:08:00,,,,,,0.0300,0.00,33953.00
2026-01-20 22:09:00,0.0300,0.0300,0.0300,0.0300,0.0300,0.0300,20.00,33973.00
2026-01-20 22:10:00,,,,,,0.0300,0.00,33973.00
2026-01-20 22:11:00,0.0300,0.0300,0.0300,0.0300,0.0300,0.0300,624.00,34597.00
2026-01-20 22:12:00,0.0300,0.0300,0.0300,0.0300,0.0300,0.0300,46.00,34643.00
2026-01-20 22:13:00,0.0300,0.0300,0.0300,0.0300,0.0300,0.0300,624.00,35267.00
2026-01-20 22:14:00,0.0300,0.0300,0.0300,0.0300,0.0300,0.0300,860.00,36127.00
2026-01-20 22:15:00,0.0300,0.0300,0.0300,0.0300,0.0300,0.0300,1771.00,37898.00
