end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-01-24 03:41:00,,,,,,0.6600,0.00,226226.00
2026-01-24 03:42:00,,,,,,0.6600,0.00,226226.00
2026-01-24 03:43:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,1515.00,227741.00
2026-01-24 03:44:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,362.00,228103.00
2026-01-24 03:45:00,,,,,,0.6600,0.00,228103.00
2026-01-24 03:46:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,14.00,228117.00
2026-01-24 03:49:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,3061.00,231178.00
2026-01-24 03:50:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,315.00,231493.00
2026-01-24 03:51:00,,,,,,0.6600,0.00,231493.00
2026-01-24 03:52:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,35.00,231528.00
2026-01-24 03:53:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,10100.00,241628.00
2026-01-24 03:54:00,,,,,,0.6600,0.00,241628.00
2026-01-24 03:55:00,,,,,,0.6600,0.00,241628.00
2026-01-24 03:56:00,0.6500,0.6500,0.6600,0.6600,0.6598,0.6600,1511.00,243085.00
2026-01-24 03:57:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,27017.00,270102.00
2026-01-24 03:58:00,,,,,,0.6600,0.00,270102.00
2026-01-24 03:59:00,,,,,,0.6600,0.00,270102.00
2026-01-24 04:00:00,,,,,,0.6600,0.00,270102.00
2026-01-24 04:01:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6600,444.00,270546.00
2026-01-24 04:02:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,40.00,270586.00
2026-01-24 04:03:00,,,,,,0.6700,0.00,270586.00
2026-01-24 04:04:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,299.00,270885.00
2026-01-24 04:05:00,0.6700,0.6600,0.6700,0.6600,0.6699,0.6700,7924.00,278809.00
2026-01-24 04:06:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6600,1485.00,280294.00
2026-01-24 04:07:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,529.00,280823.00
2026-01-24 04:08:00,,,,,,0.6700,0.00,280823.00
2026-01-24 04:09:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,229.00,281052.00
2026-01-24 04:10:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,31.00,281083.00
2026-01-24 04:11:00,,,,,,0.6700,0.00,281083.00
2026-01-24 04:12:00,,,,,,0.6700,0.00,281083.00
2026-01-24 04:13:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,701.00,281784.00
2026-01-24 04:14:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,10.00,281794.00
2026-01-24 04:15:00,0.6600,0.6600,0.6700,0.6700,0.6658,0.6700,969.00,282191.00
2026-01-24 04:16:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,623.00,282814.00
2026-01-24 04:17:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,752.00,283566.00
2026-01-24 04:18:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,1556.00,285122.00
2026-01-24 04:19:00,0.6600,0.6600,0.6700,0.6700,0.6700,0.6700,8016.00,293106.00
2026-01-24 04:20:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,49.00,293155.00
2026-01-24 04:21:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,595.00,293750.00
2026-01-24 04:22:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,731.00,294481.00
2026-01-24 04:23:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,35.00,294516.00
2026-01-24 04:24:00,,,,,,0.6700,0.00,294516.00
2026-01-24 04:25:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6700,227.00,294743.00
2026-01-24 04:26:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,1042.00,295785.00
2026-01-24 04:27:00,,,,,,0.6600,0.00,295785.00
2026-01-24 04:28:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,1453.00,297238.00
2026-01-24 04:30:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,198.00,297436.00
2026-01-24 04:31:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,1254.00,298690.00
2026-01-24 04:32:00,,,,,,0.6600,0.00,298690.00
2026-01-24 04:33:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,79.00,298769.00
2026-01-24 04:34:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,895.00,299664.00
2026-01-24 04:35:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,816.00,300480.00
2026-01-24 04:36:00,,,,,,0.6600,0.00,300480.00
