end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-01-24 00:36:00,0.9100,0.9100,0.9100,0.9100,0.9100,0.9100,2419.00,54769.00
2026-01-24 00:37:00,0.9000,0.9000,0.9100,0.9100,0.9094,0.9100,763.00,55532.00
2026-01-24 00:38:00,0.9100,0.9100,0.9100,0.9100,0.9100,0.9100,438.00,55970.00
2026-01-24 00:39:00,,,,,,0.9100,0.00,55970.00
2026-01-24 00:40:00,0.9000,0.9000,0.9000,0.9000,0.9000,0.9100,15.00,55985.00
2026-01-24 00:41:00,0.9100,0.9100,0.9100,0.9100,0.9100,0.9000,38.00,56023.00
2026-01-24 00:42:00,0.9000,0.8400,0.9000,0.9000,0.8789,0.9100,23299.00,70273.00
2026-01-24 00:43:00,0.8900,0.8900,0.9000,0.9000,0.8992,0.9000,1322.00,70294.00
2026-01-24 00:44:00,0.9000,0.9000,0.9000,0.9000,0.9000,0.9000,365.00,70294.00
2026-01-24 00:45:00,0.9000,0.9000,0.9000,0.9000,0.9000,0.9000,1679.00,70294.00
2026-01-24 00:46:00,0.9000,0.9000,0.9100,0.9000,0.9010,0.9000,5509.00,74297.00
2026-01-24 00:47:00,,,,,,0.9000,0.00,74297.00
2026-01-24 00:48:00,0.9000,0.9000,0.9000,0.9000,0.9000,0.9000,3378.00,77675.00
2026-01-24 00:49:00,,,,,,0.9000,0.00,77675.00
2026-01-24 00:50:00,,,,,,0.9000,0.00,77675.00
2026-01-24 00:51:00,0.9100,0.8800,0.9100,0.8800,0.9068,0.9000,4585.00,82185.00
2026-01-24 00:52:00,,,,,,0.8800,0.00,82185.00
2026-01-24 00:53:00,0.9000,0.9000,0.9100,0.9100,0.9084,0.8800,1983.00,84162.00
2026-01-24 00:54:00,0.9100,0.9000,0.9100,0.9100,0.9099,0.9100,13310.00,94365.00
2026-01-24 00:55:00,0.9200,0.9100,0.9200,0.9100,0.9190,0.9100,307.00,94672.00
2026-01-24 00:56:00,0.9200,0.9200,0.9200,0.9200,0.9200,0.9100,97.00,94769.00
2026-01-24 00:57:00,0.9200,0.9200,0.9200,0.9200,0.9200,0.9200,253.00,95022.00
2026-01-24 00:58:00,0.9200,0.9200,0.9200,0.9200,0.9200,0.9200,100.00,95122.00
2026-01-24 00:59:00,0.9100,0.9100,0.9100,0.9100,0.9100,0.9200,31.00,95153.00
2026-01-24 01:00:00,0.9200,0.9200,0.9200,0.9200,0.9200,0.9100,1233.00,96386.00
2026-01-24 01:01:00,0.9200,0.9100,0.9200,0.9100,0.9200,0.9200,1441.00,97827.00
2026-01-24 01:02:00,0.9200,0.9200,0.9200,0.9200,0.9200,0.9100,210.00,98037.00
2026-01-24 01:03:00,0.9200,0.9100,0.9200,0.9100,0.9119,0.9200,632.00,98669.00
2026-01-24 01:04:00,,,,,,0.9100,0.00,98669.00
2026-01-24 01:05:00,0.9200,0.9100,0.9200,0.9100,0.9107,0.9100,338.00,98943.00
2026-01-24 01:06:00,0.9000,0.9000,0.9000,0.9000,0.9000,0.9100,568.00,99285.00
2026-01-24 01:07:00,,,,,,0.9000,0.00,99285.00
2026-01-24 01:08:00,0.9000,0.9000,0.9100,0.9100,0.9015,0.9000,1950.00,101152.00
2026-01-24 01:09:00,0.9100,0.9100,0.9100,0.9100,0.9100,0.9100,64.00,101216.00
2026-01-24 01:10:00,0.9100,0.9000,0.9100,0.9000,0.9018,0.9100,180.00,101396.00
2026-01-24 01:11:00,0.9000,0.9000,0.9000,0.9000,0.9000,0.9000,402.00,101798.00
2026-01-24 01:12:00,0.9100,0.9100,0.9100,0.9100,0.9100,0.9000,2055.00,103853.00
2026-01-24 01:13:00,0.9100,0.9100,0.9100,0.9100,0.9100,0.9100,74.00,103927.00
2026-01-24 01:14:00,0.9100,0.8900,0.9100,0.8900,0.8993,0.9100,832.00,104556.00
2026-01-24 01:15:00,0.9000,0.9000,0.9000,0.9000,0.9000,0.8900,198.00,104754.00
2026-01-24 01:16:00,,,,,,0.9000,0.00,104754.00
2026-01-24 01:17:00,,,,,,0.9000,0.00,104754.00
2026-01-24 01:18:00,0.9100,0.9100,0.9100,0.9100,0.9100,0.9000,401.00,105150.00
2026-01-24 01:19:00,0.9100,0.9100,0.9100,0.9100,0.9100,0.9100,166.00,105316.00
2026-01-24 01:20:00,0.9100,0.9100,0.9100,0.9100,0.9100,0.9100,970.00,106281.00
2026-01-24 01:21:00,0.9100,0.9100,0.9100,0.9100,0.9100,0.9100,115.00,106396.00
2026-01-24 01:22:00,0.9100,0.9100,0.9100,0.9100,0.9100,0.9100,7064.00,113455.00
2026-01-24 01:23:00,0.9100,0.9000,0.9100,0.9100,0.9091,0.9100,310.00,113765.00
2026-01-24 01:24:00,0.9100,0.9100,0.9100,0.9100,0.9100,0.9100,10.00,113775.00
2026-01-24 01:25:00,0.9100,0.9100,0.9100,0.9100,0.9100,0.9100,65.00,113840.00
2026-01-24 01:26:00,0.9000,0.9000,0.9100,0.9100,0.9051,0.9100,67.00,113907.00
2026-01-24 01:27:00,0.9100,0.9100,0.9100,0.9100,0.9100,0.9100,59.00,113966.00
2026-01-24 01:28:00,0.9100,0.9100,0.9100,0.9100,0.9100,0.9100,193.00,114159.00
2026-01-24 01:29:00,0.9100,0.9000,0.9100,0.9100,0.9077,0.9100,9987.00,121842.00
2026-01-24 01:30:00,0.9100,0.9000,0.9100,0.9100,0.9086,0.9100,1556.00,122964.00
2026-01-24 01:31:00,0.9100,0.9000,0.9100,0.9000,0.9058,0.9100,223.00,123098.00
2026-01-24 01:32:00,0.9100,0.9100,0.9100,0.9100,0.9100,0.9000,12.00,123110.00
2026-01-24 01:33:00,0.9100,0.8900,0.9100,0.9100,0.9098,0.9100,3224.00,126329.00
2026-01-24 01:34:00,0.9100,0.8900,0.9100,0.9100,0.8905,0.9100,854.00,126086.00
2026-01-24 01:35:00,0.9100,0.9100,0.9100,0.9100,0.9100,0.9100,114.00,126195.00
2026-01-24 01:36:00,0.9100,0.9100,0.9100,0.9100,0.9100,0.9100,81.00,126276.00
2026-01-24 01:37:00,0.9000,0.9000,0.9100,0.9100,0.9097,0.9100,3355.00,129405.00
2026-01-24 01:38:00,0.9100,0.9000,0.9100,0.9100,0.9100,0.9100,319.00,129723.00
2026-01-24 01:39:00,0.9100,0.9100,0.9100,0.9100,0.9100,0.9100,190.00,129913.00
2026-01-24 01:40:00,0.9100,0.9100,0.9100,0.9100,0.9100,0.9100,7191.00,137100.00
2026-01-24 01:41:00,0.9000,0.9000,0.9100,0.9100,0.9098,0.9100,5474.00,142487.00
2026-01-24 01:42:00,0.9100,0.9000,0.9200,0.9100,0.9172,0.9100,9912.00,152150.00
2026-01-24 01:43:00,0.9200,0.9100,0.9200,0.9100,0.9103,0.9100,60752.00,212891.00
2026-01-24 01:44:00,0.9100,0.9100,0.9100,0.9100,0.9100,0.9100,2359.00,215250.00
2026-01-24 01:45:00,0.9100,0.8900,0.9100,0.9000,0.9010,0.9100,4389.00,219527.00
2026-01-24 01:46:00,0.9000,0.8800,0.9100,0.9000,0.9000,0.9000,5757.00,224813.00
2026-01-24 01:47:00,0.9000,0.8900,0.9100,0.9100,0.8999,0.9000,7943.00,231863.00
2026-01-24 01:48:00,0.9100,0.9000,0.9100,0.9100,0.9099,0.9100,11206.00,243023.00
2026-01-24 01:49:00,0.9100,0.8700,0.9100,0.8700,0.8950,0.9100,5509.00,248479.00
2026-01-24 01:50:00,0.8900,0.8800,0.8900,0.8800,0.8841,0.8700,1977.00,250446.00
2026-01-24 01:51:00,0.8800,0.8800,0.8900,0.8900,0.8898,0.8800,4254.00,254635.00
2026-01-24 01:52:00,0.8900,0.8800,0.8900,0.8900,0.8900,0.8900,5533.00,260148.00
2026-01-24 01:53:00,0.8900,0.8800,0.8900,0.8800,0.8900,0.8900,12377.00,272525.00
2026-01-24 01:54:00,0.8800,0.8700,0.8900,0.8800,0.8797,0.8800,1112.00,273628.00
2026-01-24 01:55:00,0.8800,0.8800,0.8800,0.8800,0.8800,0.8800,1187.00,274815.00
2026-01-24 01:56:00,0.8800,0.8600,0.8800,0.8600,0.8723,0.8800,5133.00,279501.00
2026-01-24 01:57:00,0.8600,0.8100,0.8600,0.8600,0.8538,0.8600,20439.00,299429.00
2026-01-24 01:58:00,0.8600,0.8500,0.8700,0.8500,0.8638,0.8600,6657.00,304966.00
2026-01-24 01:59:00,0.8400,0.8000,0.8500,0.8200,0.8262,0.8500,4121.00,308669.00
2026-01-24 02:00:00,0.8200,0.8000,0.8500,0.8100,0.8421,0.8200,13789.00,321850.00
2026-01-24 02:01:00,0.8100,0.8000,0.8500,0.8500,0.8104,0.8100,5257.00,322170.00
2026-01-24 02:02:00,0.8500,0.8200,0.8500,0.8300,0.8336,0.8500,875.00,323037.00
2026-01-24 02:03:00,0.8300,0.8200,0.8400,0.8300,0.8386,0.8300,2435.00,325166.00
2026-01-24 02:04:00,0.8300,0.8300,0.8500,0.8500,0.8411,0.8300,10590.00,335756.00
2026-01-24 02:05:00,0.8500,0.8400,0.8500,0.8500,0.8496,0.8500,6484.00,341718.00
2026-01-24 02:06:00,0.8400,0.8300,0.8400,0.8400,0.8398,0.8500,2823.00,344302.00
2026-01-24 02:07:00,0.8400,0.8300,0.8400,0.8400,0.8366,0.8400,1522.00,345686.00
2026-01-24 02:08:00,0.8400,0.8300,0.8400,0.8300,0.8359,0.8400,323.00,346004.00
2026-01-24 02:09:00,0.8300,0.8300,0.8400,0.8300,0.8378,0.8300,9115.00,355099.00
2026-01-24 02:10:00,0.8400,0.8300,0.8400,0.8400,0.8400,0.8300,14726.00,369759.00
2026-01-24 02:11:00,0.8400,0.8400,0.8400,0.8400,0.8400,0.8400,3297.00,373056.00
2026-01-24 02:12:00,0.8400,0.8300,0.8400,0.8400,0.8399,0.8400,5170.00,378226.00
2026-01-24 02:13:00,0.8400,0.8200,0.8400,0.8200,0.8227,0.8400,1652.00,379859.00
2026-01-24 02:14:00,0.8300,0.8200,0.8300,0.8300,0.8300,0.8200,1234.00,381087.00
2026-01-24 02:15:00,0.8300,0.8200,0.8400,0.8400,0.8388,0.8300,7088.00,387996.00
