end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-01-26 03:31:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500,41.00,731448.00
2026-01-26 03:32:00,0.6500,0.6400,0.6500,0.6400,0.6495,0.6500,1491.00,732939.00
2026-01-26 03:33:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,74.00,733013.00
2026-01-26 03:34:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,1278.00,734291.00
2026-01-26 03:35:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,451.00,734742.00
2026-01-26 03:36:00,0.6400,0.6400,0.6500,0.6500,0.6418,0.6400,6518.00,741260.00
2026-01-26 03:37:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500,1636.00,742896.00
2026-01-26 03:38:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500,1247.00,744143.00
2026-01-26 03:39:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500,344.00,744487.00
2026-01-26 03:40:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500,272.00,744759.00
2026-01-26 03:41:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500,205.00,744964.00
2026-01-26 03:42:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500,9118.00,754082.00
2026-01-26 03:43:00,0.6500,0.6400,0.6500,0.6500,0.6472,0.6500,917.00,754999.00
2026-01-26 03:44:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500,8339.00,763338.00
2026-01-26 03:45:00,,,,,,0.6500,0.00,763338.00
2026-01-26 03:46:00,0.6400,0.6300,0.6400,0.6300,0.6327,0.6500,52.00,763390.00
2026-01-26 03:47:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6300,498.00,763888.00
2026-01-26 03:48:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,80.00,763968.00
2026-01-26 03:49:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,1053.00,765021.00
2026-01-26 03:50:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,2320.00,767341.00
2026-01-26 03:51:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,67.00,767408.00
2026-01-26 03:52:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,1526.00,768934.00
2026-01-26 03:53:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,272.00,769206.00
2026-01-26 03:54:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,247.00,769453.00
2026-01-26 03:55:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,702.00,770155.00
2026-01-26 03:56:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,32.00,770187.00
2026-01-26 03:57:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,845.00,771032.00
2026-01-26 03:58:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,218.00,771250.00
2026-01-26 03:59:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,30.00,771280.00
2026-01-26 04:00:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,1082.00,772362.00
2026-01-26 04:01:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,312.00,772674.00
2026-01-26 04:02:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,438.00,773112.00
2026-01-26 04:03:00,0.6300,0.6300,0.6400,0.6400,0.6309,0.6400,563.00,773675.00
2026-01-26 04:04:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,137.00,773812.00
2026-01-26 04:05:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,108.00,773920.00
2026-01-26 04:06:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,2464.00,776384.00
2026-01-26 04:07:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,886.00,777270.00
2026-01-26 04:08:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,285.00,777555.00
2026-01-26 04:09:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,341.00,777896.00
2026-01-26 04:10:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,1101.00,778997.00
2026-01-26 04:11:00,0.6400,0.6300,0.6400,0.6300,0.6309,0.6400,561.00,779558.00
2026-01-26 04:12:00,0.6400,0.6200,0.6400,0.6400,0.6383,0.6300,1740.00,781148.00
2026-01-26 04:13:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,788.00,781936.00
2026-01-26 04:14:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,413.00,782349.00
2026-01-26 04:15:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,1296.00,783645.00
2026-01-26 04:16:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,293.00,783938.00
2026-01-26 04:17:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,1764.00,785702.00
2026-01-26 04:18:00,0.6300,0.6200,0.6400,0.6400,0.6387,0.6400,561.00,786189.00
2026-01-26 04:19:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6400,306.00,786495.00
2026-01-26 04:20:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,161.00,786656.00
2026-01-26 04:21:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,1461.00,788117.00
2026-01-26 04:22:00,0.6400,0.6300,0.6400,0.6300,0.6316,0.6300,1929.00,788706.00
2026-01-26 04:23:00,0.6400,0.6300,0.6400,0.6300,0.6300,0.6300,374.00,789080.00
2026-01-26 04:24:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,289.00,789369.00
2026-01-26 04:25:00,0.6300,0.6300,0.6400,0.6400,0.6369,0.6300,7282.00,796399.00
2026-01-26 04:26:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,5361.00,801760.00
