end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-01-30 00:20:00,0.1900,0.1100,0.1900,0.1300,0.1499,0.1900,7386.00,1770322.00
2026-01-30 00:21:00,0.1300,0.1100,0.1400,0.1200,0.1236,0.1300,21871.00,1767628.00
2026-01-30 00:22:00,0.1300,0.1200,0.1300,0.1300,0.1269,0.1200,16746.00,1774415.00
2026-01-30 00:23:00,0.1300,0.1000,0.1300,0.1000,0.1151,0.1300,40778.00,1766803.00
2026-01-30 00:24:00,0.1200,0.1000,0.1200,0.1100,0.1080,0.1000,7011.00,1770853.00
2026-01-30 00:25:00,0.1100,0.1000,0.1200,0.1200,0.1044,0.1100,32975.00,1756189.00
2026-01-30 00:26:00,0.1100,0.1000,0.1200,0.1000,0.1016,0.1200,24653.00,1777071.00
2026-01-30 00:27:00,0.1000,0.0900,0.1100,0.1100,0.0942,0.1000,11164.00,1773507.00
2026-01-30 00:28:00,0.1100,0.0600,0.1100,0.0600,0.0781,0.1100,10883.00,1774991.00
2026-01-30 00:29:00,0.0600,0.0400,0.0700,0.0600,0.0532,0.0600,40491.00,1759463.00
2026-01-30 00:30:00,0.0700,0.0600,0.1000,0.1000,0.0795,0.0600,20486.00,1767291.00
2026-01-30 00:31:00,0.1000,0.1000,0.1300,0.1100,0.1225,0.1000,10435.00,1776504.00
2026-01-30 00:32:00,0.1100,0.1000,0.1300,0.1200,0.1159,0.1100,15536.00,1780026.00
2026-01-30 00:33:00,0.1400,0.1200,0.1400,0.1300,0.1320,0.1200,14834.00,1792843.00
2026-01-30 00:34:00,0.1300,0.1200,0.1300,0.1300,0.1298,0.1300,10665.00,1803108.00
2026-01-30 00:35:00,0.1300,0.1200,0.1400,0.1200,0.1283,0.1300,21147.00,1821489.00
2026-01-30 00:36:00,0.1100,0.1000,0.1200,0.1100,0.1044,0.1200,8140.00,1820091.00
2026-01-30 00:37:00,0.1000,0.0900,0.1200,0.1200,0.0934,0.1100,28008.00,1799566.00
2026-01-30 00:38:00,0.1100,0.1100,0.1300,0.1100,0.1258,0.1200,11963.00,1810203.00
2026-01-30 00:39:00,0.1100,0.1000,0.1100,0.1000,0.1053,0.1100,3262.00,1812216.00
2026-01-30 00:40:00,0.1000,0.0900,0.1100,0.1100,0.1007,0.1000,23774.00,1817582.00
2026-01-30 00:41:00,0.1100,0.1100,0.1400,0.1200,0.1247,0.1100,25830.00,1841236.00
