end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-03-03 13:32:00,,,,,,0.4200,0.00,67727.00
2026-03-03 13:35:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4200,234.00,67961.00
2026-03-03 13:36:00,,,,,,0.4100,0.00,67961.00
2026-03-03 13:37:00,,,,,,0.4100,0.00,67961.00
2026-03-03 13:38:00,,,,,,0.4100,0.00,67961.00
2026-03-03 13:40:00,,,,,,0.4100,0.00,67961.00
2026-03-03 13:42:00,,,,,,0.4100,0.00,67961.00
2026-03-03 13:43:00,,,,,,0.4100,0.00,67961.00
2026-03-03 13:44:00,,,,,,0.4100,0.00,67961.00
2026-03-03 13:46:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4100,97.00,67992.00
2026-03-03 13:48:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4100,297.00,68289.00
2026-03-03 13:50:00,,,,,,0.4100,0.00,68289.00
2026-03-03 13:51:00,,,,,,0.4100,0.00,68289.00
2026-03-03 13:52:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4100,1162.00,69451.00
2026-03-03 14:01:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4100,115.00,69566.00
2026-03-03 14:04:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4100,16.00,69582.00
2026-03-03 14:05:00,,,,,,0.4100,0.00,69582.00
2026-03-03 14:06:00,,,,,,0.4100,0.00,69582.00
2026-03-03 14:07:00,0.4000,0.4000,0.4000,0.4000,0.4000,0.4100,2.00,69584.00
2026-03-03 14:09:00,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000,100.00,69684.00
2026-03-03 14:10:00,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000,515.00,70199.00
2026-03-03 14:11:00,,,,,,0.4000,0.00,70199.00
2026-03-03 14:13:00,,,,,,0.4000,0.00,70199.00
2026-03-03 14:15:00,,,,,,0.4000,0.00,70199.00
2026-03-03 14:16:00,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000,9.00,70208.00
2026-03-03 14:17:00,,,,,,0.4000,0.00,70208.00
2026-03-03 14:18:00,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000,178.00,70386.00
2026-03-03 14:20:00,,,,,,0.4000,0.00,70386.00
2026-03-03 14:21:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4000,1.00,70387.00
2026-03-03 14:22:00,,,,,,0.4100,0.00,70387.00
2026-03-03 14:23:00,,,,,,0.4100,0.00,70387.00
2026-03-03 14:24:00,,,,,,0.4100,0.00,70387.00
2026-03-03 14:25:00,0.4000,0.4000,0.4100,0.4100,0.4067,0.4100,1556.00,71937.00
2026-03-03 14:26:00,,,,,,0.4100,0.00,71937.00
2026-03-03 14:27:00,,,,,,0.4100,0.00,71937.00
2026-03-03 14:28:00,0.4100,0.4100,0.4200,0.4200,0.4199,0.4100,150.00,72087.00
2026-03-03 14:29:00,0.4200,0.4200,0.4300,0.4300,0.4278,0.4200,666.00,72753.00
2026-03-03 14:30:00,,,,,,0.4300,0.00,72753.00
2026-03-03 14:31:00,,,,,,0.4300,0.00,72753.00
2026-03-03 14:32:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4300,19.00,72772.00
2026-03-03 14:33:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,21.00,72793.00
2026-03-03 14:35:00,,,,,,0.4200,0.00,72793.00
2026-03-03 14:36:00,,,,,,0.4200,0.00,72793.00
2026-03-03 14:37:00,0.4200,0.4000,0.4200,0.4200,0.4046,0.4200,52.00,72805.00
2026-03-03 14:38:00,0.4200,0.4200,0.4300,0.4300,0.4282,0.4200,11.00,72807.00
2026-03-03 14:39:00,,,,,,0.4300,0.00,72807.00
2026-03-03 14:41:00,0.4200,0.4200,0.4500,0.4500,0.4359,0.4300,2202.00,74817.00
2026-03-03 14:42:00,,,,,,0.4500,0.00,74817.00
2026-03-03 14:43:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4500,55.00,74872.00
2026-03-03 14:46:00,,,,,,0.4300,0.00,74872.00
2026-03-03 14:48:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4300,1.00,74873.00
2026-03-03 14:51:00,0.4200,0.4200,0.4300,0.4200,0.4293,0.4200,324.00,75197.00
2026-03-03 14:52:00,,,,,,0.4200,0.00,75197.00
2026-03-03 14:53:00,,,,,,0.4200,0.00,75197.00
2026-03-03 14:54:00,,,,,,0.4200,0.00,75197.00
2026-03-03 14:56:00,,,,,,0.4200,0.00,75197.00
2026-03-03 14:57:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4200,44.00,75241.00
2026-03-03 14:59:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4300,100.00,75341.00
2026-03-03 15:00:00,,,,,,0.4300,0.00,75341.00
2026-03-03 15:01:00,,,,,,0.4300,0.00,75341.00
2026-03-03 15:02:00,0.4000,0.4000,0.4000,0.4000,0.4000,0.4300,10.00,75341.00
2026-03-03 15:03:00,,,,,,0.4000,0.00,75341.00
2026-03-03 15:04:00,,,,,,0.4000,0.00,75341.00
2026-03-03 15:05:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4000,69.00,75410.00
2026-03-03 15:06:00,,,,,,0.4100,0.00,75410.00
2026-03-03 15:07:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4100,1.00,75411.00
2026-03-03 15:08:00,,,,,,0.4100,0.00,75411.00
2026-03-03 15:09:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4100,776.00,76187.00
2026-03-03 15:10:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4100,30.00,76217.00
2026-03-03 15:11:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4100,100.00,76317.00
2026-03-03 15:12:00,,,,,,0.4100,0.00,76317.00
2026-03-03 15:13:00,,,,,,0.4100,0.00,76317.00
2026-03-03 15:14:00,0.4000,0.3900,0.4000,0.3900,0.3998,0.4100,102.00,76419.00
2026-03-03 15:15:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,19.00,76438.00
2026-03-03 15:16:00,0.3900,0.3800,0.3900,0.3800,0.3891,0.3900,32.00,76470.00
2026-03-03 15:17:00,,,,,,0.3800,0.00,76470.00
2026-03-03 15:18:00,,,,,,0.3800,0.00,76470.00
2026-03-03 15:19:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3800,12.00,76482.00
2026-03-03 15:20:00,0.3800,0.3800,0.3800,0.3800,0.3800,0.3900,15.00,76497.00
2026-03-03 15:21:00,,,,,,0.3800,0.00,76497.00
2026-03-03 15:22:00,,,,,,0.3800,0.00,76497.00
2026-03-03 15:24:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3800,283.00,76780.00
2026-03-03 15:25:00,0.3800,0.3800,0.3800,0.3800,0.3800,0.3900,20.00,76800.00
2026-03-03 15:26:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3800,303.00,77103.00
2026-03-03 15:27:00,,,,,,0.3900,0.00,77103.00
2026-03-03 15:28:00,,,,,,0.3900,0.00,77103.00
2026-03-03 15:29:00,,,,,,0.3900,0.00,77103.00
2026-03-03 15:30:00,,,,,,0.3900,0.00,77103.00
2026-03-03 15:31:00,,,,,,0.3900,0.00,77103.00
2026-03-03 15:33:00,0.3900,0.3900,0.4000,0.3900,0.3980,0.3900,1023.00,78122.00
2026-03-03 15:34:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,7.00,78129.00
2026-03-03 15:36:00,0.4000,0.4000,0.4000,0.4000,0.4000,0.3900,500.00,78629.00
2026-03-03 15:37:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.4000,277.00,78906.00
2026-03-03 15:38:00,,,,,,0.3900,0.00,78906.00
2026-03-03 15:41:00,0.3900,0.3900,0.4000,0.4000,0.3910,0.3900,40.00,78946.00
2026-03-03 15:42:00,,,,,,0.4000,0.00,78946.00
2026-03-03 15:43:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.4000,132.00,79078.00
2026-03-03 15:44:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,50.00,79128.00
2026-03-03 15:45:00,0.3900,0.3800,0.4000,0.4000,0.3965,0.3900,1036.00,80079.00
2026-03-03 15:46:00,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000,51.00,80130.00
2026-03-03 15:47:00,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000,376.00,80506.00
2026-03-03 15:48:00,0.4000,0.4000,0.4100,0.4000,0.4027,0.4000,138.00,80644.00
2026-03-03 15:49:00,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000,130.00,80774.00
2026-03-03 15:50:00,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000,991.00,81765.00
2026-03-03 15:51:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.4000,56.00,81821.00
2026-03-03 15:52:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,206.00,82027.00
2026-03-03 15:53:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,59.00,82086.00
2026-03-03 15:54:00,0.3900,0.3800,0.4000,0.3800,0.3938,0.3900,1279.00,83349.00
2026-03-03 15:55:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3800,60.00,83409.00
2026-03-03 15:56:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,1.00,83410.00
2026-03-03 15:57:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,250.00,83660.00
2026-03-03 15:58:00,0.3800,0.3800,0.3900,0.3900,0.3881,0.3900,2829.00,86489.00
2026-03-03 15:59:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,10.00,86499.00
2026-03-03 16:00:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,47.00,86546.00
2026-03-03 16:01:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,475.00,87021.00
2026-03-03 16:02:00,0.4000,0.4000,0.4300,0.4100,0.4038,0.3900,928.00,87935.00
2026-03-03 16:03:00,0.3900,0.3800,0.4300,0.4300,0.4121,0.4100,2265.00,90195.00
2026-03-03 16:04:00,0.4300,0.4000,0.4300,0.4000,0.4217,0.4300,499.00,90622.00
2026-03-03 16:05:00,0.4100,0.3900,0.4300,0.3900,0.4047,0.4000,947.00,91569.00
2026-03-03 16:06:00,0.4000,0.4000,0.4200,0.4000,0.4123,0.3900,414.00,91972.00
2026-03-03 16:07:00,0.3900,0.3800,0.4000,0.3900,0.3913,0.4000,528.00,92488.00
2026-03-03 16:08:00,0.3800,0.3800,0.4100,0.4100,0.3805,0.3900,244.00,92540.00
2026-03-03 16:09:00,0.4100,0.3800,0.4300,0.3800,0.4140,0.4100,1341.00,93794.00
2026-03-03 16:10:00,0.3800,0.3400,0.3900,0.3400,0.3671,0.3800,8250.00,102036.00
2026-03-03 16:11:00,0.3400,0.2100,0.3400,0.2200,0.2369,0.3400,13776.00,99893.00
2026-03-03 16:12:00,0.2200,0.2000,0.2200,0.2200,0.2170,0.2200,11470.00,106897.00
2026-03-03 16:13:00,0.2200,0.2000,0.2200,0.2000,0.2054,0.2200,1085.00,107982.00
