end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-03-05 12:43:00,0.4000,0.4000,0.4100,0.4100,0.4020,0.4100,132.00,34094.00
2026-03-05 12:44:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4100,14.00,34108.00
2026-03-05 12:45:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4100,22.00,34130.00
2026-03-05 12:46:00,,,,,,0.4100,0.00,34130.00
2026-03-05 12:47:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4100,275.00,34405.00
2026-03-05 12:48:00,,,,,,0.4100,0.00,34405.00
2026-03-05 12:49:00,,,,,,0.4100,0.00,34405.00
2026-03-05 12:52:00,0.4000,0.4000,0.4000,0.4000,0.4000,0.4100,60.00,34465.00
2026-03-05 12:53:00,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000,17.00,34482.00
2026-03-05 12:55:00,0.4000,0.4000,0.4100,0.4100,0.4039,0.4000,168.00,34650.00
2026-03-05 12:57:00,,,,,,0.4100,0.00,34650.00
2026-03-05 12:58:00,,,,,,0.4100,0.00,34650.00
2026-03-05 12:59:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4100,29.00,34679.00
2026-03-05 13:01:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4100,81.00,34760.00
2026-03-05 13:02:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4100,69.00,34829.00
2026-03-05 13:03:00,0.4000,0.4000,0.4000,0.4000,0.4000,0.4100,151.00,34829.00
2026-03-05 13:04:00,,,,,,0.4000,0.00,34829.00
2026-03-05 13:05:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4000,23.00,34852.00
2026-03-05 13:06:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4100,202.00,35054.00
2026-03-05 13:07:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4100,117.00,35171.00
2026-03-05 13:08:00,0.4000,0.4000,0.4000,0.4000,0.4000,0.4100,100.00,35171.00
2026-03-05 13:09:00,,,,,,0.4000,0.00,35171.00
2026-03-05 13:10:00,0.4000,0.4000,0.4100,0.4000,0.4002,0.4000,216.00,35387.00
2026-03-05 13:11:00,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000,600.00,35987.00
2026-03-05 13:12:00,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000,400.00,36387.00
2026-03-05 13:13:00,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000,200.00,36587.00
2026-03-05 13:14:00,0.4000,0.4000,0.4100,0.4100,0.4083,0.4000,2339.00,38926.00
2026-03-05 13:15:00,0.4000,0.4000,0.4100,0.4100,0.4001,0.4100,203.00,39129.00
2026-03-05 13:17:00,0.4000,0.4000,0.4000,0.4000,0.4000,0.4100,11.00,39140.00
2026-03-05 13:18:00,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000,189.00,39329.00
2026-03-05 13:19:00,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000,200.00,39529.00
2026-03-05 13:20:00,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000,28.00,39557.00
2026-03-05 13:21:00,,,,,,0.4000,0.00,39557.00
2026-03-05 13:22:00,0.4000,0.4000,0.4100,0.4100,0.4057,0.4000,469.00,40026.00
2026-03-05 13:23:00,0.4000,0.4000,0.4100,0.4100,0.4080,0.4100,1000.00,41026.00
2026-03-05 13:24:00,0.4100,0.4000,0.4100,0.4000,0.4062,0.4100,188.00,41214.00
2026-03-05 13:25:00,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000,346.00,41560.00
2026-03-05 13:26:00,0.4000,0.4000,0.4100,0.4000,0.4066,0.4000,587.00,42146.00
2026-03-05 13:27:00,,,,,,0.4000,0.00,42146.00
2026-03-05 13:28:00,0.4000,0.4000,0.4100,0.4100,0.4016,0.4000,70.00,42216.00
2026-03-05 13:29:00,,,,,,0.4100,0.00,42216.00
2026-03-05 13:30:00,0.4000,0.4000,0.4000,0.4000,0.4000,0.4100,71.00,42287.00
2026-03-05 13:31:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4000,936.00,43223.00
2026-03-05 13:32:00,0.4000,0.4000,0.4100,0.4100,0.4051,0.4100,244.00,43467.00
2026-03-05 13:33:00,0.4000,0.4000,0.4000,0.4000,0.4000,0.4100,18.00,43485.00
2026-03-05 13:34:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4000,369.00,43854.00
2026-03-05 13:35:00,0.4000,0.4000,0.4000,0.4000,0.4000,0.4100,70.00,43924.00
2026-03-05 13:36:00,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000,184.00,44108.00
2026-03-05 13:37:00,0.4000,0.4000,0.4100,0.4100,0.4057,0.4000,519.00,44626.00
2026-03-05 13:38:00,,,,,,0.4100,0.00,44626.00
2026-03-05 13:39:00,0.4000,0.4000,0.4000,0.4000,0.4000,0.4100,988.00,45614.00
2026-03-05 13:40:00,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000,240.00,45774.00
2026-03-05 13:41:00,0.4000,0.3900,0.4000,0.4000,0.3983,0.4000,1025.00,46447.00
2026-03-05 13:42:00,0.4000,0.4000,0.4100,0.4100,0.4070,0.4000,1053.00,47500.00
2026-03-05 13:43:00,0.4000,0.4000,0.4100,0.4100,0.4003,0.4100,1343.00,48843.00
