end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-03-04 17:02:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,2.00,46032.00
2026-03-04 17:03:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,14.00,46046.00
2026-03-04 17:04:00,,,,,,0.3400,0.00,46046.00
2026-03-04 17:05:00,,,,,,0.3400,0.00,46046.00
2026-03-04 17:06:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,114.00,46160.00
2026-03-04 17:07:00,,,,,,0.3400,0.00,46160.00
2026-03-04 17:08:00,,,,,,0.3400,0.00,46160.00
2026-03-04 17:09:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,69.00,46229.00
2026-03-04 17:10:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,1500.00,47729.00
2026-03-04 17:11:00,,,,,,0.3400,0.00,47729.00
2026-03-04 17:12:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,139.00,47868.00
2026-03-04 17:13:00,,,,,,0.3400,0.00,47868.00
2026-03-04 17:14:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,55.00,47923.00
2026-03-04 17:15:00,,,,,,0.3400,0.00,47923.00
2026-03-04 17:16:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,281.00,48204.00
2026-03-04 17:17:00,,,,,,0.3400,0.00,48204.00
2026-03-04 17:18:00,,,,,,0.3400,0.00,48204.00
2026-03-04 17:19:00,,,,,,0.3400,0.00,48204.00
2026-03-04 17:20:00,,,,,,0.3400,0.00,48204.00
2026-03-04 17:21:00,,,,,,0.3400,0.00,48204.00
2026-03-04 17:22:00,,,,,,0.3400,0.00,48204.00
2026-03-04 17:23:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,14.00,48218.00
2026-03-04 17:24:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,447.00,48665.00
2026-03-04 17:25:00,,,,,,0.3400,0.00,48665.00
2026-03-04 17:26:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,472.00,49137.00
2026-03-04 17:27:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,541.00,49678.00
2026-03-04 17:28:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,26.00,49704.00
2026-03-04 17:29:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,500.00,50204.00
2026-03-04 17:30:00,,,,,,0.3400,0.00,50204.00
2026-03-04 17:31:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,236.00,50440.00
2026-03-04 17:32:00,,,,,,0.3400,0.00,50440.00
2026-03-04 17:33:00,,,,,,0.3400,0.00,50440.00
2026-03-04 17:34:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,111.00,50551.00
2026-03-04 17:35:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,2000.00,52551.00
2026-03-04 17:36:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,1400.00,53951.00
2026-03-04 17:37:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,11.00,53962.00
