end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-03-05 18:33:00,0.3200,0.3200,0.3200,0.3200,0.3200,0.3200,29.00,3654.00
2026-03-05 18:34:00,,,,,,0.3200,0.00,3654.00
2026-03-05 18:35:00,,,,,,0.3200,0.00,3654.00
2026-03-05 18:36:00,,,,,,0.3200,0.00,3654.00
2026-03-05 18:37:00,0.3200,0.3200,0.3200,0.3200,0.3200,0.3200,45.00,3699.00
2026-03-05 18:43:00,0.3200,0.3200,0.3200,0.3200,0.3200,0.3200,2.00,3701.00
2026-03-05 18:47:00,0.3200,0.3200,0.3200,0.3200,0.3200,0.3200,2.00,3703.00
2026-03-05 18:51:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3200,56.00,3759.00
2026-03-05 18:54:00,,,,,,0.3100,0.00,3759.00
2026-03-05 18:55:00,,,,,,0.3100,0.00,3759.00
2026-03-05 18:58:00,0.3200,0.3200,0.3200,0.3200,0.3200,0.3100,29.00,3788.00
2026-03-05 18:59:00,,,,,,0.3200,0.00,3788.00
2026-03-05 19:02:00,0.3200,0.3200,0.3200,0.3200,0.3200,0.3200,14.00,3802.00
2026-03-05 19:06:00,,,,,,0.3200,0.00,3802.00
2026-03-05 19:08:00,,,,,,0.3200,0.00,3802.00
2026-03-05 19:10:00,,,,,,0.3200,0.00,3802.00
2026-03-05 19:11:00,,,,,,0.3200,0.00,3802.00
2026-03-05 19:12:00,0.3200,0.3200,0.3200,0.3200,0.3200,0.3200,29.00,3831.00
2026-03-05 19:13:00,,,,,,0.3200,0.00,3831.00
2026-03-05 19:14:00,0.3200,0.3200,0.3200,0.3200,0.3200,0.3200,149.00,3980.00
2026-03-05 19:17:00,,,,,,0.3200,0.00,3980.00
2026-03-05 19:19:00,0.3200,0.3200,0.3200,0.3200,0.3200,0.3200,64.00,4044.00
2026-03-05 19:20:00,,,,,,0.3200,0.00,4044.00
2026-03-05 19:21:00,,,,,,0.3200,0.00,4044.00
2026-03-05 19:24:00,0.3200,0.3200,0.3200,0.3200,0.3200,0.3200,29.00,4073.00
2026-03-05 19:25:00,,,,,,0.3200,0.00,4073.00
2026-03-05 19:26:00,,,,,,0.3200,0.00,4073.00
2026-03-05 19:28:00,0.3200,0.3200,0.3300,0.3300,0.3266,0.3200,872.00,4945.00
2026-03-05 19:29:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,303.00,5248.00
2026-03-05 19:30:00,,,,,,0.3300,0.00,5248.00
2026-03-05 19:31:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,57.00,5305.00
2026-03-05 19:32:00,,,,,,0.3300,0.00,5305.00
2026-03-05 19:33:00,,,,,,0.3300,0.00,5305.00
2026-03-05 19:34:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,2.00,5307.00
2026-03-05 19:35:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,200.00,5507.00
2026-03-05 19:36:00,0.3400,0.3300,0.3500,0.3300,0.3399,0.3300,6373.00,11880.00
2026-03-05 19:37:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,200.00,12080.00
2026-03-05 19:38:00,0.3300,0.3300,0.3400,0.3300,0.3340,0.3300,653.00,12733.00
2026-03-05 19:39:00,,,,,,0.3300,0.00,12733.00
2026-03-05 19:40:00,,,,,,0.3300,0.00,12733.00
2026-03-05 19:41:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,88.00,12821.00
2026-03-05 19:42:00,0.3300,0.3200,0.3300,0.3200,0.3255,0.3300,128.00,12949.00
2026-03-05 19:43:00,0.3300,0.3300,0.3400,0.3400,0.3394,0.3200,885.00,13834.00
2026-03-05 19:44:00,0.3400,0.3300,0.3400,0.3300,0.3306,0.3400,308.00,14142.00
2026-03-05 19:45:00,0.3400,0.3000,0.3400,0.3000,0.3264,0.3300,1618.00,15760.00
2026-03-05 19:46:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3000,83.00,15843.00
2026-03-05 19:47:00,0.3000,0.2400,0.3000,0.2400,0.2772,0.3300,491.00,15924.00
2026-03-05 19:48:00,0.2500,0.2000,0.2600,0.2000,0.2063,0.2400,1064.00,16960.00
2026-03-05 19:49:00,0.2000,0.2000,0.2200,0.2200,0.2171,0.2000,421.00,17238.00
2026-03-05 19:50:00,0.2100,0.2100,0.2200,0.2200,0.2189,0.2200,114.00,17151.00
2026-03-05 19:51:00,0.2300,0.2300,0.3300,0.3300,0.2634,0.2200,8418.00,21693.00
2026-03-05 19:52:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3300,100.00,21793.00
2026-03-05 19:53:00,0.3000,0.3000,0.3200,0.3000,0.3067,0.3100,1489.00,22091.00
2026-03-05 19:54:00,0.3300,0.3000,0.3600,0.3600,0.3538,0.3000,1347.00,22203.00
2026-03-05 19:55:00,0.3700,0.3700,0.3800,0.3800,0.3797,0.3600,3708.00,25282.00
2026-03-05 19:56:00,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,658.00,25940.00
