end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-03-07 15:14:00,,,,,,0.2600,0.00,2390.00
2026-03-07 15:15:00,,,,,,0.2600,0.00,2390.00
2026-03-07 15:18:00,,,,,,0.2600,0.00,2390.00
2026-03-07 15:19:00,,,,,,0.2600,0.00,2390.00
2026-03-07 15:20:00,,,,,,0.2600,0.00,2390.00
2026-03-07 15:21:00,,,,,,0.2600,0.00,2390.00
2026-03-07 15:23:00,,,,,,0.2600,0.00,2390.00
2026-03-07 15:24:00,,,,,,0.2600,0.00,2390.00
2026-03-07 15:29:00,0.2600,0.2600,0.2600,0.2600,0.2600,0.2600,36.00,2426.00
2026-03-07 15:30:00,,,,,,0.2600,0.00,2426.00
2026-03-07 15:31:00,,,,,,0.2600,0.00,2426.00
2026-03-07 15:33:00,,,,,,0.2600,0.00,2426.00
2026-03-07 15:36:00,0.2600,0.2600,0.2600,0.2600,0.2600,0.2600,362.00,2788.00
2026-03-07 15:38:00,0.2600,0.2600,0.2600,0.2600,0.2600,0.2600,11.00,2799.00
2026-03-07 15:39:00,,,,,,0.2600,0.00,2799.00
2026-03-07 15:41:00,,,,,,0.2600,0.00,2799.00
2026-03-07 15:44:00,,,,,,0.2600,0.00,2799.00
2026-03-07 15:50:00,,,,,,0.2600,0.00,2799.00
2026-03-07 15:51:00,,,,,,0.2600,0.00,2799.00
2026-03-07 15:55:00,0.2600,0.2600,0.2600,0.2600,0.2600,0.2600,86.00,2885.00
2026-03-07 15:56:00,,,,,,0.2600,0.00,2885.00
2026-03-07 15:58:00,,,,,,0.2600,0.00,2885.00
2026-03-07 15:59:00,,,,,,0.2600,0.00,2885.00
2026-03-07 16:00:00,,,,,,0.2600,0.00,2885.00
2026-03-07 16:02:00,0.2600,0.2600,0.2600,0.2600,0.2600,0.2600,66.00,2951.00
2026-03-07 16:03:00,,,,,,0.2600,0.00,2951.00
2026-03-07 16:04:00,0.2600,0.2600,0.2600,0.2600,0.2600,0.2600,196.00,3147.00
2026-03-07 16:05:00,,,,,,0.2600,0.00,3147.00
2026-03-07 16:06:00,0.2600,0.2600,0.2600,0.2600,0.2600,0.2600,100.00,3247.00
2026-03-07 16:07:00,,,,,,0.2600,0.00,3247.00
2026-03-07 16:08:00,,,,,,0.2600,0.00,3247.00
2026-03-07 16:09:00,0.2600,0.2600,0.2600,0.2600,0.2600,0.2600,357.00,3604.00
2026-03-07 16:10:00,,,,,,0.2600,0.00,3604.00
2026-03-07 16:11:00,0.2500,0.2500,0.2500,0.2500,0.2500,0.2600,44.00,3648.00
2026-03-07 16:12:00,,,,,,0.2500,0.00,3648.00
2026-03-07 16:13:00,0.2600,0.2600,0.2600,0.2600,0.2600,0.2500,217.00,3865.00
2026-03-07 16:14:00,,,,,,0.2600,0.00,3865.00
2026-03-07 16:15:00,,,,,,0.2600,0.00,3865.00
2026-03-07 16:16:00,0.2500,0.2500,0.2500,0.2500,0.2500,0.2600,732.00,4597.00
2026-03-07 16:17:00,0.2700,0.2700,0.3000,0.2900,0.2907,0.2500,147.00,4744.00
2026-03-07 16:18:00,0.2900,0.2900,0.3100,0.3100,0.3036,0.2900,22.00,4766.00
2026-03-07 16:19:00,,,,,,0.3100,0.00,4766.00
2026-03-07 16:20:00,0.2900,0.2800,0.2900,0.2800,0.2830,0.3100,54.00,4805.00
2026-03-07 16:21:00,0.2700,0.2700,0.2700,0.2700,0.2700,0.2800,1099.00,5904.00
2026-03-07 16:22:00,0.2900,0.2900,0.3100,0.3100,0.2911,0.2700,350.00,6254.00
2026-03-07 16:23:00,0.2900,0.2700,0.2900,0.2700,0.2849,0.3100,101.00,6355.00
2026-03-07 16:24:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2700,161.00,6516.00
2026-03-07 16:25:00,0.2600,0.1600,0.2600,0.1600,0.1922,0.2900,51.00,6551.00
2026-03-07 16:26:00,0.1600,0.1400,0.1600,0.1400,0.1591,0.1600,1585.00,8072.00
2026-03-07 16:27:00,,,,,,0.1400,0.00,8072.00
2026-03-07 16:28:00,0.1400,0.1400,0.1600,0.1500,0.1471,0.1400,1047.00,9119.00
2026-03-07 16:29:00,0.1600,0.1600,0.2100,0.1700,0.1638,0.1500,783.00,9734.00
2026-03-07 16:30:00,0.2000,0.2000,0.2000,0.2000,0.2000,0.1700,1503.00,11237.00
2026-03-07 16:31:00,0.1700,0.1700,0.1800,0.1800,0.1749,0.2000,91.00,11327.00
2026-03-07 16:32:00,0.1800,0.1600,0.2000,0.1600,0.1650,0.1800,1168.00,12495.00
2026-03-07 16:33:00,0.1700,0.1500,0.1900,0.1500,0.1819,0.1600,1062.00,13557.00
2026-03-07 16:34:00,0.1500,0.1300,0.1500,0.1300,0.1304,0.1500,151.00,13424.00
2026-03-07 16:35:00,0.1200,0.1200,0.1500,0.1500,0.1467,0.1300,1698.00,14964.00
