end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-03-08 20:07:00,,,,,,0.6900,0.00,55549.00
2026-03-08 20:08:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,9.00,55558.00
2026-03-08 20:09:00,,,,,,0.6900,0.00,55558.00
2026-03-08 20:11:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,54.00,55612.00
2026-03-08 20:12:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,22.00,55634.00
2026-03-08 20:15:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,290.00,55924.00
2026-03-08 20:16:00,,,,,,0.6900,0.00,55924.00
2026-03-08 20:17:00,,,,,,0.6900,0.00,55924.00
2026-03-08 20:19:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,35.00,55959.00
2026-03-08 20:20:00,,,,,,0.6900,0.00,55959.00
2026-03-08 20:21:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,7.00,55966.00
2026-03-08 20:22:00,0.6900,0.6800,0.6900,0.6800,0.6839,0.6900,116.00,56011.00
2026-03-08 20:23:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6800,14.00,56025.00
2026-03-08 20:24:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,14.00,56039.00
2026-03-08 20:25:00,,,,,,0.6900,0.00,56039.00
2026-03-08 20:26:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,10.00,56049.00
2026-03-08 20:27:00,,,,,,0.6900,0.00,56049.00
2026-03-08 20:28:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,429.00,56478.00
2026-03-08 20:29:00,,,,,,0.6900,0.00,56478.00
2026-03-08 20:31:00,,,,,,0.6900,0.00,56478.00
2026-03-08 20:32:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,21.00,56499.00
2026-03-08 20:33:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,139.00,56638.00
2026-03-08 20:34:00,,,,,,0.6900,0.00,56638.00
2026-03-08 20:36:00,,,,,,0.6900,0.00,56638.00
2026-03-08 20:38:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,5.00,56643.00
2026-03-08 20:40:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,41.00,56684.00
2026-03-08 20:43:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,192.00,56876.00
2026-03-08 20:44:00,,,,,,0.6900,0.00,56876.00
2026-03-08 20:45:00,,,,,,0.6900,0.00,56876.00
2026-03-08 20:46:00,,,,,,0.6900,0.00,56876.00
2026-03-08 20:47:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,63.00,56939.00
2026-03-08 20:48:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,4.00,56943.00
2026-03-08 20:49:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,25.00,56968.00
2026-03-08 20:51:00,,,,,,0.6900,0.00,56968.00
2026-03-08 20:52:00,,,,,,0.6900,0.00,56968.00
2026-03-08 20:53:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,35.00,57003.00
2026-03-08 20:54:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,7.00,57010.00
2026-03-08 20:55:00,,,,,,0.6900,0.00,57010.00
2026-03-08 20:56:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,1433.00,58443.00
2026-03-08 20:57:00,,,,,,0.6900,0.00,58443.00
2026-03-08 20:58:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,28.00,58471.00
2026-03-08 20:59:00,,,,,,0.6900,0.00,58471.00
2026-03-08 21:00:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,21.00,58492.00
2026-03-08 21:01:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,15.00,58507.00
2026-03-08 21:02:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,89.00,58596.00
2026-03-08 21:03:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,116.00,58712.00
2026-03-08 21:04:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,121.00,58833.00
2026-03-08 21:05:00,,,,,,0.6900,0.00,58833.00
2026-03-08 21:06:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,70.00,58903.00
2026-03-08 21:07:00,,,,,,0.6900,0.00,58903.00
2026-03-08 21:08:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,1578.00,60481.00
2026-03-08 21:09:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,1038.00,61519.00
2026-03-08 21:10:00,,,,,,0.6900,0.00,61519.00
2026-03-08 21:11:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,114.00,61633.00
2026-03-08 21:12:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,21.00,61654.00
2026-03-08 21:13:00,,,,,,0.6900,0.00,61654.00
2026-03-08 21:14:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,4.00,61658.00
2026-03-08 21:15:00,0.6900,0.6800,0.6900,0.6800,0.6801,0.6900,145.00,61659.00
2026-03-08 21:16:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6800,4.00,61663.00
2026-03-08 21:17:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,57.00,61720.00
2026-03-08 21:18:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,165.00,61885.00
2026-03-08 21:19:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,86.00,61971.00
2026-03-08 21:20:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,28.00,61999.00
2026-03-08 21:22:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,457.00,62456.00
2026-03-08 21:23:00,,,,,,0.6900,0.00,62456.00
2026-03-08 21:24:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,9.00,62465.00
2026-03-08 21:25:00,0.6900,0.6900,0.7100,0.7100,0.6956,0.6900,13945.00,76227.00
2026-03-08 21:26:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7100,553.00,76780.00
2026-03-08 21:27:00,,,,,,0.7000,0.00,76780.00
2026-03-08 21:28:00,0.6900,0.6900,0.7000,0.7000,0.6984,0.7000,101.00,76850.00
2026-03-08 21:29:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,3777.00,80627.00
2026-03-08 21:30:00,,,,,,0.7000,0.00,80627.00
2026-03-08 21:31:00,,,,,,0.7000,0.00,80627.00
2026-03-08 21:32:00,,,,,,0.7000,0.00,80627.00
2026-03-08 21:33:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,139.00,80766.00
2026-03-08 21:34:00,,,,,,0.7000,0.00,80766.00
2026-03-08 21:35:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,13.00,80779.00
2026-03-08 21:36:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,111.00,80890.00
2026-03-08 21:37:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,4587.00,85477.00
2026-03-08 21:38:00,,,,,,0.7000,0.00,85477.00
2026-03-08 21:39:00,,,,,,0.7000,0.00,85477.00
2026-03-08 21:40:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,1534.00,87011.00
2026-03-08 21:41:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,50.00,87061.00
2026-03-08 21:42:00,,,,,,0.7000,0.00,87061.00
2026-03-08 21:43:00,,,,,,0.7000,0.00,87061.00
2026-03-08 21:44:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,29.00,87090.00
2026-03-08 21:45:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,20.00,87110.00
2026-03-08 21:46:00,0.6900,0.6800,0.6900,0.6800,0.6878,0.7000,193.00,87210.00
2026-03-08 21:48:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6800,28.00,87238.00
2026-03-08 21:50:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,7.00,87245.00
2026-03-08 21:51:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,7.00,87252.00
2026-03-08 21:52:00,,,,,,0.6900,0.00,87252.00
2026-03-08 21:53:00,,,,,,0.6900,0.00,87252.00
2026-03-08 21:54:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,182.00,87434.00
2026-03-08 21:55:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6900,86.00,87520.00
2026-03-08 21:57:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6800,1548.00,89068.00
2026-03-08 21:58:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,1000.00,90068.00
2026-03-08 21:59:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,104.00,90172.00
2026-03-08 22:00:00,,,,,,0.6900,0.00,90172.00
2026-03-08 22:01:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,176.00,90348.00
2026-03-08 22:02:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,161.00,90509.00
2026-03-08 22:03:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6900,590.00,91008.00
2026-03-08 22:04:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,854.00,91862.00
2026-03-08 22:05:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,28.00,91862.00
2026-03-08 22:06:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,1470.00,93331.00
2026-03-08 22:07:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,136.00,93467.00
2026-03-08 22:08:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,46.00,93513.00
2026-03-08 22:09:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,170.00,93683.00
2026-03-08 22:10:00,0.6800,0.6800,0.6900,0.6900,0.6860,0.6800,546.00,94229.00
2026-03-08 22:11:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,2942.00,97171.00
2026-03-08 22:12:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,749.00,97920.00
2026-03-08 22:13:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,5004.00,102924.00
2026-03-08 22:14:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,876.00,103800.00
2026-03-08 22:15:00,0.6900,0.6800,0.6900,0.6900,0.6887,0.6900,2256.00,106056.00
2026-03-08 22:16:00,0.6900,0.6800,0.6900,0.6800,0.6886,0.6900,990.00,107046.00
2026-03-08 22:17:00,0.6800,0.6700,0.6800,0.6800,0.6798,0.6800,1637.00,108627.00
2026-03-08 22:18:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6800,3660.00,112287.00
2026-03-08 22:19:00,0.6700,0.6700,0.6900,0.6900,0.6846,0.6900,278.00,112490.00
2026-03-08 22:20:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,866.00,113356.00
2026-03-08 22:21:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,784.00,114140.00
2026-03-08 22:22:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,5858.00,119998.00
2026-03-08 22:23:00,0.6900,0.6700,0.6900,0.6900,0.6868,0.6900,182.00,120151.00
2026-03-08 22:24:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,4423.00,124574.00
2026-03-08 22:25:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,468.00,125042.00
2026-03-08 22:26:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,5150.00,130192.00
2026-03-08 22:27:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,215.00,130407.00
2026-03-08 22:28:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,285.00,130692.00
2026-03-08 22:29:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,2550.00,131492.00
2026-03-08 22:30:00,0.6900,0.6700,0.6900,0.6700,0.6764,0.6900,8544.00,136026.00
2026-03-08 22:31:00,0.6900,0.6600,0.6900,0.6900,0.6875,0.6700,1987.00,138011.00
2026-03-08 22:32:00,0.6900,0.6800,0.6900,0.6800,0.6886,0.6900,160.00,138171.00
2026-03-08 22:33:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6800,149.00,138022.00
2026-03-08 22:34:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6600,349.00,138371.00
2026-03-08 22:35:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,50.00,138421.00
2026-03-08 22:36:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,393.00,138814.00
2026-03-08 22:37:00,0.6800,0.6600,0.6900,0.6900,0.6703,0.6800,432.00,139035.00
2026-03-08 22:38:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,3474.00,142509.00
2026-03-08 22:39:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,186.00,142695.00
2026-03-08 22:40:00,0.6800,0.6800,0.6900,0.6900,0.6884,0.6900,9126.00,151821.00
2026-03-08 22:41:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,2083.00,153904.00
2026-03-08 22:42:00,0.6900,0.6600,0.6900,0.6700,0.6751,0.6900,1743.00,155448.00
2026-03-08 22:43:00,0.6700,0.6500,0.6700,0.6600,0.6624,0.6700,3470.00,158918.00
2026-03-08 22:44:00,0.6500,0.6300,0.6800,0.6800,0.6598,0.6600,15782.00,174700.00
2026-03-08 22:45:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6800,11193.00,185893.00
2026-03-08 22:46:00,0.6700,0.6500,0.6700,0.6600,0.6620,0.6700,7075.00,191875.00
2026-03-08 22:47:00,0.6600,0.6000,0.6600,0.6300,0.6482,0.6600,11065.00,202903.00
2026-03-08 22:48:00,0.6300,0.5900,0.6500,0.6300,0.6142,0.6300,4470.00,207350.00
2026-03-08 22:49:00,0.6300,0.5800,0.6400,0.5800,0.5926,0.6300,2549.00,209899.00
2026-03-08 22:50:00,0.5700,0.5000,0.5700,0.5100,0.5093,0.5800,6159.00,215421.00
2026-03-08 22:51:00,0.5300,0.5000,0.5700,0.5000,0.5253,0.5100,14869.00,229906.00
2026-03-08 22:52:00,0.4900,0.4500,0.5200,0.4800,0.4710,0.5000,9253.00,239075.00
2026-03-08 22:53:00,0.4900,0.4500,0.4900,0.4500,0.4700,0.4800,8340.00,247247.00
2026-03-08 22:54:00,0.4500,0.4300,0.4500,0.4400,0.4483,0.4500,2363.00,249269.00
2026-03-08 22:55:00,0.4500,0.4100,0.4600,0.4500,0.4413,0.4400,3303.00,252080.00
2026-03-08 22:56:00,0.4300,0.3700,0.4400,0.3700,0.3879,0.4500,8770.00,260192.00
2026-03-08 22:57:00,0.3700,0.2400,0.3800,0.3800,0.3541,0.3700,9470.00,265542.00
2026-03-08 22:58:00,0.3800,0.3800,0.4300,0.4300,0.4157,0.3800,2551.00,266838.00
2026-03-08 22:59:00,0.4300,0.4300,0.4500,0.4500,0.4399,0.4300,4530.00,270944.00
2026-03-08 23:00:00,0.4500,0.4300,0.4800,0.4300,0.4625,0.4500,3755.00,273225.00
2026-03-08 23:01:00,0.4700,0.4100,0.5100,0.5100,0.4612,0.4300,5793.00,268837.00
2026-03-08 23:02:00,0.5100,0.4600,0.5100,0.4600,0.4850,0.5100,12451.00,281048.00
2026-03-08 23:03:00,0.4500,0.4100,0.4800,0.4200,0.4296,0.4600,8473.00,279384.00
2026-03-08 23:04:00,0.4200,0.4100,0.4200,0.4200,0.4200,0.4200,4194.00,282188.00
2026-03-08 23:05:00,0.4200,0.4000,0.4500,0.4400,0.4267,0.4200,1825.00,283782.00
2026-03-08 23:06:00,0.4500,0.4100,0.4500,0.4200,0.4246,0.4400,1332.00,285034.00
2026-03-08 23:07:00,0.4100,0.3900,0.4300,0.3900,0.3951,0.4200,1367.00,285514.00
2026-03-08 23:08:00,0.3900,0.3700,0.4200,0.4100,0.4121,0.3900,1428.00,286307.00
2026-03-08 23:09:00,0.4100,0.4100,0.4500,0.4400,0.4331,0.4100,2705.00,288918.00
2026-03-08 23:10:00,0.4300,0.3700,0.4400,0.4000,0.4218,0.4400,1371.00,290059.00
2026-03-08 23:11:00,0.4200,0.3600,0.4300,0.4100,0.4164,0.4000,2160.00,291907.00
2026-03-08 23:12:00,0.4100,0.4000,0.4400,0.4200,0.4285,0.4100,11835.00,303628.00
2026-03-08 23:13:00,0.4200,0.4100,0.4500,0.4500,0.4295,0.4200,2712.00,306161.00
2026-03-08 23:14:00,0.4400,0.4100,0.4500,0.4100,0.4242,0.4500,724.00,306885.00
2026-03-08 23:15:00,0.4000,0.3900,0.4100,0.3900,0.4025,0.4100,569.00,307444.00
2026-03-08 23:16:00,0.3900,0.3800,0.4000,0.3800,0.3875,0.3900,12380.00,319824.00
