end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-03-09 20:51:00,,,,,,0.1700,0.00,24786.00
2026-03-09 20:52:00,,,,,,0.1700,0.00,24786.00
2026-03-09 20:54:00,,,,,,0.1700,0.00,24786.00
2026-03-09 20:57:00,0.1700,0.1700,0.1700,0.1700,0.1700,0.1700,11.00,24797.00
2026-03-09 20:59:00,0.1700,0.1700,0.1700,0.1700,0.1700,0.1700,27.00,24824.00
2026-03-09 21:00:00,0.1700,0.1700,0.1700,0.1700,0.1700,0.1700,16.00,24840.00
2026-03-09 21:02:00,,,,,,0.1700,0.00,24840.00
2026-03-09 21:03:00,0.1700,0.1700,0.1700,0.1700,0.1700,0.1700,50.00,24890.00
2026-03-09 21:04:00,0.1700,0.1700,0.1700,0.1700,0.1700,0.1700,66.00,24956.00
2026-03-09 21:06:00,,,,,,0.1700,0.00,24956.00
2026-03-09 21:09:00,0.1700,0.1700,0.1700,0.1700,0.1700,0.1700,100.00,25056.00
2026-03-09 21:10:00,0.1700,0.1700,0.1700,0.1700,0.1700,0.1700,277.00,25333.00
2026-03-09 21:11:00,0.1700,0.1700,0.1700,0.1700,0.1700,0.1700,83.00,25416.00
2026-03-09 21:12:00,0.1700,0.1700,0.1700,0.1700,0.1700,0.1700,1007.00,26423.00
2026-03-09 21:13:00,0.1700,0.1700,0.1700,0.1700,0.1700,0.1700,71.00,26494.00
2026-03-09 21:14:00,0.1700,0.1700,0.1700,0.1700,0.1700,0.1700,28.00,26522.00
2026-03-09 21:15:00,0.1700,0.1700,0.1700,0.1700,0.1700,0.1700,315.00,26837.00
2026-03-09 21:16:00,0.1700,0.1700,0.1700,0.1700,0.1700,0.1700,222.00,27059.00
2026-03-09 21:17:00,0.1700,0.1700,0.1700,0.1700,0.1700,0.1700,369.00,27428.00
2026-03-09 21:18:00,0.1700,0.1700,0.1700,0.1700,0.1700,0.1700,711.00,28139.00
2026-03-09 21:19:00,0.1700,0.1700,0.1700,0.1700,0.1700,0.1700,299.00,28438.00
2026-03-09 21:20:00,,,,,,0.1700,0.00,28438.00
2026-03-09 21:22:00,0.1700,0.1700,0.1700,0.1700,0.1700,0.1700,306.00,28744.00
2026-03-09 21:23:00,0.1700,0.1700,0.1700,0.1700,0.1700,0.1700,55.00,28799.00
2026-03-09 21:24:00,,,,,,0.1700,0.00,28799.00
2026-03-09 21:25:00,0.1600,0.1600,0.1600,0.1600,0.1600,0.1700,330.00,29129.00
2026-03-09 21:26:00,,,,,,0.1600,0.00,29129.00
2026-03-09 21:27:00,0.1600,0.1600,0.1600,0.1600,0.1600,0.1600,742.00,29871.00
2026-03-09 21:28:00,,,,,,0.1600,0.00,29871.00
2026-03-09 21:30:00,0.1600,0.1600,0.1600,0.1600,0.1600,0.1600,1176.00,31047.00
2026-03-09 21:31:00,,,,,,0.1600,0.00,31047.00
2026-03-09 21:32:00,,,,,,0.1600,0.00,31047.00
2026-03-09 21:33:00,0.1600,0.1600,0.1600,0.1600,0.1600,0.1600,584.00,31631.00
2026-03-09 21:34:00,0.1600,0.1600,0.1600,0.1600,0.1600,0.1600,405.00,32036.00
2026-03-09 21:36:00,0.1600,0.1600,0.1600,0.1600,0.1600,0.1600,600.00,32636.00
2026-03-09 21:38:00,0.1600,0.1600,0.1600,0.1600,0.1600,0.1600,138.00,32774.00
2026-03-09 21:39:00,0.1600,0.1600,0.1600,0.1600,0.1600,0.1600,277.00,33051.00
2026-03-09 21:40:00,0.1600,0.1600,0.1600,0.1600,0.1600,0.1600,118.00,33169.00
2026-03-09 21:41:00,,,,,,0.1600,0.00,33169.00
2026-03-09 21:42:00,0.1600,0.1600,0.1600,0.1600,0.1600,0.1600,1432.00,34601.00
2026-03-09 21:43:00,0.1600,0.1600,0.1600,0.1600,0.1600,0.1600,11.00,34612.00
2026-03-09 21:44:00,0.1600,0.1600,0.1600,0.1600,0.1600,0.1600,557.00,35169.00
2026-03-09 21:45:00,0.1600,0.1600,0.1600,0.1600,0.1600,0.1600,5.00,35174.00
2026-03-09 21:52:00,0.1600,0.1600,0.1600,0.1600,0.1600,0.1600,973.00,36147.00
2026-03-09 21:53:00,0.1600,0.1600,0.1600,0.1600,0.1600,0.1600,44.00,36191.00
2026-03-09 21:54:00,0.1600,0.1600,0.1600,0.1600,0.1600,0.1600,55.00,36246.00
2026-03-09 21:56:00,0.1600,0.1600,0.1600,0.1600,0.1600,0.1600,147.00,36393.00
2026-03-09 21:58:00,0.1600,0.1600,0.1600,0.1600,0.1600,0.1600,237.00,36630.00
2026-03-09 21:59:00,0.1600,0.1600,0.1600,0.1600,0.1600,0.1600,111.00,36741.00
2026-03-09 22:01:00,0.1600,0.1600,0.1600,0.1600,0.1600,0.1600,2.00,36743.00
2026-03-09 22:02:00,0.1600,0.1600,0.1600,0.1600,0.1600,0.1600,106.00,36849.00
2026-03-09 22:04:00,0.1600,0.1600,0.1600,0.1600,0.1600,0.1600,55.00,36904.00
2026-03-09 22:05:00,0.1600,0.1600,0.1600,0.1600,0.1600,0.1600,23.00,36927.00
2026-03-09 22:06:00,0.1500,0.1500,0.1500,0.1500,0.1500,0.1600,872.00,37799.00
2026-03-09 22:07:00,,,,,,0.1500,0.00,37799.00
2026-03-09 22:08:00,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,6.00,37805.00
2026-03-09 22:09:00,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,6.00,37811.00
2026-03-09 22:10:00,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,106.00,37917.00
2026-03-09 22:11:00,,,,,,0.1500,0.00,37917.00
2026-03-09 22:12:00,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,22.00,37939.00
2026-03-09 22:13:00,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,588.00,38527.00
2026-03-09 22:15:00,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,50.00,38577.00
2026-03-09 22:16:00,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,12.00,38589.00
