end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-03-11 13:46:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,10.00,57267.00
2026-03-11 13:49:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,12.00,57279.00
2026-03-11 13:50:00,,,,,,0.7600,0.00,57279.00
2026-03-11 13:51:00,,,,,,0.7600,0.00,57279.00
2026-03-11 13:52:00,,,,,,0.7600,0.00,57279.00
2026-03-11 13:53:00,,,,,,0.7600,0.00,57279.00
2026-03-11 13:54:00,,,,,,0.7600,0.00,57279.00
2026-03-11 13:55:00,,,,,,0.7600,0.00,57279.00
2026-03-11 13:56:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,64.00,57343.00
2026-03-11 13:57:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,25.00,57368.00
2026-03-11 13:58:00,,,,,,0.7600,0.00,57368.00
2026-03-11 14:01:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,19.00,57387.00
2026-03-11 14:03:00,0.7500,0.7400,0.7500,0.7400,0.7409,0.7600,1634.00,57513.00
2026-03-11 14:04:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7400,7.00,57520.00
2026-03-11 14:07:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,133.00,57653.00
2026-03-11 14:10:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,5.00,57658.00
2026-03-11 14:11:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,175.00,57833.00
2026-03-11 14:12:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,10.00,57843.00
2026-03-11 14:14:00,,,,,,0.7600,0.00,57843.00
2026-03-11 14:15:00,0.7400,0.7400,0.7400,0.7400,0.7400,0.7600,205.00,57638.00
2026-03-11 14:16:00,,,,,,0.7400,0.00,57638.00
2026-03-11 14:17:00,,,,,,0.7400,0.00,57638.00
2026-03-11 14:19:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7400,116.00,57754.00
2026-03-11 14:20:00,,,,,,0.7600,0.00,57754.00
2026-03-11 14:21:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,12.00,57766.00
2026-03-11 14:24:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,366.00,58132.00
2026-03-11 14:27:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,154.00,58286.00
2026-03-11 14:29:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,140.00,58426.00
2026-03-11 14:32:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,6.00,58432.00
2026-03-11 14:33:00,0.7500,0.7500,0.7600,0.7600,0.7553,0.7600,43.00,58448.00
2026-03-11 14:36:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,25.00,58473.00
2026-03-11 14:40:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,323.00,58796.00
2026-03-11 14:41:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,263.00,59059.00
2026-03-11 14:42:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,76.00,59135.00
2026-03-11 14:43:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,10.00,59145.00
2026-03-11 14:44:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,641.00,59786.00
2026-03-11 14:46:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,2.00,59788.00
2026-03-11 14:49:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,751.00,60539.00
2026-03-11 14:50:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,18.00,60557.00
2026-03-11 14:51:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,50.00,60607.00
2026-03-11 14:52:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,1.00,60608.00
2026-03-11 14:55:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,160.00,60768.00
2026-03-11 14:57:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,38.00,60806.00
2026-03-11 14:58:00,,,,,,0.7600,0.00,60806.00
2026-03-11 14:59:00,,,,,,0.7600,0.00,60806.00
2026-03-11 15:00:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,12.00,60818.00
2026-03-11 15:01:00,,,,,,0.7600,0.00,60818.00
2026-03-11 15:02:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,150.00,60968.00
2026-03-11 15:03:00,0.7500,0.7500,0.7500,0.7500,0.7500,0.7600,100.00,60968.00
2026-03-11 15:04:00,,,,,,0.7500,0.00,60968.00
2026-03-11 15:05:00,,,,,,0.7500,0.00,60968.00
2026-03-11 15:07:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7500,113.00,61081.00
2026-03-11 15:08:00,,,,,,0.7600,0.00,61081.00
2026-03-11 15:10:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,1396.00,62477.00
2026-03-11 15:12:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,102.00,62579.00
2026-03-11 15:13:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,4.00,62583.00
2026-03-11 15:14:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,3.00,62586.00
2026-03-11 15:15:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,23.00,62609.00
2026-03-11 15:16:00,,,,,,0.7600,0.00,62609.00
2026-03-11 15:17:00,,,,,,0.7600,0.00,62609.00
2026-03-11 15:18:00,,,,,,0.7600,0.00,62609.00
2026-03-11 15:19:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,19.00,62628.00
2026-03-11 15:20:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,1198.00,63826.00
2026-03-11 15:21:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,19.00,63845.00
2026-03-11 15:22:00,,,,,,0.7600,0.00,63845.00
2026-03-11 15:23:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,338.00,64183.00
2026-03-11 15:24:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,550.00,64733.00
2026-03-11 15:25:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,647.00,65380.00
2026-03-11 15:26:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,111.00,65491.00
2026-03-11 15:27:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,1059.00,66550.00
2026-03-11 15:28:00,0.7700,0.7700,0.7700,0.7700,0.7700,0.7600,323.00,66873.00
2026-03-11 15:29:00,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,197.00,67070.00
2026-03-11 15:30:00,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,76.00,67146.00
2026-03-11 15:31:00,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,6.00,67152.00
2026-03-11 15:32:00,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,46.00,67198.00
2026-03-11 15:33:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7700,55.00,67250.00
2026-03-11 15:34:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,1665.00,68915.00
2026-03-11 15:35:00,0.7600,0.7500,0.7600,0.7500,0.7591,0.7600,342.00,69227.00
2026-03-11 15:36:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7500,3431.00,72658.00
2026-03-11 15:37:00,,,,,,0.7600,0.00,72658.00
2026-03-11 15:38:00,0.7600,0.7600,0.7700,0.7700,0.7600,0.7600,14543.00,87201.00
2026-03-11 15:39:00,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,327.00,87528.00
2026-03-11 15:40:00,0.7700,0.7600,0.7700,0.7700,0.7624,0.7700,7408.00,92943.00
2026-03-11 15:41:00,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,516.00,93459.00
2026-03-11 15:42:00,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,86.00,93545.00
2026-03-11 15:43:00,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,224.00,93769.00
2026-03-11 15:44:00,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,3990.00,97759.00
2026-03-11 15:45:00,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,93.00,97852.00
2026-03-11 15:46:00,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,834.00,98686.00
2026-03-11 15:47:00,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,722.00,99408.00
2026-03-11 15:48:00,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,1217.00,100625.00
2026-03-11 15:49:00,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,320.00,100945.00
2026-03-11 15:50:00,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,990.00,101935.00
2026-03-11 15:51:00,0.7700,0.7600,0.7700,0.7600,0.7695,0.7700,241.00,102150.00
2026-03-11 15:52:00,0.7700,0.7600,0.7700,0.7700,0.7692,0.7600,1397.00,103432.00
2026-03-11 15:53:00,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,6454.00,109886.00
2026-03-11 15:54:00,0.7700,0.7600,0.7700,0.7600,0.7677,0.7700,2949.00,111493.00
2026-03-11 15:55:00,0.7700,0.7700,0.7700,0.7700,0.7700,0.7600,5014.00,116507.00
2026-03-11 15:56:00,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,426.00,116933.00
2026-03-11 15:57:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7700,2664.00,119597.00
2026-03-11 15:58:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,157.00,119754.00
2026-03-11 15:59:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,1261.00,121015.00
2026-03-11 16:00:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,112.00,121127.00
2026-03-11 16:01:00,0.7800,0.7600,0.7800,0.7800,0.7799,0.7800,1551.00,122673.00
2026-03-11 16:02:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,533.00,123206.00
2026-03-11 16:03:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,10000.00,133206.00
2026-03-11 16:04:00,0.7900,0.7900,0.7900,0.7900,0.7900,0.7800,3039.00,136245.00
2026-03-11 16:05:00,0.7900,0.7900,0.7900,0.7900,0.7900,0.7900,1366.00,137611.00
2026-03-11 16:06:00,0.7900,0.7800,0.7900,0.7900,0.7899,0.7900,1349.00,138960.00
2026-03-11 16:07:00,0.7900,0.7900,0.7900,0.7900,0.7900,0.7900,512.00,139472.00
2026-03-11 16:08:00,0.7900,0.7900,0.7900,0.7900,0.7900,0.7900,1807.00,141279.00
2026-03-11 16:09:00,0.7900,0.7900,0.7900,0.7900,0.7900,0.7900,206.00,141485.00
2026-03-11 16:10:00,0.7900,0.7600,0.7900,0.7600,0.7705,0.7900,11588.00,153073.00
2026-03-11 16:11:00,0.7700,0.7500,0.8200,0.7600,0.7605,0.7600,37407.00,190480.00
2026-03-11 16:12:00,0.7600,0.7500,0.7600,0.7600,0.7578,0.7600,23289.00,213769.00
2026-03-11 16:13:00,0.7600,0.7600,0.7700,0.7700,0.7650,0.7600,11523.00,223292.00
2026-03-11 16:14:00,0.7600,0.7600,0.7700,0.7700,0.7700,0.7700,612.00,223904.00
2026-03-11 16:15:00,0.7700,0.7700,0.7900,0.7900,0.7891,0.7700,6359.00,230263.00
2026-03-11 16:16:00,0.7900,0.7900,0.8500,0.8500,0.8329,0.7900,3849.00,234093.00
2026-03-11 16:17:00,0.8500,0.8500,0.8700,0.8700,0.8617,0.8500,10479.00,244447.00
2026-03-11 16:18:00,0.8700,0.8600,0.8700,0.8700,0.8697,0.8700,12177.00,255990.00
2026-03-11 16:19:00,0.8700,0.8700,0.8800,0.8800,0.8718,0.8700,6177.00,262037.00
2026-03-11 16:20:00,0.8700,0.8700,0.9000,0.9000,0.8980,0.8800,3550.00,265467.00
2026-03-11 16:21:00,0.8900,0.8800,0.9000,0.9000,0.8951,0.9000,3659.00,269122.00
2026-03-11 16:22:00,0.8800,0.8800,0.9100,0.9100,0.9048,0.9000,3453.00,272304.00
