end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-12 07:16:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6400,7.00,2001.00
2026-02-12 07:17:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,7.00,2008.00
2026-02-12 07:18:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,1.00,2009.00
2026-02-12 07:19:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,8.00,2017.00
2026-02-12 07:20:00,,,,,,0.6700,0.00,2017.00
2026-02-12 07:21:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,15.00,2032.00
2026-02-12 07:22:00,0.6700,0.6700,0.6800,0.6800,0.6776,0.6700,72.00,2104.00
2026-02-12 07:23:00,,,,,,0.6800,0.00,2104.00
2026-02-12 07:24:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,14.00,2118.00
2026-02-12 07:25:00,0.6800,0.6700,0.6800,0.6700,0.6718,0.6800,17.00,2135.00
2026-02-12 07:26:00,,,,,,0.6700,0.00,2135.00
2026-02-12 07:27:00,,,,,,0.6700,0.00,2135.00
2026-02-12 07:28:00,0.6700,0.6700,0.6800,0.6700,0.6753,0.6700,179.00,2314.00
2026-02-12 07:29:00,,,,,,0.6700,0.00,2314.00
2026-02-12 07:30:00,,,,,,0.6700,0.00,2314.00
2026-02-12 07:31:00,,,,,,0.6700,0.00,2314.00
2026-02-12 07:32:00,,,,,,0.6700,0.00,2314.00
2026-02-12 07:33:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,4.00,2318.00
2026-02-12 07:34:00,,,,,,0.6700,0.00,2318.00
2026-02-12 07:35:00,,,,,,0.6700,0.00,2318.00
2026-02-12 07:38:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6700,222.00,2540.00
2026-02-12 07:39:00,,,,,,0.6800,0.00,2540.00
2026-02-12 07:40:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,4.00,2544.00
2026-02-12 07:41:00,,,,,,0.6800,0.00,2544.00
2026-02-12 07:42:00,,,,,,0.6800,0.00,2544.00
2026-02-12 07:43:00,,,,,,0.6800,0.00,2544.00
2026-02-12 07:44:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,302.00,2846.00
2026-02-12 07:45:00,,,,,,0.6800,0.00,2846.00
2026-02-12 07:46:00,,,,,,0.6800,0.00,2846.00
2026-02-12 07:47:00,,,,,,0.6800,0.00,2846.00
2026-02-12 07:51:00,,,,,,0.6800,0.00,2846.00
2026-02-12 07:52:00,,,,,,0.6800,0.00,2846.00
2026-02-12 07:53:00,,,,,,0.6800,0.00,2846.00
2026-02-12 07:54:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6800,2.00,2848.00
2026-02-12 07:55:00,,,,,,0.6700,0.00,2848.00
2026-02-12 07:56:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,14.00,2862.00
2026-02-12 07:57:00,,,,,,0.6700,0.00,2862.00
2026-02-12 07:58:00,,,,,,0.6700,0.00,2862.00
2026-02-12 07:59:00,,,,,,0.6700,0.00,2862.00
2026-02-12 08:01:00,,,,,,0.6700,0.00,2862.00
2026-02-12 08:02:00,,,,,,0.6700,0.00,2862.00
2026-02-12 08:03:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6700,1.00,2863.00
2026-02-12 08:05:00,,,,,,0.6800,0.00,2863.00
2026-02-12 08:06:00,,,,,,0.6800,0.00,2863.00
2026-02-12 08:07:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6800,4.00,2867.00
2026-02-12 08:08:00,,,,,,0.6700,0.00,2867.00
2026-02-12 08:09:00,,,,,,0.6700,0.00,2867.00
2026-02-12 08:10:00,,,,,,0.6700,0.00,2867.00
2026-02-12 08:11:00,,,,,,0.6700,0.00,2867.00
2026-02-12 08:12:00,,,,,,0.6700,0.00,2867.00
2026-02-12 08:13:00,,,,,,0.6700,0.00,2867.00
2026-02-12 08:14:00,,,,,,0.6700,0.00,2867.00
2026-02-12 08:15:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,21.00,2888.00
2026-02-12 08:16:00,,,,,,0.6700,0.00,2888.00
2026-02-12 08:17:00,,,,,,0.6700,0.00,2888.00
2026-02-12 08:18:00,,,,,,0.6700,0.00,2888.00
