end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-16 12:51:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000,24.00,310.00
2026-02-16 13:00:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000,2.00,312.00
2026-02-16 13:08:00,,,,,,0.8000,0.00,312.00
2026-02-16 13:22:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000,30.00,342.00
2026-02-16 13:28:00,,,,,,0.8000,0.00,342.00
2026-02-16 13:29:00,0.8100,0.7900,0.8200,0.7900,0.8101,0.8000,136.00,463.00
2026-02-16 13:30:00,0.7900,0.7900,0.7900,0.7900,0.7900,0.7900,15.00,463.00
2026-02-16 13:31:00,0.7900,0.7900,0.7900,0.7900,0.7900,0.7900,15.00,463.00
2026-02-16 13:35:00,,,,,,0.7900,0.00,463.00
2026-02-16 13:37:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.7900,2.00,465.00
2026-02-16 13:41:00,,,,,,0.8200,0.00,465.00
2026-02-16 13:46:00,,,,,,0.8200,0.00,465.00
2026-02-16 13:47:00,,,,,,0.8200,0.00,465.00
2026-02-16 13:48:00,,,,,,0.8200,0.00,465.00
2026-02-16 13:49:00,0.7600,0.7200,0.7600,0.7200,0.7206,0.8200,663.00,1128.00
2026-02-16 13:50:00,,,,,,0.7200,0.00,1128.00
2026-02-16 13:51:00,,,,,,0.7200,0.00,1128.00
2026-02-16 13:52:00,,,,,,0.7200,0.00,1128.00
2026-02-16 13:53:00,,,,,,0.7200,0.00,1128.00
2026-02-16 13:54:00,,,,,,0.7200,0.00,1128.00
2026-02-16 13:55:00,,,,,,0.7200,0.00,1128.00
2026-02-16 13:56:00,,,,,,0.7200,0.00,1128.00
2026-02-16 13:57:00,,,,,,0.7200,0.00,1128.00
2026-02-16 13:58:00,0.7000,0.6900,0.7000,0.6900,0.6901,0.7200,71.00,1199.00
2026-02-16 13:59:00,0.7200,0.7200,0.7300,0.7300,0.7251,0.6900,1786.00,2984.00
2026-02-16 14:00:00,0.7400,0.7400,0.7500,0.7500,0.7407,0.7300,290.00,3274.00
2026-02-16 14:01:00,0.7600,0.7600,0.8000,0.8000,0.7860,0.7500,949.00,4223.00
2026-02-16 14:02:00,,,,,,0.8000,0.00,4223.00
2026-02-16 14:03:00,0.8300,0.8100,0.8300,0.8100,0.8137,0.8000,62.00,4234.00
2026-02-16 14:04:00,0.7800,0.7800,0.7900,0.7900,0.7853,0.8100,521.00,4479.00
2026-02-16 14:05:00,0.7800,0.7800,0.8100,0.8100,0.7819,0.7900,269.00,4748.00
2026-02-16 14:06:00,,,,,,0.8100,0.00,4748.00
2026-02-16 14:07:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.8100,8.00,4748.00
2026-02-16 14:08:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,315.00,5063.00
2026-02-16 14:09:00,0.7800,0.7800,0.7900,0.7900,0.7861,0.7800,625.00,5591.00
2026-02-16 14:10:00,0.8100,0.8100,0.8100,0.8100,0.8100,0.7900,60.00,5651.00
2026-02-16 14:11:00,0.8100,0.7800,0.8800,0.7800,0.8271,0.8100,5357.00,10796.00
2026-02-16 14:12:00,0.7600,0.7400,0.7700,0.7400,0.7571,0.7800,9334.00,18721.00
2026-02-16 14:13:00,0.7200,0.7200,0.7200,0.7200,0.7200,0.7400,1.00,18721.00
2026-02-16 14:14:00,0.6400,0.6400,0.6500,0.6500,0.6499,0.7200,309.00,19030.00
2026-02-16 14:15:00,0.6500,0.6500,0.6600,0.6600,0.6509,0.6500,1710.00,20590.00
2026-02-16 14:16:00,0.6800,0.6600,0.6800,0.6600,0.6779,0.6600,476.00,21016.00
2026-02-16 14:17:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.6600,701.00,21016.00
2026-02-16 14:18:00,0.7200,0.6700,0.7200,0.6700,0.7109,0.7000,22.00,21032.00
2026-02-16 14:19:00,0.6500,0.6400,0.6500,0.6400,0.6402,0.6700,102.00,20930.00
2026-02-16 14:20:00,0.6100,0.6100,0.6200,0.6200,0.6199,0.6400,252.00,21180.00
2026-02-16 14:21:00,0.6300,0.6300,0.6600,0.6600,0.6301,0.6200,255.00,21335.00
2026-02-16 14:22:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6600,100.00,21435.00
2026-02-16 14:23:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6200,15.00,21435.00
