end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-16 14:52:00,0.7300,0.7300,0.7300,0.7300,0.7300,0.7400,81.00,9006.00
2026-02-16 14:55:00,,,,,,0.7300,0.00,9006.00
2026-02-16 14:56:00,0.7400,0.7400,0.7400,0.7400,0.7400,0.7300,300.00,9306.00
2026-02-16 14:57:00,0.7400,0.7400,0.7400,0.7400,0.7400,0.7400,1.00,9307.00
2026-02-16 14:59:00,0.7400,0.7400,0.7400,0.7400,0.7400,0.7400,17.00,9324.00
2026-02-16 15:01:00,0.7400,0.7400,0.7400,0.7400,0.7400,0.7400,165.00,9489.00
2026-02-16 15:03:00,,,,,,0.7400,0.00,9489.00
2026-02-16 15:05:00,,,,,,0.7400,0.00,9489.00
2026-02-16 15:07:00,,,,,,0.7400,0.00,9489.00
2026-02-16 15:08:00,0.7400,0.7400,0.7400,0.7400,0.7400,0.7400,1.00,9490.00
2026-02-16 15:12:00,0.7400,0.7300,0.7400,0.7300,0.7400,0.7400,1003.00,10493.00
2026-02-16 15:15:00,0.7400,0.7400,0.7400,0.7400,0.7400,0.7300,1.00,10494.00
2026-02-16 15:16:00,0.7400,0.7400,0.7400,0.7400,0.7400,0.7400,26.00,10520.00
2026-02-16 15:23:00,,,,,,0.7400,0.00,10520.00
2026-02-16 15:25:00,,,,,,0.7400,0.00,10520.00
2026-02-16 15:31:00,0.7400,0.7400,0.7400,0.7400,0.7400,0.7400,38.00,10558.00
2026-02-16 15:33:00,,,,,,0.7400,0.00,10558.00
2026-02-16 15:35:00,,,,,,0.7400,0.00,10558.00
2026-02-16 15:36:00,,,,,,0.7400,0.00,10558.00
2026-02-16 15:41:00,,,,,,0.7400,0.00,10558.00
2026-02-16 15:43:00,,,,,,0.7400,0.00,10558.00
2026-02-16 15:45:00,,,,,,0.7400,0.00,10558.00
2026-02-16 15:47:00,,,,,,0.7400,0.00,10558.00
2026-02-16 15:49:00,0.7400,0.7400,0.7400,0.7400,0.7400,0.7400,1.00,10559.00
2026-02-16 15:59:00,0.7400,0.7400,0.7400,0.7400,0.7400,0.7400,73.00,10632.00
2026-02-16 16:06:00,0.7400,0.7400,0.7400,0.7400,0.7400,0.7400,26.00,10658.00
2026-02-16 16:11:00,,,,,,0.7400,0.00,10658.00
2026-02-16 16:12:00,,,,,,0.7400,0.00,10658.00
2026-02-16 16:17:00,,,,,,0.7400,0.00,10658.00
2026-02-16 16:19:00,,,,,,0.7400,0.00,10658.00
2026-02-16 16:21:00,,,,,,0.7400,0.00,10658.00
2026-02-16 16:22:00,0.7400,0.7400,0.7400,0.7400,0.7400,0.7400,1.00,10659.00
2026-02-16 16:23:00,,,,,,0.7400,0.00,10659.00
2026-02-16 16:25:00,0.7400,0.7400,0.7400,0.7400,0.7400,0.7400,52.00,10711.00
2026-02-16 16:26:00,0.7400,0.7400,0.7400,0.7400,0.7400,0.7400,33.00,10744.00
2026-02-16 16:28:00,0.7400,0.7400,0.7400,0.7400,0.7400,0.7400,1414.00,12158.00
2026-02-16 16:29:00,0.7400,0.7400,0.7500,0.7500,0.7405,0.7400,1326.00,13484.00
2026-02-16 16:30:00,0.7500,0.7400,0.7500,0.7400,0.7500,0.7500,263.00,13747.00
2026-02-16 16:31:00,0.7400,0.7400,0.7400,0.7400,0.7400,0.7400,60.00,13807.00
2026-02-16 16:32:00,0.7400,0.7400,0.7400,0.7400,0.7400,0.7400,663.00,14470.00
2026-02-16 16:33:00,0.7400,0.7400,0.7600,0.7500,0.7526,0.7400,835.00,14962.00
2026-02-16 16:34:00,0.7800,0.7500,0.7900,0.7500,0.7703,0.7500,2293.00,17196.00
2026-02-16 16:35:00,0.7400,0.7400,0.7700,0.7700,0.7672,0.7500,117.00,17234.00
2026-02-16 16:36:00,0.7400,0.6900,0.7400,0.6900,0.7305,0.7700,394.00,17537.00
2026-02-16 16:37:00,0.6900,0.6800,0.6900,0.6900,0.6823,0.6900,816.00,18353.00
2026-02-16 16:38:00,0.7000,0.6500,0.7100,0.6500,0.6946,0.6900,2597.00,20950.00
2026-02-16 16:39:00,0.6500,0.5900,0.6500,0.6200,0.6276,0.6500,1034.00,21971.00
2026-02-16 16:40:00,0.6100,0.6100,0.6700,0.6200,0.6273,0.6200,1172.00,23099.00
2026-02-16 16:41:00,0.6600,0.6600,0.7000,0.6900,0.6670,0.6200,4909.00,28008.00
2026-02-16 16:42:00,0.7100,0.7100,0.7200,0.7200,0.7108,0.6900,1157.00,29165.00
2026-02-16 16:43:00,0.7300,0.7200,0.7500,0.7200,0.7408,0.7200,2672.00,31837.00
2026-02-16 16:44:00,0.7300,0.7300,0.7500,0.7500,0.7387,0.7200,998.00,32835.00
2026-02-16 16:45:00,0.7200,0.6800,0.7400,0.6900,0.7005,0.7500,1237.00,34014.00
2026-02-16 16:46:00,0.7100,0.7100,0.7300,0.7300,0.7221,0.6900,242.00,34206.00
2026-02-16 16:47:00,0.7500,0.7500,0.7900,0.7900,0.7577,0.7300,1980.00,36010.00
