end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-17 11:46:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.4700,191.00,304.00
2026-02-17 11:50:00,0.5000,0.5000,0.5000,0.5000,0.5000,0.5100,1.00,305.00
2026-02-17 11:52:00,,,,,,0.5000,0.00,305.00
2026-02-17 11:55:00,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,3.00,308.00
2026-02-17 12:02:00,,,,,,0.5000,0.00,308.00
2026-02-17 12:03:00,,,,,,0.5000,0.00,308.00
2026-02-17 12:04:00,,,,,,0.5000,0.00,308.00
2026-02-17 12:05:00,,,,,,0.5000,0.00,308.00
2026-02-17 12:06:00,,,,,,0.5000,0.00,308.00
2026-02-17 12:07:00,,,,,,0.5000,0.00,308.00
2026-02-17 12:08:00,,,,,,0.5000,0.00,308.00
2026-02-17 12:09:00,,,,,,0.5000,0.00,308.00
2026-02-17 12:10:00,,,,,,0.5000,0.00,308.00
2026-02-17 12:11:00,,,,,,0.5000,0.00,308.00
2026-02-17 12:12:00,,,,,,0.5000,0.00,308.00
2026-02-17 12:13:00,,,,,,0.5000,0.00,308.00
2026-02-17 12:14:00,0.4900,0.4900,0.4900,0.4900,0.4900,0.5000,456.00,764.00
2026-02-17 12:15:00,,,,,,0.4900,0.00,764.00
2026-02-17 12:16:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4900,218.00,857.00
2026-02-17 12:17:00,0.5000,0.4800,0.5100,0.4800,0.4893,0.4500,140.00,997.00
2026-02-17 12:18:00,0.5000,0.5000,0.5000,0.5000,0.5000,0.4800,15.00,1012.00
2026-02-17 12:19:00,0.5500,0.5400,0.5500,0.5400,0.5425,0.5000,67.00,1079.00
2026-02-17 12:20:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5400,60.00,1079.00
2026-02-17 12:21:00,0.6000,0.6000,0.6700,0.6700,0.6366,0.5800,1605.00,2568.00
2026-02-17 12:22:00,0.6500,0.6400,0.6500,0.6400,0.6460,0.6700,75.00,2643.00
2026-02-17 12:23:00,,,,,,0.6400,0.00,2643.00
2026-02-17 12:24:00,,,,,,0.6400,0.00,2643.00
2026-02-17 12:25:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.6400,487.00,3130.00
2026-02-17 12:26:00,0.5900,0.5600,0.5900,0.5600,0.5645,0.5900,40.00,3170.00
2026-02-17 12:27:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,172.00,3342.00
2026-02-17 12:28:00,0.5700,0.5500,0.5700,0.5500,0.5563,0.5600,63.00,3405.00
2026-02-17 12:29:00,0.5200,0.4800,0.5200,0.4800,0.5035,0.5500,1783.00,5060.00
2026-02-17 12:30:00,0.4900,0.4800,0.4900,0.4800,0.4855,0.4800,111.00,5110.00
2026-02-17 12:31:00,0.5100,0.5100,0.5400,0.5300,0.5261,0.4800,127.00,5237.00
2026-02-17 12:32:00,0.5600,0.5600,0.6000,0.5900,0.5643,0.5300,585.00,5822.00
2026-02-17 12:33:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,16.00,5838.00
2026-02-17 12:34:00,0.5100,0.4600,0.5100,0.4600,0.4751,0.5900,741.00,6552.00
2026-02-17 12:35:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4600,70.00,6622.00
2026-02-17 12:36:00,0.4300,0.4300,0.4800,0.4800,0.4355,0.4100,2122.00,8744.00
2026-02-17 12:37:00,0.4800,0.4800,0.5300,0.4800,0.4831,0.4800,161.00,8905.00
2026-02-17 12:38:00,0.4900,0.4500,0.4900,0.4800,0.4702,0.4800,128.00,9017.00
2026-02-17 12:39:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4800,68.00,9035.00
2026-02-17 12:40:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4500,156.00,9191.00
2026-02-17 12:41:00,0.4800,0.4800,0.5300,0.5300,0.4975,0.4500,964.00,10005.00
2026-02-17 12:42:00,0.5300,0.5300,0.5900,0.5900,0.5793,0.5300,219.00,10132.00
2026-02-17 12:43:00,0.5900,0.5700,0.5900,0.5700,0.5721,0.5900,1905.00,10332.00
2026-02-17 12:44:00,0.5700,0.5700,0.6000,0.6000,0.5750,0.5700,30.00,10362.00
2026-02-17 12:45:00,0.6000,0.5700,0.6000,0.5700,0.5736,0.6000,179.00,10541.00
2026-02-17 12:46:00,0.6000,0.5800,0.6000,0.5800,0.5992,0.5700,1067.00,11608.00
2026-02-17 12:47:00,0.6300,0.6300,0.6900,0.6800,0.6806,0.5800,14520.00,25699.00
2026-02-17 12:48:00,0.6800,0.6200,0.6800,0.6200,0.6552,0.6800,104.00,25803.00
2026-02-17 12:49:00,0.6200,0.6100,0.6400,0.6400,0.6169,0.6200,405.00,26085.00
2026-02-17 12:50:00,0.6400,0.6400,0.7200,0.7200,0.6698,0.6400,2158.00,28243.00
2026-02-17 12:51:00,0.7100,0.6800,0.7100,0.6900,0.6989,0.7200,230.00,28418.00
2026-02-17 12:52:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6900,224.00,28642.00
2026-02-17 12:53:00,0.7200,0.6300,0.7200,0.6300,0.6797,0.6800,7146.00,31696.00
2026-02-17 12:54:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6300,3.00,31699.00
2026-02-17 12:55:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.6400,125.00,31824.00
2026-02-17 12:56:00,0.5900,0.5800,0.5900,0.5800,0.5853,0.5900,192.00,31926.00
2026-02-17 12:57:00,0.6300,0.6000,0.6300,0.6000,0.6016,0.5800,1703.00,33629.00
2026-02-17 12:58:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6000,569.00,34198.00
2026-02-17 12:59:00,0.6700,0.6700,0.6800,0.6700,0.6717,0.6400,600.00,34778.00
2026-02-17 13:00:00,0.6400,0.6400,0.6900,0.6900,0.6589,0.6700,230.00,35008.00
2026-02-17 13:01:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.6900,48.00,35026.00
2026-02-17 13:02:00,0.7000,0.7000,0.7200,0.7200,0.7063,0.7000,171.00,35089.00
2026-02-17 13:03:00,0.7400,0.7400,0.7400,0.7400,0.7400,0.7200,184.00,35273.00
2026-02-17 13:04:00,0.7500,0.7500,0.7800,0.7800,0.7793,0.7400,1367.00,36410.00
2026-02-17 13:05:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,106.00,36516.00
2026-02-17 13:06:00,0.7800,0.7700,0.7800,0.7700,0.7770,0.7800,67.00,36543.00
2026-02-17 13:07:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7700,1.00,36544.00
2026-02-17 13:08:00,0.7800,0.7800,0.8000,0.8000,0.7944,0.7800,483.00,37027.00
2026-02-17 13:09:00,0.8000,0.8000,0.8100,0.8100,0.8015,0.8000,394.00,37037.00
2026-02-17 13:10:00,0.8100,0.8100,0.8100,0.8100,0.8100,0.8100,61.00,37098.00
2026-02-17 13:11:00,0.8200,0.8200,0.8500,0.8500,0.8299,0.8100,70.00,37168.00
2026-02-17 13:12:00,0.8500,0.8500,0.8500,0.8500,0.8500,0.8500,159.00,37327.00
2026-02-17 13:13:00,0.8300,0.8100,0.8300,0.8200,0.8199,0.8500,150.00,37445.00
2026-02-17 13:14:00,0.8500,0.8500,0.8800,0.8800,0.8543,0.8200,591.00,37918.00
2026-02-17 13:15:00,0.8900,0.8900,0.9200,0.9000,0.9151,0.8800,8205.00,45050.00
2026-02-17 13:16:00,0.9300,0.9000,0.9300,0.9000,0.9114,0.9000,542.00,45423.00
2026-02-17 13:17:00,0.8900,0.8700,0.8900,0.8800,0.8870,0.9000,151.00,45510.00
2026-02-17 13:18:00,0.8600,0.8500,0.8700,0.8700,0.8682,0.8800,1812.00,47274.00
2026-02-17 13:19:00,0.8500,0.8300,0.8500,0.8300,0.8380,0.8700,393.00,47195.00
2026-02-17 13:20:00,0.8500,0.8500,0.8700,0.8600,0.8549,0.8300,105.00,47300.00
