end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-27 02:41:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4400,57.00,3575.00
2026-02-27 02:42:00,,,,,,0.4200,0.00,3575.00
2026-02-27 02:43:00,,,,,,0.4200,0.00,3575.00
2026-02-27 02:44:00,,,,,,0.4200,0.00,3575.00
2026-02-27 02:45:00,,,,,,0.4200,0.00,3575.00
2026-02-27 02:46:00,,,,,,0.4200,0.00,3575.00
2026-02-27 02:47:00,,,,,,0.4200,0.00,3575.00
2026-02-27 02:48:00,,,,,,0.4200,0.00,3575.00
2026-02-27 02:49:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,11.00,3586.00
2026-02-27 02:50:00,,,,,,0.4200,0.00,3586.00
2026-02-27 02:51:00,,,,,,0.4200,0.00,3586.00
2026-02-27 02:52:00,,,,,,0.4200,0.00,3586.00
2026-02-27 02:53:00,,,,,,0.4200,0.00,3586.00
2026-02-27 02:54:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,9.00,3595.00
2026-02-27 02:55:00,,,,,,0.4200,0.00,3595.00
2026-02-27 02:56:00,,,,,,0.4200,0.00,3595.00
2026-02-27 02:57:00,,,,,,0.4200,0.00,3595.00
2026-02-27 03:01:00,,,,,,0.4200,0.00,3595.00
2026-02-27 03:02:00,,,,,,0.4200,0.00,3595.00
2026-02-27 03:04:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,23.00,3618.00
2026-02-27 03:06:00,,,,,,0.4200,0.00,3618.00
2026-02-27 03:07:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,57.00,3675.00
2026-02-27 03:08:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.4200,57.00,3618.00
2026-02-27 03:09:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.3900,6.00,3624.00
2026-02-27 03:10:00,0.4200,0.3900,0.4200,0.3900,0.4050,0.4200,68.00,3624.00
2026-02-27 03:12:00,,,,,,0.3900,0.00,3624.00
2026-02-27 03:13:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.3900,2.00,3626.00
2026-02-27 03:14:00,,,,,,0.4200,0.00,3626.00
2026-02-27 03:16:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,22.00,3648.00
2026-02-27 03:17:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,45.00,3693.00
2026-02-27 03:19:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,11.00,3704.00
2026-02-27 03:20:00,,,,,,0.4200,0.00,3704.00
2026-02-27 03:22:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,16.00,3720.00
2026-02-27 03:23:00,,,,,,0.4200,0.00,3720.00
2026-02-27 03:25:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,11.00,3731.00
2026-02-27 03:26:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,4.00,3735.00
2026-02-27 03:27:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,453.00,4188.00
2026-02-27 03:28:00,,,,,,0.4200,0.00,4188.00
2026-02-27 03:29:00,,,,,,0.4200,0.00,4188.00
2026-02-27 03:30:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,102.00,4290.00
2026-02-27 03:31:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,114.00,4404.00
2026-02-27 03:33:00,,,,,,0.4200,0.00,4404.00
2026-02-27 03:34:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,34.00,4438.00
2026-02-27 03:36:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,34.00,4472.00
2026-02-27 03:38:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,172.00,4644.00
2026-02-27 03:39:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,33.00,4677.00
2026-02-27 03:40:00,,,,,,0.4200,0.00,4677.00
2026-02-27 03:41:00,,,,,,0.4200,0.00,4677.00
2026-02-27 03:42:00,,,,,,0.4200,0.00,4677.00
2026-02-27 03:43:00,,,,,,0.4200,0.00,4677.00
2026-02-27 03:44:00,0.3800,0.3800,0.3800,0.3800,0.3800,0.4200,47.00,4646.00
2026-02-27 03:45:00,,,,,,0.3800,0.00,4646.00
2026-02-27 03:46:00,,,,,,0.3800,0.00,4646.00
2026-02-27 03:47:00,0.4000,0.4000,0.4000,0.4000,0.4000,0.3800,134.00,4780.00
2026-02-27 03:48:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4000,35.00,4815.00
