end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-28 04:11:00,,,,,,0.5000,0.00,4516.00
2026-02-28 04:15:00,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,57.00,4573.00
2026-02-28 04:16:00,,,,,,0.5000,0.00,4573.00
2026-02-28 04:17:00,,,,,,0.5000,0.00,4573.00
2026-02-28 04:18:00,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,19.00,4592.00
2026-02-28 04:20:00,,,,,,0.5000,0.00,4592.00
2026-02-28 04:21:00,,,,,,0.5000,0.00,4592.00
2026-02-28 04:27:00,,,,,,0.5000,0.00,4592.00
2026-02-28 04:28:00,,,,,,0.5000,0.00,4592.00
2026-02-28 04:30:00,,,,,,0.5000,0.00,4592.00
2026-02-28 04:32:00,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,413.00,5005.00
2026-02-28 04:33:00,,,,,,0.5000,0.00,5005.00
2026-02-28 04:35:00,,,,,,0.5000,0.00,5005.00
2026-02-28 04:36:00,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,104.00,5109.00
2026-02-28 04:38:00,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,48.00,5157.00
2026-02-28 04:40:00,,,,,,0.5000,0.00,5157.00
2026-02-28 04:41:00,,,,,,0.5000,0.00,5157.00
2026-02-28 04:42:00,,,,,,0.5000,0.00,5157.00
2026-02-28 04:43:00,,,,,,0.5000,0.00,5157.00
2026-02-28 04:44:00,,,,,,0.5000,0.00,5157.00
2026-02-28 04:45:00,,,,,,0.5000,0.00,5157.00
2026-02-28 04:46:00,,,,,,0.5000,0.00,5157.00
2026-02-28 04:47:00,,,,,,0.5000,0.00,5157.00
2026-02-28 04:48:00,,,,,,0.5000,0.00,5157.00
2026-02-28 04:49:00,,,,,,0.5000,0.00,5157.00
2026-02-28 04:50:00,,,,,,0.5000,0.00,5157.00
2026-02-28 04:51:00,,,,,,0.5000,0.00,5157.00
