end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-03-04 01:36:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,208.00,17178.00
2026-03-04 01:37:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,676.00,17854.00
2026-03-04 01:38:00,0.4700,0.4700,0.4800,0.4800,0.4730,0.4800,145.00,17999.00
2026-03-04 01:39:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,854.00,18853.00
2026-03-04 01:40:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,52.00,18905.00
2026-03-04 01:41:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,22.00,18927.00
2026-03-04 01:42:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,558.00,19485.00
2026-03-04 01:43:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,225.00,19710.00
2026-03-04 01:44:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,55.00,19765.00
2026-03-04 01:45:00,0.4700,0.4700,0.4800,0.4800,0.4787,0.4800,923.00,20688.00
2026-03-04 01:46:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,361.00,21049.00
2026-03-04 01:47:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4800,39.00,21088.00
2026-03-04 01:48:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,20.00,21108.00
2026-03-04 01:49:00,0.4500,0.4500,0.4600,0.4600,0.4505,0.4700,64.00,21172.00
2026-03-04 01:50:00,,,,,,0.4600,0.00,21172.00
2026-03-04 01:51:00,0.4500,0.4500,0.4600,0.4600,0.4503,0.4600,88.00,21260.00
2026-03-04 01:52:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,97.00,21357.00
2026-03-04 01:53:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,47.00,21404.00
2026-03-04 01:54:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,136.00,21540.00
2026-03-04 01:55:00,0.4500,0.4400,0.4500,0.4500,0.4490,0.4600,61.00,21585.00
2026-03-04 01:56:00,0.4500,0.4500,0.4600,0.4600,0.4537,0.4500,141.00,21726.00
2026-03-04 01:57:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,85.00,21811.00
2026-03-04 01:58:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,200.00,22011.00
2026-03-04 01:59:00,,,,,,0.4600,0.00,22011.00
2026-03-04 02:00:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,102.00,22113.00
2026-03-04 02:01:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,35.00,22148.00
2026-03-04 02:02:00,0.4600,0.4600,0.4700,0.4700,0.4671,0.4600,2850.00,24998.00
2026-03-04 02:03:00,0.4700,0.4700,0.4800,0.4800,0.4740,0.4700,1000.00,25998.00
2026-03-04 02:04:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4800,65.00,26063.00
2026-03-04 02:05:00,0.4700,0.4700,0.4800,0.4800,0.4709,0.4700,1077.00,27140.00
2026-03-04 02:06:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4800,102.00,27242.00
2026-03-04 02:07:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,385.00,27627.00
2026-03-04 02:08:00,0.4400,0.4400,0.4700,0.4700,0.4631,0.4700,222.00,27747.00
2026-03-04 02:09:00,0.4700,0.4700,0.4800,0.4800,0.4762,0.4700,575.00,28322.00
2026-03-04 02:10:00,0.4800,0.4800,0.5100,0.4800,0.4875,0.4800,4309.00,32631.00
2026-03-04 02:11:00,,,,,,0.4800,0.00,32631.00
2026-03-04 02:12:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,40.00,32671.00
2026-03-04 02:13:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,1369.00,34040.00
2026-03-04 02:14:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,705.00,34745.00
2026-03-04 02:15:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,590.00,35335.00
2026-03-04 02:16:00,0.4800,0.4700,0.4800,0.4700,0.4758,0.4800,168.00,35503.00
2026-03-04 02:17:00,0.4700,0.4700,0.4800,0.4700,0.4743,0.4700,275.00,35778.00
2026-03-04 02:18:00,0.4800,0.4700,0.4800,0.4800,0.4784,0.4700,183.00,35961.00
2026-03-04 02:19:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,53.00,36014.00
2026-03-04 02:20:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,43.00,36057.00
2026-03-04 02:21:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,4.00,36061.00
2026-03-04 02:22:00,0.4700,0.4700,0.4800,0.4800,0.4758,0.4800,1876.00,37937.00
2026-03-04 02:23:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,638.00,38575.00
2026-03-04 02:24:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,10.00,38585.00
