end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-02 07:43:00,,,,,,0.5300,0.00,8301.00
2026-02-02 07:45:00,,,,,,0.5300,0.00,8301.00
2026-02-02 07:46:00,,,,,,0.5300,0.00,8301.00
2026-02-02 07:47:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5300,25.00,8326.00
2026-02-02 07:48:00,,,,,,0.5200,0.00,8326.00
2026-02-02 07:49:00,0.5200,0.5200,0.5300,0.5300,0.5289,0.5200,2149.00,10475.00
2026-02-02 07:50:00,,,,,,0.5300,0.00,10475.00
2026-02-02 07:51:00,,,,,,0.5300,0.00,10475.00
2026-02-02 07:52:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5300,43.00,10518.00
2026-02-02 07:53:00,,,,,,0.5200,0.00,10518.00
2026-02-02 07:55:00,,,,,,0.5200,0.00,10518.00
2026-02-02 07:57:00,,,,,,0.5200,0.00,10518.00
2026-02-02 07:58:00,,,,,,0.5200,0.00,10518.00
2026-02-02 07:59:00,0.5200,0.5200,0.5300,0.5300,0.5218,0.5200,543.00,11061.00
2026-02-02 08:00:00,,,,,,0.5300,0.00,11061.00
2026-02-02 08:01:00,0.5300,0.5300,0.5300,0.5300,0.5300,0.5300,35.00,11096.00
2026-02-02 08:02:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5300,283.00,11379.00
2026-02-02 08:03:00,,,,,,0.5100,0.00,11379.00
2026-02-02 08:04:00,0.5100,0.5100,0.5200,0.5200,0.5157,0.5100,965.00,12344.00
2026-02-02 08:05:00,,,,,,0.5200,0.00,12344.00
2026-02-02 08:06:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5200,279.00,12623.00
2026-02-02 08:07:00,,,,,,0.5200,0.00,12623.00
2026-02-02 08:08:00,,,,,,0.5200,0.00,12623.00
2026-02-02 08:09:00,,,,,,0.5200,0.00,12623.00
2026-02-02 08:11:00,,,,,,0.5200,0.00,12623.00
2026-02-02 08:12:00,,,,,,0.5200,0.00,12623.00
2026-02-02 08:13:00,,,,,,0.5200,0.00,12623.00
2026-02-02 08:14:00,,,,,,0.5200,0.00,12623.00
2026-02-02 08:15:00,0.5100,0.4900,0.5100,0.4900,0.4921,0.5200,475.00,12674.00
2026-02-02 08:16:00,,,,,,0.4900,0.00,12674.00
2026-02-02 08:17:00,,,,,,0.4900,0.00,12674.00
2026-02-02 08:18:00,,,,,,0.4900,0.00,12674.00
2026-02-02 08:19:00,,,,,,0.4900,0.00,12674.00
2026-02-02 08:20:00,,,,,,0.4900,0.00,12674.00
2026-02-02 08:21:00,,,,,,0.4900,0.00,12674.00
2026-02-02 08:22:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.4900,194.00,12868.00
2026-02-02 08:23:00,,,,,,0.5100,0.00,12868.00
2026-02-02 08:24:00,,,,,,0.5100,0.00,12868.00
2026-02-02 08:25:00,,,,,,0.5100,0.00,12868.00
2026-02-02 08:26:00,,,,,,0.5100,0.00,12868.00
2026-02-02 08:27:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5100,94.00,12962.00
2026-02-02 08:28:00,0.5000,0.5000,0.5000,0.5000,0.5000,0.5100,20.00,12982.00
2026-02-02 08:29:00,0.4900,0.4900,0.4900,0.4900,0.4900,0.5000,10.00,12992.00
2026-02-02 08:30:00,,,,,,0.4900,0.00,12992.00
2026-02-02 08:31:00,,,,,,0.4900,0.00,12992.00
2026-02-02 08:32:00,0.4900,0.4900,0.4900,0.4900,0.4900,0.4900,5.00,12997.00
2026-02-02 08:33:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4900,61.00,13058.00
2026-02-02 08:34:00,,,,,,0.4700,0.00,13058.00
2026-02-02 08:35:00,,,,,,0.4700,0.00,13058.00
2026-02-02 08:36:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4700,192.00,13250.00
2026-02-02 08:37:00,,,,,,0.4800,0.00,13250.00
2026-02-02 08:38:00,0.4900,0.4900,0.4900,0.4900,0.4900,0.4800,29.00,13279.00
2026-02-02 08:39:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4900,1554.00,14833.00
2026-02-02 08:40:00,,,,,,0.4700,0.00,14833.00
2026-02-02 08:41:00,,,,,,0.4700,0.00,14833.00
2026-02-02 08:42:00,0.4600,0.4500,0.4600,0.4500,0.4528,0.4700,710.00,15133.00
2026-02-02 08:43:00,0.4700,0.4500,0.4700,0.4600,0.4564,0.4500,453.00,15474.00
2026-02-02 08:44:00,0.4500,0.4400,0.4600,0.4600,0.4476,0.4600,292.00,15609.00
2026-02-02 08:45:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4600,30.00,15639.00
2026-02-02 08:46:00,,,,,,0.4700,0.00,15639.00
2026-02-02 08:47:00,,,,,,0.4700,0.00,15639.00
2026-02-02 08:48:00,,,,,,0.4700,0.00,15639.00
2026-02-02 08:49:00,,,,,,0.4700,0.00,15639.00
2026-02-02 08:50:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,20.00,15659.00
2026-02-02 08:51:00,,,,,,0.4700,0.00,15659.00
2026-02-02 08:52:00,,,,,,0.4700,0.00,15659.00
2026-02-02 08:53:00,,,,,,0.4700,0.00,15659.00
2026-02-02 08:54:00,0.4600,0.4200,0.4600,0.4300,0.4372,0.4700,54.00,15713.00
2026-02-02 08:55:00,0.4700,0.4200,0.4700,0.4200,0.4467,0.4300,75.00,15767.00
2026-02-02 08:56:00,0.4400,0.4000,0.4400,0.4000,0.4289,0.4200,18.00,15780.00
2026-02-02 08:57:00,0.4800,0.4700,0.4800,0.4700,0.4786,0.4000,230.00,16010.00
2026-02-02 08:58:00,0.4900,0.4200,0.5300,0.5100,0.5032,0.4700,3071.00,15252.00
2026-02-02 08:59:00,0.5200,0.5100,0.5500,0.5100,0.5451,0.5100,1860.00,16992.00
2026-02-02 09:00:00,0.5300,0.5000,0.5300,0.5000,0.5010,0.5100,1319.00,18311.00
2026-02-02 09:01:00,0.5600,0.5500,0.5800,0.5800,0.5589,0.5000,153.00,18429.00
2026-02-02 09:02:00,0.5700,0.5700,0.6300,0.6300,0.5739,0.5800,464.00,18867.00
2026-02-02 09:03:00,0.6300,0.6300,0.7100,0.6900,0.6822,0.6300,4159.00,22136.00
2026-02-02 09:04:00,0.6700,0.6200,0.6900,0.6800,0.6368,0.6900,2379.00,24176.00
2026-02-02 09:05:00,0.6300,0.2400,0.6800,0.6000,0.6014,0.6800,7960.00,29888.00
2026-02-02 09:06:00,0.6100,0.5100,0.6500,0.5200,0.5675,0.6000,1195.00,30515.00
2026-02-02 09:07:00,0.6000,0.5200,0.6000,0.5900,0.5763,0.5200,1211.00,31366.00
2026-02-02 09:08:00,0.5900,0.5100,0.6100,0.5500,0.5690,0.5900,2390.00,33242.00
2026-02-02 09:09:00,0.5200,0.4500,0.5900,0.4500,0.5119,0.5500,3468.00,36573.00
2026-02-02 09:10:00,0.4800,0.4000,0.5900,0.5700,0.5391,0.4500,253.00,36770.00
2026-02-02 09:11:00,0.5900,0.5200,0.5900,0.5300,0.5581,0.5700,837.00,37361.00
2026-02-02 09:12:00,0.5100,0.5100,0.5900,0.5500,0.5587,0.5300,1330.00,38635.00
2026-02-02 09:13:00,0.6000,0.5900,0.6000,0.5900,0.5980,0.5500,533.00,39118.00
2026-02-02 09:14:00,0.5800,0.5800,0.6800,0.6800,0.6606,0.5900,843.00,39709.00
2026-02-02 09:15:00,0.6800,0.6700,0.7600,0.7600,0.7068,0.6800,4202.00,41594.00
2026-02-02 09:16:00,0.7200,0.6400,0.7200,0.6900,0.6840,0.7600,4223.00,45666.00
2026-02-02 09:17:00,0.7500,0.6800,0.7800,0.7800,0.7492,0.6900,2741.00,48260.00
