end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-05 06:43:00,,,,,,0.5400,0.00,14787.00
2026-02-05 06:45:00,,,,,,0.5400,0.00,14787.00
2026-02-05 06:46:00,,,,,,0.5400,0.00,14787.00
2026-02-05 06:47:00,0.5400,0.5400,0.5500,0.5500,0.5446,0.5400,653.00,15142.00
2026-02-05 06:48:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,130.00,15142.00
2026-02-05 06:49:00,0.5400,0.5400,0.5400,0.5400,0.5400,0.5500,107.00,15249.00
2026-02-05 06:50:00,0.5400,0.5400,0.5400,0.5400,0.5400,0.5400,1435.00,16684.00
2026-02-05 06:51:00,0.5400,0.5400,0.5400,0.5400,0.5400,0.5400,123.00,16807.00
2026-02-05 06:52:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5400,62.00,16807.00
2026-02-05 06:53:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,59.00,16807.00
2026-02-05 06:54:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,178.00,16807.00
2026-02-05 06:55:00,,,,,,0.5500,0.00,16807.00
2026-02-05 06:56:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,36.00,16807.00
2026-02-05 06:57:00,,,,,,0.5500,0.00,16807.00
2026-02-05 06:58:00,,,,,,0.5500,0.00,16807.00
2026-02-05 06:59:00,,,,,,0.5500,0.00,16807.00
2026-02-05 07:00:00,,,,,,0.5500,0.00,16807.00
2026-02-05 07:01:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,47.00,16820.00
2026-02-05 07:02:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,35.00,16855.00
2026-02-05 07:03:00,0.5500,0.5500,0.5600,0.5600,0.5501,0.5500,2885.00,19740.00
2026-02-05 07:04:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,172.00,19912.00
2026-02-05 07:05:00,,,,,,0.5600,0.00,19912.00
2026-02-05 07:06:00,,,,,,0.5600,0.00,19912.00
2026-02-05 07:07:00,0.5400,0.5400,0.5400,0.5400,0.5400,0.5600,35.00,19947.00
2026-02-05 07:08:00,0.5400,0.5400,0.5400,0.5400,0.5400,0.5400,282.00,20229.00
2026-02-05 07:09:00,0.5400,0.5400,0.5400,0.5400,0.5400,0.5400,215.00,20444.00
2026-02-05 07:10:00,,,,,,0.5400,0.00,20444.00
2026-02-05 07:11:00,0.5400,0.5400,0.5400,0.5400,0.5400,0.5400,35.00,20479.00
2026-02-05 07:12:00,0.5400,0.5400,0.5400,0.5400,0.5400,0.5400,6.00,20485.00
2026-02-05 07:13:00,0.5400,0.5400,0.5400,0.5400,0.5400,0.5400,8.00,20493.00
2026-02-05 07:14:00,0.5400,0.5400,0.5400,0.5400,0.5400,0.5400,34.00,20527.00
2026-02-05 07:15:00,,,,,,0.5400,0.00,20527.00
2026-02-05 07:16:00,0.5400,0.5400,0.5500,0.5500,0.5457,0.5400,88.00,20615.00
2026-02-05 07:17:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,206.00,20821.00
