end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-10 04:54:00,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,8.00,2900.00
2026-02-10 05:05:00,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,4.00,2904.00
2026-02-10 05:09:00,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,94.00,2998.00
2026-02-10 05:23:00,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,100.00,3098.00
2026-02-10 05:26:00,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,206.00,3304.00
2026-02-10 05:57:00,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,9.00,3313.00
2026-02-10 06:04:00,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,50.00,3363.00
2026-02-10 06:38:00,0.0900,0.0900,0.1000,0.1000,0.0995,0.1000,22.00,3385.00
2026-02-10 06:43:00,0.0900,0.0900,0.1000,0.1000,0.0998,0.1000,47.00,3432.00
2026-02-10 06:45:00,0.1100,0.1100,0.1100,0.1100,0.1100,0.1000,94.00,3526.00
2026-02-10 06:56:00,0.1100,0.1100,0.1100,0.1100,0.1100,0.1100,2.00,3528.00
2026-02-10 06:58:00,0.0900,0.0900,0.0900,0.0900,0.0900,0.1100,50.00,3578.00
2026-02-10 06:59:00,0.0900,0.0900,0.0900,0.0900,0.0900,0.0900,52.00,3630.00
2026-02-10 07:00:00,0.0900,0.0900,0.0900,0.0900,0.0900,0.0900,10.00,3640.00
2026-02-10 07:01:00,0.1000,0.1000,0.1000,0.1000,0.1000,0.0900,169.00,3809.00
2026-02-10 07:02:00,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,2.00,3811.00
2026-02-10 07:04:00,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,288.00,4099.00
2026-02-10 07:05:00,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,968.00,5067.00
2026-02-10 07:06:00,0.1000,0.1000,0.1100,0.1100,0.1036,0.1000,1464.00,6531.00
2026-02-10 07:07:00,0.1100,0.1100,0.1100,0.1100,0.1100,0.1100,218.00,6749.00
2026-02-10 07:08:00,0.1100,0.1100,0.1100,0.1100,0.1100,0.1100,203.00,6952.00
2026-02-10 07:09:00,0.1100,0.1100,0.1100,0.1100,0.1100,0.1100,230.00,7182.00
2026-02-10 07:10:00,0.1200,0.1100,0.2000,0.1200,0.1237,0.1100,11213.00,17284.00
2026-02-10 07:11:00,0.1200,0.1100,0.1300,0.1100,0.1149,0.1200,4958.00,22242.00
2026-02-10 07:12:00,0.1300,0.1100,0.1400,0.1100,0.1244,0.1100,1608.00,23800.00
2026-02-10 07:13:00,0.1200,0.0900,0.1200,0.1100,0.1013,0.1100,1107.00,24871.00
2026-02-10 07:14:00,0.1100,0.1000,0.2400,0.1300,0.1362,0.1100,6744.00,30263.00
2026-02-10 07:15:00,0.1200,0.1100,0.1300,0.1100,0.1135,0.1300,366.00,30604.00
2026-02-10 07:16:00,0.1000,0.1000,0.1100,0.1000,0.1009,0.1100,1359.00,31963.00
2026-02-10 07:17:00,0.0900,0.0700,0.1100,0.0700,0.0888,0.1000,2409.00,32010.00
2026-02-10 07:18:00,0.1100,0.1000,0.1100,0.1000,0.1009,0.0700,6331.00,38341.00
2026-02-10 07:19:00,0.0700,0.0700,0.0900,0.0900,0.0804,0.1000,480.00,38561.00
2026-02-10 07:20:00,0.1000,0.0800,0.1100,0.1100,0.1009,0.0900,648.00,38823.00
2026-02-10 07:21:00,0.1200,0.1000,0.1200,0.1000,0.1140,0.1100,344.00,39011.00
2026-02-10 07:22:00,0.1100,0.1100,0.1200,0.1200,0.1115,0.1000,671.00,39390.00
2026-02-10 07:23:00,0.1100,0.1100,0.1200,0.1100,0.1126,0.1200,949.00,39297.00
2026-02-10 07:24:00,0.1100,0.1000,0.1100,0.1000,0.1012,0.1100,210.00,39507.00
2026-02-10 07:25:00,0.1000,0.0900,0.1000,0.1000,0.0994,0.1000,179.00,39676.00
