end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-10 05:47:00,0.7300,0.7300,0.7300,0.7300,0.7300,0.7300,6.00,1886.00
2026-02-10 06:19:00,0.7300,0.7300,0.7300,0.7300,0.7300,0.7300,100.00,1986.00
2026-02-10 06:20:00,0.7300,0.7300,0.7300,0.7300,0.7300,0.7300,20.00,2006.00
2026-02-10 06:28:00,0.7300,0.7300,0.7300,0.7300,0.7300,0.7300,2.00,2008.00
2026-02-10 06:33:00,0.7300,0.7300,0.7300,0.7300,0.7300,0.7300,133.00,2141.00
2026-02-10 06:34:00,0.7300,0.7300,0.7300,0.7300,0.7300,0.7300,1.00,2142.00
2026-02-10 06:40:00,0.7300,0.7300,0.7300,0.7300,0.7300,0.7300,35.00,2177.00
2026-02-10 06:44:00,0.7300,0.7300,0.7300,0.7300,0.7300,0.7300,66.00,2243.00
2026-02-10 07:01:00,0.7300,0.7300,0.7300,0.7300,0.7300,0.7300,300.00,2543.00
2026-02-10 07:02:00,0.7200,0.7200,0.7200,0.7200,0.7200,0.7300,4.00,2547.00
2026-02-10 07:04:00,0.7200,0.7200,0.7300,0.7300,0.7298,0.7200,266.00,2813.00
2026-02-10 07:07:00,0.7300,0.7300,0.7300,0.7300,0.7300,0.7300,66.00,2879.00
2026-02-10 07:08:00,0.7300,0.7300,0.7300,0.7300,0.7300,0.7300,131.00,3010.00
2026-02-10 07:09:00,0.7300,0.7300,0.7300,0.7300,0.7300,0.7300,66.00,3076.00
2026-02-10 07:10:00,0.7300,0.7300,0.7300,0.7300,0.7300,0.7300,403.00,3479.00
2026-02-10 07:13:00,0.7300,0.7300,0.7400,0.7400,0.7310,0.7300,50.00,3529.00
2026-02-10 07:15:00,0.7400,0.7400,0.7400,0.7400,0.7400,0.7400,935.00,4464.00
2026-02-10 07:16:00,0.7400,0.7400,0.7400,0.7400,0.7400,0.7400,91.00,4555.00
2026-02-10 07:17:00,0.7400,0.7400,0.7400,0.7400,0.7400,0.7400,22.00,4577.00
2026-02-10 07:22:00,0.7300,0.7300,0.7300,0.7300,0.7300,0.7400,400.00,4977.00
2026-02-10 07:23:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7300,7.00,4984.00
2026-02-10 07:24:00,0.7000,0.7000,0.7200,0.7200,0.7038,0.7100,85.00,5062.00
2026-02-10 07:26:00,0.8100,0.8100,0.8300,0.8300,0.8225,0.7200,123.00,5185.00
2026-02-10 07:27:00,0.8300,0.8200,0.8300,0.8200,0.8211,0.8300,6613.00,11789.00
2026-02-10 07:28:00,0.8200,0.7900,0.8200,0.7900,0.8199,0.8200,3021.00,14810.00
2026-02-10 07:29:00,0.7800,0.7700,0.8100,0.8100,0.7826,0.7900,164.00,14956.00
2026-02-10 07:32:00,0.7200,0.7200,0.7600,0.7600,0.7203,0.8100,144.00,15100.00
2026-02-10 07:34:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7600,35.00,15109.00
2026-02-10 07:35:00,0.7000,0.7000,0.7100,0.7100,0.7043,0.7100,609.00,15718.00
2026-02-10 07:36:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.7100,357.00,16075.00
2026-02-10 07:37:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,149.00,16224.00
2026-02-10 07:38:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6800,100.00,16324.00
2026-02-10 07:40:00,0.5800,0.5500,0.5800,0.5500,0.5526,0.6400,297.00,16621.00
2026-02-10 07:41:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.5500,7.00,16628.00
2026-02-10 07:42:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.6000,262.00,16890.00
2026-02-10 07:43:00,0.6000,0.6000,0.6400,0.6400,0.6397,0.5500,4594.00,21484.00
2026-02-10 07:44:00,0.6500,0.5600,0.6500,0.5600,0.5998,0.6400,1185.00,22669.00
2026-02-10 07:45:00,0.5400,0.5200,0.5400,0.5400,0.5399,0.5600,236.00,22888.00
2026-02-10 07:47:00,0.5000,0.5000,0.5000,0.5000,0.5000,0.5400,5020.00,27908.00
2026-02-10 07:48:00,0.5000,0.4800,0.5100,0.4800,0.5018,0.5000,100.00,28008.00
2026-02-10 07:49:00,0.4900,0.4900,0.5200,0.5200,0.5192,0.4800,3770.00,31778.00
2026-02-10 07:50:00,0.5000,0.5000,0.5000,0.5000,0.5000,0.5200,34.00,31812.00
2026-02-10 07:51:00,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,53.00,31865.00
2026-02-10 07:52:00,0.5300,0.5300,0.5500,0.5500,0.5428,0.5000,796.00,32661.00
2026-02-10 07:53:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.5500,25.00,32686.00
2026-02-10 07:54:00,0.4400,0.4400,0.4400,0.4400,0.4400,0.4800,440.00,33126.00
