end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-11 05:30:00,0.3700,0.3700,0.3700,0.3700,0.3700,0.3700,14.00,10051.00
2026-02-11 06:08:00,0.3700,0.3700,0.3700,0.3700,0.3700,0.3700,5.00,10056.00
2026-02-11 06:16:00,0.3700,0.3700,0.3700,0.3700,0.3700,0.3700,261.00,10317.00
2026-02-11 06:17:00,0.3700,0.3700,0.3700,0.3700,0.3700,0.3700,51.00,10368.00
2026-02-11 06:29:00,0.3700,0.3700,0.3700,0.3700,0.3700,0.3700,150.00,10518.00
2026-02-11 06:42:00,0.3700,0.3700,0.3700,0.3700,0.3700,0.3700,76.00,10594.00
2026-02-11 06:47:00,0.3700,0.3700,0.3700,0.3700,0.3700,0.3700,5.00,10599.00
2026-02-11 07:00:00,0.3700,0.3700,0.3700,0.3700,0.3700,0.3700,285.00,10884.00
2026-02-11 07:01:00,0.3700,0.3700,0.3700,0.3700,0.3700,0.3700,15.00,10899.00
2026-02-11 07:03:00,0.3700,0.3700,0.3700,0.3700,0.3700,0.3700,76.00,10975.00
2026-02-11 07:06:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3700,375.00,11350.00
2026-02-11 07:08:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,81.00,11431.00
2026-02-11 07:09:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,53.00,11484.00
2026-02-11 07:10:00,0.3500,0.3500,0.4000,0.4000,0.3614,0.3600,1604.00,13088.00
2026-02-11 07:11:00,0.4000,0.4000,0.4100,0.4100,0.4005,0.4000,3562.00,16650.00
2026-02-11 07:12:00,0.4100,0.4100,0.4600,0.4500,0.4343,0.4100,113.00,16761.00
2026-02-11 07:13:00,0.4900,0.4000,0.4900,0.4700,0.4477,0.4500,5383.00,22094.00
2026-02-11 07:14:00,0.4500,0.4500,0.5300,0.5300,0.4862,0.4700,816.00,22084.00
2026-02-11 07:15:00,0.4800,0.4700,0.5400,0.5200,0.5109,0.5300,193.00,22056.00
2026-02-11 07:16:00,0.5400,0.4900,0.6100,0.6100,0.5769,0.5200,1046.00,22930.00
2026-02-11 07:17:00,0.6100,0.6100,0.6300,0.6200,0.6154,0.6100,2887.00,25787.00
2026-02-11 07:18:00,0.6200,0.6000,0.6200,0.6200,0.6184,0.6200,13894.00,39585.00
2026-02-11 07:19:00,0.6300,0.5800,0.6300,0.5900,0.5966,0.6200,258.00,39835.00
2026-02-11 07:20:00,0.5900,0.5900,0.6100,0.5900,0.5998,0.5900,1872.00,38241.00
2026-02-11 07:21:00,0.5900,0.5900,0.6200,0.5900,0.5966,0.5900,993.00,39234.00
2026-02-11 07:22:00,0.6000,0.5800,0.6200,0.5900,0.6097,0.5900,2395.00,40373.00
2026-02-11 07:23:00,0.5900,0.4700,0.5900,0.4700,0.5143,0.5900,240.00,40514.00
2026-02-11 07:24:00,0.5100,0.4400,0.5600,0.4500,0.4558,0.4700,543.00,40227.00
2026-02-11 07:25:00,0.4400,0.4400,0.4600,0.4400,0.4491,0.4500,6607.00,45853.00
2026-02-11 07:26:00,0.4400,0.4400,0.5000,0.5000,0.4437,0.4400,306.00,46157.00
2026-02-11 07:27:00,0.4600,0.4500,0.5000,0.5000,0.4711,0.5000,484.00,46641.00
2026-02-11 07:28:00,0.4700,0.4500,0.4700,0.4600,0.4684,0.5000,231.00,46872.00
2026-02-11 07:29:00,0.4000,0.3900,0.4100,0.4100,0.3919,0.4600,910.00,46252.00
2026-02-11 07:30:00,0.4200,0.4200,0.4400,0.4300,0.4334,0.4100,472.00,46356.00
2026-02-11 07:31:00,0.4000,0.2900,0.4200,0.3100,0.3291,0.4300,1031.00,46223.00
2026-02-11 07:32:00,0.2800,0.2700,0.3900,0.3900,0.3562,0.3100,2307.00,44340.00
2026-02-11 07:33:00,0.3600,0.3000,0.3800,0.3800,0.3425,0.3900,502.00,44416.00
