end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-14 02:42:00,0.4400,0.4400,0.4400,0.4400,0.4400,0.4400,32.00,5018.00
2026-02-14 02:46:00,,,,,,0.4400,0.00,5018.00
2026-02-14 02:47:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4400,20.00,5037.00
2026-02-14 02:48:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4300,55.00,5092.00
2026-02-14 02:49:00,0.4200,0.4000,0.4200,0.4000,0.4027,0.4300,462.00,5385.00
2026-02-14 02:50:00,,,,,,0.4000,0.00,5385.00
2026-02-14 02:52:00,,,,,,0.4000,0.00,5385.00
2026-02-14 02:54:00,,,,,,0.4000,0.00,5385.00
2026-02-14 02:55:00,0.4300,0.4300,0.4400,0.4400,0.4301,0.4000,653.00,6038.00
2026-02-14 02:56:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4400,1.00,6039.00
2026-02-14 02:57:00,,,,,,0.4300,0.00,6039.00
2026-02-14 02:59:00,,,,,,0.4300,0.00,6039.00
2026-02-14 03:00:00,,,,,,0.4300,0.00,6039.00
2026-02-14 03:05:00,0.4300,0.4300,0.4400,0.4400,0.4303,0.4300,436.00,6244.00
2026-02-14 03:06:00,,,,,,0.4400,0.00,6244.00
2026-02-14 03:07:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4400,22.00,6266.00
2026-02-14 03:08:00,,,,,,0.4300,0.00,6266.00
2026-02-14 03:09:00,,,,,,0.4300,0.00,6266.00
2026-02-14 03:10:00,,,,,,0.4300,0.00,6266.00
2026-02-14 03:11:00,0.4000,0.4000,0.4000,0.4000,0.4000,0.4300,13.00,6253.00
2026-02-14 03:12:00,,,,,,0.4000,0.00,6253.00
2026-02-14 03:13:00,,,,,,0.4000,0.00,6253.00
2026-02-14 03:14:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4000,277.00,6530.00
2026-02-14 03:15:00,,,,,,0.4300,0.00,6530.00
2026-02-14 03:16:00,,,,,,0.4300,0.00,6530.00
2026-02-14 03:17:00,,,,,,0.4300,0.00,6530.00
2026-02-14 03:18:00,,,,,,0.4300,0.00,6530.00
2026-02-14 03:21:00,0.4300,0.4300,0.4400,0.4400,0.4374,0.4300,1758.00,8278.00
2026-02-14 03:22:00,,,,,,0.4400,0.00,8278.00
2026-02-14 03:23:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4400,54.00,8332.00
2026-02-14 03:24:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4300,701.00,9033.00
2026-02-14 03:25:00,0.4400,0.4400,0.4400,0.4400,0.4400,0.4300,424.00,9457.00
2026-02-14 03:27:00,,,,,,0.4400,0.00,9457.00
2026-02-14 03:28:00,0.4400,0.4400,0.4400,0.4400,0.4400,0.4400,4.00,9461.00
2026-02-14 03:30:00,,,,,,0.4400,0.00,9461.00
2026-02-14 03:31:00,,,,,,0.4400,0.00,9461.00
2026-02-14 03:32:00,,,,,,0.4400,0.00,9461.00
2026-02-14 03:33:00,,,,,,0.4400,0.00,9461.00
2026-02-14 03:34:00,,,,,,0.4400,0.00,9461.00
2026-02-14 03:35:00,,,,,,0.4400,0.00,9461.00
2026-02-14 03:37:00,,,,,,0.4400,0.00,9461.00
2026-02-14 03:38:00,,,,,,0.4400,0.00,9461.00
2026-02-14 03:39:00,0.4400,0.4400,0.4400,0.4400,0.4400,0.4400,2.00,9463.00
2026-02-14 03:40:00,,,,,,0.4400,0.00,9463.00
2026-02-14 03:41:00,0.4400,0.4400,0.4400,0.4400,0.4400,0.4400,10.00,9473.00
2026-02-14 03:42:00,,,,,,0.4400,0.00,9473.00
2026-02-14 03:43:00,,,,,,0.4400,0.00,9473.00
2026-02-14 03:44:00,,,,,,0.4400,0.00,9473.00
2026-02-14 03:45:00,,,,,,0.4400,0.00,9473.00
2026-02-14 03:47:00,,,,,,0.4400,0.00,9473.00
2026-02-14 03:48:00,0.4300,0.4300,0.4400,0.4400,0.4367,0.4400,48.00,9521.00
2026-02-14 03:49:00,,,,,,0.4400,0.00,9521.00
2026-02-14 03:50:00,,,,,,0.4400,0.00,9521.00
2026-02-14 03:51:00,,,,,,0.4400,0.00,9521.00
2026-02-14 03:52:00,0.4400,0.4400,0.4400,0.4400,0.4400,0.4400,43.00,9564.00
2026-02-14 03:53:00,,,,,,0.4400,0.00,9564.00
2026-02-14 03:54:00,,,,,,0.4400,0.00,9564.00
2026-02-14 03:55:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4400,25.00,9589.00
2026-02-14 03:56:00,0.4200,0.4200,0.4500,0.4500,0.4316,0.4200,2229.00,11818.00
2026-02-14 03:57:00,0.4300,0.3900,0.4300,0.3900,0.4267,0.4500,42.00,11859.00
2026-02-14 03:58:00,,,,,,0.3900,0.00,11859.00
2026-02-14 03:59:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.3900,46.00,11905.00
2026-02-14 04:00:00,0.4300,0.4300,0.4400,0.4400,0.4342,0.4300,942.00,12847.00
2026-02-14 04:01:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4400,44.00,12891.00
2026-02-14 04:02:00,,,,,,0.4300,0.00,12891.00
2026-02-14 04:03:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4300,80.00,12971.00
2026-02-14 04:04:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.4100,30.00,13001.00
2026-02-14 04:05:00,0.4000,0.3700,0.4400,0.4400,0.4024,0.3900,5015.00,17873.00
2026-02-14 04:06:00,0.4500,0.4000,0.4500,0.4300,0.4326,0.4400,818.00,18691.00
2026-02-14 04:07:00,0.4400,0.4400,0.4600,0.4500,0.4437,0.4300,324.00,19015.00
2026-02-14 04:08:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4500,717.00,19732.00
2026-02-14 04:09:00,0.4500,0.4400,0.4600,0.4400,0.4574,0.4300,705.00,20437.00
2026-02-14 04:10:00,0.4600,0.4600,0.4800,0.4800,0.4641,0.4400,131.00,20559.00
2026-02-14 04:11:00,0.4800,0.4800,0.5100,0.5100,0.4803,0.4800,3726.00,24285.00
2026-02-14 04:12:00,0.5100,0.4500,0.5100,0.4500,0.4728,0.5100,794.00,24587.00
2026-02-14 04:13:00,,,,,,0.4500,0.00,24587.00
2026-02-14 04:14:00,0.4400,0.4200,0.4400,0.4200,0.4371,0.4500,387.00,24974.00
2026-02-14 04:15:00,0.4200,0.3700,0.4300,0.3900,0.4168,0.4200,670.00,25572.00
2026-02-14 04:16:00,0.3500,0.3300,0.4100,0.4100,0.3641,0.3900,123.00,25504.00
2026-02-14 04:17:00,0.4300,0.4000,0.4500,0.4000,0.4287,0.4100,339.00,25715.00
2026-02-14 04:18:00,0.3900,0.3900,0.4500,0.4500,0.4131,0.4000,519.00,25725.00
2026-02-14 04:19:00,0.4700,0.4700,0.4900,0.4900,0.4827,0.4500,1588.00,25294.00
2026-02-14 04:20:00,0.5100,0.5000,0.5100,0.5100,0.5088,0.4900,1016.00,26064.00
2026-02-14 04:21:00,0.5100,0.4900,0.5700,0.5200,0.5224,0.5100,1631.00,26449.00
2026-02-14 04:22:00,0.5200,0.5200,0.5500,0.5500,0.5213,0.5200,2807.00,29214.00
2026-02-14 04:23:00,0.5700,0.5700,0.5900,0.5900,0.5728,0.5500,58.00,29272.00
2026-02-14 04:24:00,0.5800,0.5100,0.5800,0.5200,0.5203,0.5900,9920.00,39192.00
2026-02-14 04:25:00,0.5300,0.4800,0.5300,0.4800,0.4872,0.5200,1448.00,40630.00
2026-02-14 04:26:00,0.5000,0.4900,0.5400,0.5100,0.5095,0.4800,13050.00,53630.00
2026-02-14 04:27:00,0.5100,0.4400,0.5400,0.4700,0.5015,0.5100,7740.00,61310.00
2026-02-14 04:28:00,0.5000,0.5000,0.5200,0.5000,0.5010,0.4700,3753.00,65063.00
2026-02-14 04:29:00,0.4900,0.3900,0.4900,0.4100,0.4265,0.5000,96.00,65159.00
2026-02-14 04:30:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.4100,79.00,65238.00
2026-02-14 04:31:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,69.00,65307.00
2026-02-14 04:32:00,0.3300,0.3000,0.3300,0.3000,0.3005,0.3600,328.00,64991.00
2026-02-14 04:33:00,0.3100,0.2400,0.3400,0.2900,0.2940,0.3000,922.00,65305.00
2026-02-14 04:34:00,0.2700,0.2700,0.3100,0.3100,0.2865,0.2900,2067.00,66614.00
2026-02-14 04:35:00,0.3100,0.2600,0.3200,0.3200,0.3099,0.3100,999.00,67613.00
2026-02-14 04:36:00,0.3200,0.3000,0.3500,0.3000,0.3104,0.3200,4552.00,72165.00
2026-02-14 04:37:00,0.2900,0.2700,0.3300,0.3200,0.3201,0.3000,5315.00,77274.00
2026-02-14 04:38:00,0.3200,0.3100,0.3200,0.3200,0.3174,0.3200,3284.00,79706.00
2026-02-14 04:39:00,0.3200,0.2700,0.3300,0.3200,0.3136,0.3200,1322.00,80874.00
2026-02-14 04:40:00,0.3400,0.3100,0.3800,0.3600,0.3468,0.3200,598.00,81470.00
2026-02-14 04:41:00,0.3400,0.3000,0.3400,0.3000,0.3265,0.3600,885.00,82294.00
2026-02-14 04:42:00,0.2700,0.2500,0.2900,0.2900,0.2606,0.3000,121.00,82302.00
2026-02-14 04:43:00,0.2600,0.2600,0.2700,0.2600,0.2609,0.2900,718.00,83020.00
2026-02-14 04:44:00,0.2500,0.2500,0.2800,0.2800,0.2574,0.2600,541.00,83561.00
2026-02-14 04:45:00,0.2800,0.2800,0.3000,0.3000,0.2889,0.2800,1554.00,83383.00
2026-02-14 04:46:00,0.3000,0.2800,0.3000,0.2800,0.2896,0.3000,1004.00,83753.00
2026-02-14 04:47:00,0.2800,0.2400,0.2900,0.2400,0.2489,0.2800,328.00,83997.00
2026-02-14 04:48:00,0.2100,0.2000,0.2400,0.2400,0.2171,0.2400,419.00,83868.00
2026-02-14 04:49:00,0.2300,0.2100,0.2300,0.2200,0.2279,0.2400,2117.00,85549.00
2026-02-14 04:50:00,0.2100,0.2000,0.2200,0.2200,0.2107,0.2200,4640.00,87473.00
2026-02-14 04:51:00,0.2400,0.2200,0.2500,0.2300,0.2403,0.2200,3100.00,90572.00
2026-02-14 04:52:00,0.2300,0.2200,0.2600,0.2600,0.2437,0.2300,8914.00,99390.00
2026-02-14 04:53:00,0.2600,0.2300,0.2800,0.2800,0.2760,0.2600,12195.00,111565.00
2026-02-14 04:54:00,0.2800,0.2800,0.3200,0.3200,0.2864,0.2800,7910.00,119317.00
2026-02-14 04:55:00,0.3200,0.2800,0.3200,0.3100,0.3021,0.3200,3389.00,122519.00
2026-02-14 04:56:00,0.3300,0.3300,0.4000,0.3500,0.3626,0.3100,7877.00,130381.00
2026-02-14 04:57:00,0.3500,0.3500,0.4100,0.4100,0.3781,0.3500,9056.00,139279.00
2026-02-14 04:58:00,0.4100,0.4000,0.4500,0.4500,0.4220,0.4100,5911.00,145108.00
2026-02-14 04:59:00,0.4500,0.4500,0.4800,0.4600,0.4720,0.4500,5591.00,148926.00
2026-02-14 05:00:00,0.4800,0.4000,0.4800,0.4700,0.4678,0.4600,4606.00,153013.00
2026-02-14 05:01:00,0.4600,0.4000,0.4600,0.4300,0.4340,0.4700,5834.00,158481.00
2026-02-14 05:02:00,0.4300,0.3600,0.4300,0.4200,0.4081,0.4300,3347.00,161270.00
2026-02-14 05:03:00,0.4500,0.4400,0.4700,0.4700,0.4631,0.4200,4150.00,165322.00
2026-02-14 05:04:00,0.4700,0.4500,0.4700,0.4700,0.4687,0.4700,5482.00,170572.00
2026-02-14 05:05:00,0.4500,0.4000,0.4600,0.4100,0.4250,0.4700,7811.00,177369.00
2026-02-14 05:06:00,0.4100,0.3900,0.4300,0.4300,0.4112,0.4100,1665.00,176844.00
2026-02-14 05:07:00,0.4300,0.4100,0.4500,0.4500,0.4457,0.4300,3730.00,180319.00
2026-02-14 05:08:00,0.4500,0.4100,0.4600,0.4600,0.4437,0.4500,4842.00,185135.00
2026-02-14 05:09:00,0.4600,0.3800,0.4800,0.4400,0.4470,0.4600,2151.00,187038.00
2026-02-14 05:10:00,0.4500,0.3300,0.4500,0.3400,0.3692,0.4400,1047.00,187152.00
2026-02-14 05:11:00,0.3300,0.2600,0.4000,0.2700,0.2760,0.3400,7363.00,187505.00
2026-02-14 05:12:00,0.2600,0.2600,0.2800,0.2800,0.2775,0.2700,1767.00,188754.00
2026-02-14 05:13:00,0.3200,0.2500,0.3200,0.2700,0.2770,0.2800,2874.00,190674.00
2026-02-14 05:14:00,0.2700,0.2300,0.2700,0.2300,0.2438,0.2700,1126.00,190512.00
2026-02-14 05:15:00,0.2400,0.1600,0.2700,0.2700,0.2335,0.2300,1297.00,190713.00
2026-02-14 05:16:00,0.2500,0.2200,0.2800,0.2500,0.2483,0.2700,5605.00,196083.00
2026-02-14 05:17:00,0.2500,0.2500,0.3100,0.2900,0.2829,0.2500,2321.00,196446.00
2026-02-14 05:18:00,0.2900,0.2800,0.3000,0.3000,0.2931,0.2900,389.00,196459.00
2026-02-14 05:19:00,0.3100,0.3000,0.3300,0.3200,0.3145,0.3000,845.00,196792.00
2026-02-14 05:20:00,0.3200,0.3100,0.3400,0.3100,0.3202,0.3200,1323.00,198108.00
