end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-14 02:46:00,,,,,,0.6000,0.00,6234.00
2026-02-14 02:47:00,0.5700,0.5700,0.6000,0.6000,0.5850,0.6000,2.00,6234.00
2026-02-14 02:48:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,1.00,6235.00
2026-02-14 02:49:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,29.00,6264.00
2026-02-14 02:50:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,16.00,6280.00
2026-02-14 02:53:00,0.6000,0.5700,0.6000,0.5700,0.5991,0.6000,32.00,6310.00
2026-02-14 02:54:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.5700,88.00,6398.00
2026-02-14 02:55:00,,,,,,0.6000,0.00,6398.00
2026-02-14 02:56:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,11.00,6409.00
2026-02-14 02:57:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,3.00,6412.00
2026-02-14 02:58:00,,,,,,0.6000,0.00,6412.00
2026-02-14 02:59:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.6000,1.00,6411.00
2026-02-14 03:00:00,,,,,,0.5700,0.00,6411.00
2026-02-14 03:01:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.5700,97.00,6508.00
2026-02-14 03:02:00,,,,,,0.6000,0.00,6508.00
2026-02-14 03:03:00,,,,,,0.6000,0.00,6508.00
2026-02-14 03:04:00,,,,,,0.6000,0.00,6508.00
2026-02-14 03:05:00,,,,,,0.6000,0.00,6508.00
2026-02-14 03:06:00,,,,,,0.6000,0.00,6508.00
2026-02-14 03:07:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,33.00,6541.00
2026-02-14 03:08:00,,,,,,0.6000,0.00,6541.00
2026-02-14 03:09:00,,,,,,0.6000,0.00,6541.00
2026-02-14 03:10:00,,,,,,0.6000,0.00,6541.00
2026-02-14 03:11:00,,,,,,0.6000,0.00,6541.00
2026-02-14 03:12:00,,,,,,0.6000,0.00,6541.00
2026-02-14 03:13:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,486.00,7027.00
2026-02-14 03:14:00,,,,,,0.6000,0.00,7027.00
2026-02-14 03:15:00,,,,,,0.6000,0.00,7027.00
2026-02-14 03:17:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,374.00,7401.00
2026-02-14 03:19:00,,,,,,0.6000,0.00,7401.00
2026-02-14 03:20:00,,,,,,0.6000,0.00,7401.00
2026-02-14 03:21:00,,,,,,0.6000,0.00,7401.00
2026-02-14 03:22:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.6000,8.00,7409.00
2026-02-14 03:23:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,4.00,7413.00
2026-02-14 03:24:00,,,,,,0.5900,0.00,7413.00
2026-02-14 03:25:00,,,,,,0.5900,0.00,7413.00
2026-02-14 03:26:00,,,,,,0.5900,0.00,7413.00
2026-02-14 03:27:00,,,,,,0.5900,0.00,7413.00
2026-02-14 03:28:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5900,1064.00,6739.00
2026-02-14 03:29:00,,,,,,0.5600,0.00,6739.00
