end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-13 23:52:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,17.00,1128.00
2026-02-14 00:09:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,8.00,1136.00
2026-02-14 00:32:00,,,,,,0.5700,0.00,1136.00
2026-02-14 00:33:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,847.00,1983.00
2026-02-14 00:37:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,170.00,2153.00
2026-02-14 00:38:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,136.00,2289.00
2026-02-14 00:40:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,41.00,2330.00
2026-02-14 00:41:00,,,,,,0.5700,0.00,2330.00
2026-02-14 00:42:00,,,,,,0.5700,0.00,2330.00
2026-02-14 00:44:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5700,282.00,2612.00
2026-02-14 00:45:00,,,,,,0.5600,0.00,2612.00
2026-02-14 00:46:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,10.00,2622.00
2026-02-14 00:49:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,86.00,2708.00
2026-02-14 00:50:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,172.00,2880.00
2026-02-14 00:52:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,4.00,2884.00
2026-02-14 00:53:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,13.00,2897.00
2026-02-14 00:54:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5600,4.00,2897.00
2026-02-14 00:57:00,,,,,,0.5500,0.00,2897.00
2026-02-14 00:58:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5500,35.00,2932.00
2026-02-14 00:59:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,116.00,3048.00
2026-02-14 01:00:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,32.00,3080.00
2026-02-14 01:01:00,0.5600,0.5600,0.5800,0.5800,0.5678,0.5600,714.00,3794.00
2026-02-14 01:02:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,1.00,3795.00
2026-02-14 01:03:00,0.5800,0.5500,0.5800,0.5500,0.5725,0.5800,51.00,3846.00
2026-02-14 01:04:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5500,68.00,3914.00
2026-02-14 01:05:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,81.00,3995.00
2026-02-14 01:06:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,336.00,4331.00
2026-02-14 01:07:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,17.00,4348.00
2026-02-14 01:08:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,85.00,4433.00
2026-02-14 01:09:00,0.5600,0.5600,0.5700,0.5700,0.5691,0.5700,231.00,4664.00
2026-02-14 01:10:00,,,,,,0.5700,0.00,4664.00
2026-02-14 01:11:00,0.5500,0.5100,0.5500,0.5100,0.5397,0.5700,1008.00,5672.00
2026-02-14 01:12:00,0.5000,0.4900,0.5200,0.5200,0.5124,0.5100,418.00,5829.00
2026-02-14 01:13:00,0.4900,0.4700,0.4900,0.4700,0.4703,0.5200,63.00,5892.00
2026-02-14 01:14:00,0.5200,0.5200,0.5500,0.5400,0.5395,0.4700,383.00,6175.00
2026-02-14 01:15:00,0.5300,0.5300,0.5300,0.5300,0.5300,0.5400,394.00,6269.00
2026-02-14 01:16:00,0.5600,0.5300,0.5800,0.5300,0.5626,0.5300,590.00,6859.00
2026-02-14 01:17:00,0.5300,0.5300,0.5600,0.5600,0.5505,0.5300,57.00,6916.00
2026-02-14 01:18:00,0.5400,0.5200,0.5600,0.5200,0.5358,0.5600,536.00,7408.00
2026-02-14 01:19:00,0.4900,0.4500,0.4900,0.4700,0.4823,0.5200,1306.00,8714.00
2026-02-14 01:20:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4700,162.00,8828.00
2026-02-14 01:21:00,0.4600,0.4600,0.5000,0.5000,0.4956,0.4300,1146.00,9974.00
2026-02-14 01:22:00,0.5300,0.5200,0.5600,0.5200,0.5279,0.5000,3213.00,13187.00
2026-02-14 01:23:00,0.5600,0.5500,0.5700,0.5600,0.5695,0.5200,982.00,14107.00
2026-02-14 01:24:00,0.5300,0.5200,0.5300,0.5200,0.5228,0.5600,54.00,14101.00
2026-02-14 01:25:00,0.5600,0.5500,0.5900,0.5900,0.5662,0.5200,1877.00,15978.00
2026-02-14 01:26:00,0.5900,0.5300,0.5900,0.5700,0.5583,0.5900,4569.00,19792.00
2026-02-14 01:27:00,0.6000,0.5900,0.6200,0.6200,0.6091,0.5700,3150.00,22902.00
2026-02-14 01:28:00,0.6000,0.6000,0.6200,0.6200,0.6139,0.6200,333.00,23053.00
2026-02-14 01:29:00,0.6200,0.6200,0.6400,0.6400,0.6259,0.6200,4809.00,27806.00
2026-02-14 01:30:00,0.6600,0.6400,0.7000,0.6400,0.6668,0.6400,585.00,27428.00
2026-02-14 01:31:00,0.7300,0.7300,0.7400,0.7400,0.7399,0.6400,197.00,27625.00
2026-02-14 01:32:00,0.7500,0.7500,0.7800,0.7800,0.7577,0.7400,31.00,27610.00
2026-02-14 01:33:00,0.7500,0.7500,0.7700,0.7700,0.7510,0.7800,21.00,27631.00
2026-02-14 01:34:00,0.7900,0.7800,0.7900,0.7800,0.7895,0.7700,457.00,28088.00
2026-02-14 01:35:00,0.7800,0.7800,0.8000,0.7800,0.7802,0.7800,671.00,27431.00
2026-02-14 01:36:00,0.8000,0.7600,0.8100,0.7600,0.7998,0.7800,8841.00,35321.00
2026-02-14 01:37:00,0.7900,0.7900,0.8200,0.8200,0.8195,0.7600,713.00,36019.00
