end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-19 09:56:00,0.1300,0.1300,0.1300,0.1300,0.1300,0.1300,40.00,17157.00
2026-02-19 10:00:00,0.1200,0.1000,0.1200,0.1000,0.1068,0.1300,898.00,17187.00
2026-02-19 10:01:00,,,,,,0.1000,0.00,17187.00
2026-02-19 10:02:00,,,,,,0.1000,0.00,17187.00
2026-02-19 10:03:00,,,,,,0.1000,0.00,17187.00
2026-02-19 10:04:00,,,,,,0.1000,0.00,17187.00
2026-02-19 10:05:00,0.1300,0.1300,0.1300,0.1300,0.1300,0.1000,43.00,17230.00
2026-02-19 10:06:00,,,,,,0.1300,0.00,17230.00
2026-02-19 10:07:00,,,,,,0.1300,0.00,17230.00
2026-02-19 10:08:00,0.1300,0.1300,0.1300,0.1300,0.1300,0.1300,65.00,17295.00
2026-02-19 10:09:00,0.1300,0.1300,0.1300,0.1300,0.1300,0.1300,72.00,17367.00
2026-02-19 10:10:00,0.1300,0.1300,0.1300,0.1300,0.1300,0.1300,402.00,17753.00
2026-02-19 10:11:00,0.1400,0.1400,0.1400,0.1400,0.1400,0.1300,434.00,18187.00
2026-02-19 10:12:00,,,,,,0.1400,0.00,18187.00
2026-02-19 10:13:00,,,,,,0.1400,0.00,18187.00
2026-02-19 10:14:00,0.1300,0.1300,0.1300,0.1300,0.1300,0.1400,59.00,18246.00
2026-02-19 10:15:00,0.1400,0.1400,0.1400,0.1400,0.1400,0.1300,241.00,18487.00
2026-02-19 10:16:00,,,,,,0.1400,0.00,18487.00
2026-02-19 10:17:00,,,,,,0.1400,0.00,18487.00
2026-02-19 10:18:00,,,,,,0.1400,0.00,18487.00
2026-02-19 10:19:00,0.1400,0.1400,0.1400,0.1400,0.1400,0.1400,37.00,18524.00
2026-02-19 10:20:00,,,,,,0.1400,0.00,18524.00
2026-02-19 10:21:00,,,,,,0.1400,0.00,18524.00
2026-02-19 10:22:00,,,,,,0.1400,0.00,18524.00
2026-02-19 10:23:00,,,,,,0.1400,0.00,18524.00
2026-02-19 10:24:00,0.1300,0.1300,0.1400,0.1400,0.1331,0.1400,35.00,18559.00
2026-02-19 10:25:00,,,,,,0.1400,0.00,18559.00
2026-02-19 10:26:00,,,,,,0.1400,0.00,18559.00
2026-02-19 10:27:00,,,,,,0.1400,0.00,18559.00
2026-02-19 10:28:00,0.1200,0.1200,0.1200,0.1200,0.1200,0.1400,264.00,18823.00
2026-02-19 10:29:00,0.1400,0.1400,0.1400,0.1400,0.1400,0.1200,3305.00,22128.00
2026-02-19 10:30:00,0.1400,0.1400,0.1400,0.1400,0.1400,0.1400,72.00,22200.00
2026-02-19 10:31:00,0.1300,0.1300,0.1300,0.1300,0.1300,0.1400,108.00,22308.00
2026-02-19 10:32:00,0.1300,0.1300,0.1300,0.1300,0.1300,0.1300,14.00,22322.00
2026-02-19 10:33:00,0.1300,0.1300,0.1300,0.1300,0.1300,0.1300,7.00,22329.00
2026-02-19 10:34:00,,,,,,0.1300,0.00,22329.00
2026-02-19 10:35:00,0.1300,0.1300,0.1300,0.1300,0.1300,0.1300,159.00,22488.00
2026-02-19 10:36:00,0.1300,0.1300,0.1400,0.1400,0.1333,0.1300,21.00,22509.00
2026-02-19 10:37:00,,,,,,0.1400,0.00,22509.00
2026-02-19 10:38:00,,,,,,0.1400,0.00,22509.00
2026-02-19 10:39:00,0.1400,0.1400,0.1400,0.1400,0.1400,0.1400,10.00,22519.00
2026-02-19 10:40:00,0.1400,0.1400,0.1400,0.1400,0.1400,0.1400,33.00,22552.00
2026-02-19 10:41:00,0.1100,0.1100,0.1100,0.1100,0.1100,0.1400,1.00,22551.00
2026-02-19 10:42:00,0.1400,0.1400,0.1400,0.1400,0.1400,0.1100,793.00,23344.00
2026-02-19 10:43:00,,,,,,0.1400,0.00,23344.00
2026-02-19 10:44:00,0.1400,0.1400,0.1400,0.1400,0.1400,0.1400,33.00,23377.00
2026-02-19 10:45:00,0.1400,0.1400,0.1400,0.1400,0.1400,0.1400,58.00,23435.00
2026-02-19 10:46:00,0.1400,0.1400,0.1400,0.1400,0.1400,0.1400,1251.00,24686.00
2026-02-19 10:47:00,,,,,,0.1400,0.00,24686.00
2026-02-19 10:48:00,0.1400,0.1400,0.1400,0.1400,0.1400,0.1400,160.00,24846.00
2026-02-19 10:49:00,,,,,,0.1400,0.00,24846.00
2026-02-19 10:50:00,0.1400,0.1400,0.1400,0.1400,0.1400,0.1400,2122.00,26968.00
2026-02-19 10:51:00,0.1400,0.1400,0.1400,0.1400,0.1400,0.1400,8152.00,35120.00
2026-02-19 10:52:00,0.1400,0.1400,0.1400,0.1400,0.1400,0.1400,9.00,35129.00
2026-02-19 10:53:00,0.1400,0.1400,0.1400,0.1400,0.1400,0.1400,750.00,35879.00
2026-02-19 10:54:00,0.1300,0.1300,0.1300,0.1300,0.1300,0.1400,6.00,35885.00
2026-02-19 10:55:00,0.1300,0.1300,0.1300,0.1300,0.1300,0.1300,345.00,36230.00
2026-02-19 10:56:00,0.1300,0.1300,0.1400,0.1400,0.1352,0.1300,383.00,36613.00
2026-02-19 10:57:00,0.1400,0.1400,0.1400,0.1400,0.1400,0.1400,588.00,37201.00
2026-02-19 10:58:00,0.1400,0.1400,0.1400,0.1400,0.1400,0.1400,53.00,37254.00
2026-02-19 10:59:00,0.1400,0.1400,0.1400,0.1400,0.1400,0.1400,2914.00,40168.00
2026-02-19 11:00:00,0.1400,0.1400,0.1400,0.1400,0.1400,0.1400,93.00,40261.00
2026-02-19 11:01:00,0.1400,0.1100,0.1400,0.1100,0.1217,0.1400,886.00,39797.00
2026-02-19 11:02:00,0.1300,0.1300,0.1300,0.1300,0.1300,0.1100,7.00,39804.00
2026-02-19 11:03:00,0.1300,0.1300,0.1400,0.1400,0.1336,0.1300,176.00,39980.00
2026-02-19 11:04:00,,,,,,0.1400,0.00,39980.00
2026-02-19 11:05:00,0.1300,0.1300,0.1300,0.1300,0.1300,0.1400,197.00,40177.00
2026-02-19 11:06:00,0.1300,0.1300,0.1300,0.1300,0.1300,0.1300,591.00,40768.00
2026-02-19 11:07:00,0.1300,0.1300,0.1400,0.1400,0.1364,0.1300,1515.00,42283.00
