end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-20 07:01:00,,,,,,0.6100,0.00,206602.00
2026-02-20 07:02:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,27.00,206629.00
2026-02-20 07:03:00,,,,,,0.6100,0.00,206629.00
2026-02-20 07:04:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,26.00,206655.00
2026-02-20 07:05:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,3482.00,210044.00
2026-02-20 07:06:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,7.00,210051.00
2026-02-20 07:07:00,,,,,,0.6100,0.00,210051.00
2026-02-20 07:08:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,751.00,210802.00
2026-02-20 07:09:00,0.6100,0.6000,0.6100,0.6100,0.6097,0.6100,327.00,211129.00
2026-02-20 07:10:00,0.6100,0.6100,0.6200,0.6200,0.6141,0.6100,15940.00,227069.00
2026-02-20 07:11:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6200,56.00,227125.00
2026-02-20 07:12:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,429.00,227330.00
2026-02-20 07:13:00,0.6100,0.6000,0.6100,0.6100,0.6055,0.6100,497.00,227330.00
2026-02-20 07:14:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,725.00,227330.00
2026-02-20 07:15:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,445.00,227330.00
2026-02-20 07:16:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,663.00,227330.00
2026-02-20 07:17:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,803.00,227330.00
2026-02-20 07:18:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,472.00,227330.00
2026-02-20 07:19:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,2052.00,227330.00
2026-02-20 07:20:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,938.00,227330.00
2026-02-20 07:21:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,2442.00,227330.00
2026-02-20 07:22:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,2057.00,227330.00
2026-02-20 07:23:00,0.6100,0.6000,0.6100,0.6100,0.6100,0.6100,26204.00,251675.00
2026-02-20 07:24:00,0.6100,0.6000,0.6100,0.6000,0.6001,0.6100,4997.00,256547.00
2026-02-20 07:25:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,265.00,256812.00
2026-02-20 07:26:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,162.00,256974.00
2026-02-20 07:27:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,16336.00,273310.00
2026-02-20 07:28:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,54.00,273364.00
2026-02-20 07:29:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,6864.00,280228.00
2026-02-20 07:30:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,99.00,280327.00
2026-02-20 07:31:00,0.6000,0.5900,0.6000,0.6000,0.5989,0.6000,1020.00,281347.00
2026-02-20 07:32:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,595.00,281942.00
2026-02-20 07:33:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,214.00,282156.00
2026-02-20 07:34:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,1187.00,283343.00
2026-02-20 07:35:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,942.00,284285.00
2026-02-20 07:36:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,98.00,284383.00
2026-02-20 07:37:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,2674.00,287057.00
2026-02-20 07:38:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,16956.00,304013.00
2026-02-20 07:39:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,533.00,304546.00
2026-02-20 07:40:00,0.6000,0.5900,0.6000,0.6000,0.6000,0.6000,4304.00,308850.00
2026-02-20 07:41:00,0.5900,0.5900,0.6000,0.6000,0.5999,0.6000,1975.00,310799.00
2026-02-20 07:42:00,,,,,,0.6000,0.00,310799.00
2026-02-20 07:43:00,0.6000,0.5900,0.6000,0.5900,0.5936,0.6000,39.00,310813.00
2026-02-20 07:44:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.5900,10773.00,321586.00
2026-02-20 07:45:00,0.6000,0.6000,0.6100,0.6100,0.6093,0.6000,30150.00,351635.00
2026-02-20 07:46:00,0.6100,0.6000,0.6100,0.6100,0.6074,0.6100,2295.00,353834.00
2026-02-20 07:47:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,2172.00,356006.00
2026-02-20 07:48:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,15.00,356021.00
2026-02-20 07:49:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,4055.00,360076.00
2026-02-20 07:50:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,1492.00,361568.00
2026-02-20 07:51:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,456.00,362024.00
2026-02-20 07:52:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,288.00,362312.00
2026-02-20 07:53:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,2404.00,364716.00
2026-02-20 07:54:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,495.00,365211.00
2026-02-20 07:55:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,10757.00,375968.00
2026-02-20 07:56:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6100,660.00,376628.00
2026-02-20 07:57:00,0.6100,0.6100,0.6200,0.6100,0.6182,0.6200,3384.00,380012.00
2026-02-20 07:58:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6100,7184.00,387196.00
2026-02-20 07:59:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6200,3700.00,390896.00
2026-02-20 08:00:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6200,594.00,391490.00
2026-02-20 08:01:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6200,11230.00,402720.00
2026-02-20 08:02:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6200,2697.00,405417.00
2026-02-20 08:03:00,0.6200,0.6100,0.6200,0.6100,0.6158,0.6200,5871.00,411288.00
2026-02-20 08:04:00,0.6200,0.6100,0.6200,0.6100,0.6123,0.6100,2554.00,413842.00
2026-02-20 08:05:00,0.6100,0.6000,0.6100,0.6000,0.6089,0.6100,2031.00,415858.00
2026-02-20 08:06:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6000,2618.00,418476.00
2026-02-20 08:07:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,1069.00,419545.00
2026-02-20 08:08:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,2927.00,422472.00
2026-02-20 08:09:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,1221.00,423693.00
2026-02-20 08:10:00,0.6100,0.6000,0.6100,0.6100,0.6074,0.6100,3119.00,426812.00
2026-02-20 08:11:00,0.6100,0.6000,0.6100,0.6100,0.6099,0.6100,2991.00,429771.00
2026-02-20 08:12:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,654.00,430425.00
2026-02-20 08:13:00,0.6100,0.6000,0.6100,0.6100,0.6100,0.6100,4981.00,435402.00
2026-02-20 08:14:00,0.6000,0.6000,0.6100,0.6100,0.6084,0.6100,4304.00,439706.00
2026-02-20 08:15:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,995.00,440701.00
2026-02-20 08:16:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,2964.00,443665.00
2026-02-20 08:17:00,0.6100,0.6000,0.6100,0.6100,0.6054,0.6100,704.00,444369.00
2026-02-20 08:18:00,0.6100,0.6000,0.6200,0.6200,0.6119,0.6100,5003.00,449365.00
2026-02-20 08:19:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6200,1533.00,450898.00
2026-02-20 08:20:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6200,3221.00,454119.00
2026-02-20 08:21:00,0.6200,0.6100,0.6200,0.6200,0.6199,0.6200,944.00,455063.00
2026-02-20 08:22:00,0.6200,0.6100,0.6200,0.6200,0.6195,0.6200,1426.00,456418.00
