end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-23 15:28:00,0.2800,0.2800,0.2800,0.2800,0.2800,0.2700,16.00,369.00
2026-02-23 15:29:00,,,,,,0.2800,0.00,369.00
2026-02-23 15:30:00,,,,,,0.2800,0.00,369.00
2026-02-23 15:31:00,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,17.00,369.00
2026-02-23 15:32:00,,,,,,0.2800,0.00,369.00
2026-02-23 15:33:00,,,,,,0.2800,0.00,369.00
2026-02-23 15:34:00,,,,,,0.2800,0.00,369.00
2026-02-23 15:35:00,,,,,,0.2800,0.00,369.00
2026-02-23 15:36:00,,,,,,0.2800,0.00,369.00
2026-02-23 15:37:00,,,,,,0.2800,0.00,369.00
2026-02-23 15:38:00,,,,,,0.2800,0.00,369.00
2026-02-23 15:39:00,,,,,,0.2800,0.00,369.00
2026-02-23 15:40:00,,,,,,0.2800,0.00,369.00
2026-02-23 15:41:00,,,,,,0.2800,0.00,369.00
2026-02-23 15:42:00,,,,,,0.2800,0.00,369.00
2026-02-23 15:43:00,,,,,,0.2800,0.00,369.00
2026-02-23 15:44:00,,,,,,0.2800,0.00,369.00
2026-02-23 15:45:00,,,,,,0.2800,0.00,369.00
2026-02-23 15:46:00,,,,,,0.2800,0.00,369.00
2026-02-23 15:47:00,,,,,,0.2800,0.00,369.00
2026-02-23 15:48:00,,,,,,0.2800,0.00,369.00
2026-02-23 15:49:00,,,,,,0.2800,0.00,369.00
2026-02-23 15:50:00,,,,,,0.2800,0.00,369.00
2026-02-23 15:51:00,,,,,,0.2800,0.00,369.00
2026-02-23 15:52:00,,,,,,0.2800,0.00,369.00
2026-02-23 15:53:00,,,,,,0.2800,0.00,369.00
2026-02-23 15:54:00,,,,,,0.2800,0.00,369.00
2026-02-23 15:55:00,,,,,,0.2800,0.00,369.00
2026-02-23 15:56:00,,,,,,0.2800,0.00,369.00
2026-02-23 15:57:00,,,,,,0.2800,0.00,369.00
2026-02-23 15:58:00,,,,,,0.2800,0.00,369.00
2026-02-23 15:59:00,,,,,,0.2800,0.00,369.00
2026-02-23 16:00:00,,,,,,0.2800,0.00,369.00
2026-02-23 16:01:00,,,,,,0.2800,0.00,369.00
2026-02-23 16:02:00,0.2700,0.2700,0.2700,0.2700,0.2700,0.2800,17.00,386.00
2026-02-23 16:03:00,,,,,,0.2700,0.00,386.00
2026-02-23 16:04:00,0.2700,0.2700,0.2700,0.2700,0.2700,0.2700,113.00,499.00
2026-02-23 16:05:00,0.2700,0.2700,0.2700,0.2700,0.2700,0.2700,4.00,503.00
2026-02-23 16:06:00,,,,,,0.2700,0.00,503.00
2026-02-23 16:07:00,,,,,,0.2700,0.00,503.00
2026-02-23 16:08:00,0.2700,0.2700,0.2700,0.2700,0.2700,0.2700,36.00,539.00
2026-02-23 16:09:00,0.2700,0.2700,0.2700,0.2700,0.2700,0.2700,8.00,547.00
2026-02-23 16:10:00,0.2700,0.2700,0.2700,0.2700,0.2700,0.2700,17.00,564.00
2026-02-23 16:11:00,,,,,,0.2700,0.00,564.00
2026-02-23 16:12:00,0.2800,0.2800,0.2800,0.2800,0.2800,0.2700,340.00,709.00
2026-02-23 16:13:00,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,51.00,760.00
2026-02-23 16:14:00,,,,,,0.2800,0.00,760.00
2026-02-23 16:15:00,,,,,,0.2800,0.00,760.00
2026-02-23 16:16:00,,,,,,0.2800,0.00,760.00
2026-02-23 16:17:00,0.2700,0.2700,0.2800,0.2800,0.2739,0.2800,1617.00,2357.00
2026-02-23 16:18:00,0.2700,0.2700,0.2700,0.2700,0.2700,0.2800,17.00,2374.00
2026-02-23 16:19:00,0.2700,0.2700,0.2700,0.2700,0.2700,0.2700,17.00,2391.00
2026-02-23 16:20:00,0.2700,0.2700,0.2700,0.2700,0.2700,0.2700,88.00,2479.00
2026-02-23 16:21:00,0.2700,0.2700,0.2700,0.2700,0.2700,0.2700,14.00,2493.00
2026-02-23 16:22:00,0.2700,0.2700,0.2700,0.2700,0.2700,0.2700,33.00,2526.00
2026-02-23 16:23:00,0.2700,0.2700,0.2700,0.2700,0.2700,0.2700,39.00,2565.00
2026-02-23 16:24:00,,,,,,0.2700,0.00,2565.00
2026-02-23 16:25:00,0.2700,0.2700,0.2700,0.2700,0.2700,0.2700,10.00,2575.00
2026-02-23 16:26:00,,,,,,0.2700,0.00,2575.00
2026-02-23 16:27:00,0.2700,0.2700,0.2700,0.2700,0.2700,0.2700,68.00,2643.00
2026-02-23 16:28:00,,,,,,0.2700,0.00,2643.00
2026-02-23 16:29:00,0.2700,0.2700,0.2700,0.2700,0.2700,0.2700,21.00,2664.00
2026-02-23 16:30:00,0.2700,0.2600,0.2700,0.2700,0.2647,0.2700,94.00,2726.00
2026-02-23 16:31:00,,,,,,0.2700,0.00,2726.00
2026-02-23 16:32:00,,,,,,0.2700,0.00,2726.00
2026-02-23 16:33:00,0.2600,0.2600,0.2600,0.2600,0.2600,0.2700,7.00,2733.00
2026-02-23 16:34:00,,,,,,0.2600,0.00,2733.00
2026-02-23 16:35:00,0.2600,0.2600,0.2600,0.2600,0.2600,0.2600,6.00,2739.00
2026-02-23 16:36:00,0.2600,0.2600,0.2600,0.2600,0.2600,0.2600,17.00,2756.00
2026-02-23 16:37:00,0.2600,0.2600,0.2600,0.2600,0.2600,0.2600,14.00,2770.00
2026-02-23 16:38:00,0.2600,0.2600,0.2700,0.2700,0.2677,0.2600,26.00,2789.00
2026-02-23 16:39:00,0.2700,0.2700,0.2700,0.2700,0.2700,0.2700,74.00,2863.00
2026-02-23 16:40:00,0.2700,0.2700,0.2700,0.2700,0.2700,0.2700,167.00,3030.00
2026-02-23 16:41:00,0.2600,0.2600,0.2700,0.2700,0.2624,0.2700,34.00,3064.00
2026-02-23 16:42:00,0.2600,0.2600,0.2600,0.2600,0.2600,0.2700,184.00,3248.00
2026-02-23 16:43:00,0.2700,0.2700,0.2700,0.2700,0.2700,0.2600,173.00,3421.00
2026-02-23 16:44:00,0.2700,0.2700,0.2700,0.2700,0.2700,0.2700,140.00,3561.00
2026-02-23 16:45:00,,,,,,0.2700,0.00,3561.00
2026-02-23 16:46:00,0.2500,0.2500,0.2500,0.2500,0.2500,0.2700,139.00,3700.00
2026-02-23 16:47:00,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,288.00,3988.00
2026-02-23 16:48:00,0.2500,0.2400,0.2600,0.2500,0.2542,0.2500,1274.00,5262.00
2026-02-23 16:49:00,0.2500,0.2500,0.2600,0.2600,0.2535,0.2500,122.00,5384.00
2026-02-23 16:50:00,0.2600,0.2600,0.2700,0.2700,0.2698,0.2600,424.00,5808.00
2026-02-23 16:51:00,0.2700,0.2600,0.2700,0.2600,0.2645,0.2700,724.00,6432.00
2026-02-23 16:52:00,0.2700,0.2700,0.2700,0.2700,0.2700,0.2600,110.00,6542.00
2026-02-23 16:53:00,0.2600,0.2400,0.2800,0.2400,0.2681,0.2700,408.00,6949.00
2026-02-23 16:54:00,0.2500,0.2000,0.2500,0.2000,0.2324,0.2400,686.00,7635.00
2026-02-23 16:55:00,0.2100,0.1800,0.2100,0.2000,0.2009,0.2000,372.00,7913.00
2026-02-23 16:56:00,0.2000,0.1600,0.2000,0.1700,0.1721,0.2000,556.00,8366.00
2026-02-23 16:57:00,0.1800,0.1500,0.1800,0.1500,0.1513,0.1700,4336.00,12702.00
2026-02-23 16:58:00,0.1300,0.1200,0.1700,0.1700,0.1600,0.1500,1767.00,14312.00
2026-02-23 16:59:00,0.1700,0.1400,0.1700,0.1400,0.1585,0.1700,699.00,15011.00
2026-02-23 17:00:00,0.1400,0.1400,0.2000,0.1800,0.1585,0.1400,1475.00,16450.00
2026-02-23 17:01:00,0.1800,0.1500,0.1800,0.1500,0.1597,0.1800,2644.00,19094.00
2026-02-23 17:02:00,0.1500,0.1400,0.1500,0.1400,0.1435,0.1500,813.00,19907.00
2026-02-23 17:03:00,0.1300,0.1200,0.1800,0.1300,0.1509,0.1400,19022.00,37715.00
2026-02-23 17:04:00,0.1300,0.1000,0.1300,0.1300,0.1260,0.1300,3078.00,40603.00
2026-02-23 17:05:00,0.1300,0.1300,0.1700,0.1400,0.1460,0.1300,3562.00,44165.00
2026-02-23 17:06:00,0.1400,0.1200,0.1500,0.1300,0.1383,0.1400,869.00,45034.00
2026-02-23 17:07:00,0.1400,0.1400,0.1600,0.1500,0.1498,0.1300,2839.00,47873.00
2026-02-23 17:08:00,0.1500,0.1200,0.1500,0.1300,0.1299,0.1500,907.00,48780.00
2026-02-23 17:09:00,0.1300,0.0900,0.1300,0.1000,0.1018,0.1300,1014.00,49364.00
2026-02-23 17:10:00,0.1000,0.0900,0.1000,0.1000,0.0986,0.1000,2217.00,50975.00
2026-02-23 17:11:00,0.1000,0.1000,0.1300,0.1300,0.1107,0.1000,5396.00,55119.00
2026-02-23 17:12:00,0.1300,0.1200,0.1500,0.1400,0.1297,0.1300,1033.00,55845.00
2026-02-23 17:13:00,0.1400,0.1400,0.1500,0.1500,0.1411,0.1400,816.00,56661.00
2026-02-23 17:14:00,0.1500,0.1200,0.1500,0.1200,0.1401,0.1500,1198.00,57813.00
2026-02-23 17:15:00,0.1300,0.1300,0.1700,0.1600,0.1468,0.1200,1581.00,59162.00
2026-02-23 17:16:00,0.1600,0.1300,0.1600,0.1500,0.1467,0.1600,895.00,60057.00
2026-02-23 17:17:00,0.1500,0.1400,0.2000,0.2000,0.1740,0.1500,3851.00,63791.00
2026-02-23 17:18:00,0.1900,0.1700,0.1900,0.1800,0.1852,0.2000,2430.00,66024.00
2026-02-23 17:19:00,0.1800,0.1700,0.2200,0.2200,0.1819,0.1800,7739.00,67471.00
2026-02-23 17:20:00,0.2400,0.1900,0.2500,0.1900,0.2126,0.2200,1165.00,67390.00
2026-02-23 17:21:00,0.1900,0.1800,0.2300,0.2200,0.2111,0.1900,3359.00,70463.00
2026-02-23 17:22:00,0.2500,0.2000,0.2500,0.2000,0.2322,0.2200,3203.00,73639.00
