end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-23 10:24:00,,,,,,0.4900,0.00,22177.00
2026-02-23 10:26:00,,,,,,0.4900,0.00,22177.00
2026-02-23 10:27:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4900,6.00,22183.00
2026-02-23 10:28:00,0.4900,0.4900,0.4900,0.4900,0.4900,0.4800,1.00,22184.00
2026-02-23 10:29:00,,,,,,0.4900,0.00,22184.00
2026-02-23 10:30:00,0.4900,0.4900,0.4900,0.4900,0.4900,0.4900,20.00,22204.00
2026-02-23 10:31:00,,,,,,0.4900,0.00,22204.00
2026-02-23 10:32:00,,,,,,0.4900,0.00,22204.00
2026-02-23 10:33:00,0.4900,0.4900,0.4900,0.4900,0.4900,0.4900,51.00,22255.00
2026-02-23 10:34:00,,,,,,0.4900,0.00,22255.00
2026-02-23 10:35:00,,,,,,0.4900,0.00,22255.00
2026-02-23 10:41:00,0.4700,0.4500,0.4700,0.4500,0.4634,0.4900,2457.00,23678.00
2026-02-23 10:43:00,,,,,,0.4500,0.00,23678.00
2026-02-23 10:44:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4500,402.00,23876.00
2026-02-23 10:45:00,,,,,,0.4800,0.00,23876.00
2026-02-23 10:46:00,,,,,,0.4800,0.00,23876.00
2026-02-23 10:47:00,,,,,,0.4800,0.00,23876.00
2026-02-23 10:48:00,,,,,,0.4800,0.00,23876.00
2026-02-23 10:50:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,67.00,23924.00
2026-02-23 10:52:00,,,,,,0.4800,0.00,23924.00
2026-02-23 10:53:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,60.00,23984.00
2026-02-23 10:54:00,0.4700,0.4500,0.4700,0.4500,0.4636,0.4800,1892.00,25819.00
2026-02-23 10:55:00,0.4600,0.4600,0.4700,0.4700,0.4658,0.4500,355.00,26174.00
2026-02-23 10:56:00,0.4500,0.4500,0.4700,0.4700,0.4501,0.4700,571.00,26743.00
2026-02-23 10:57:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,20.00,26743.00
2026-02-23 10:58:00,,,,,,0.4700,0.00,26743.00
2026-02-23 10:59:00,,,,,,0.4700,0.00,26743.00
2026-02-23 11:00:00,,,,,,0.4700,0.00,26743.00
2026-02-23 11:01:00,,,,,,0.4700,0.00,26743.00
2026-02-23 11:02:00,,,,,,0.4700,0.00,26743.00
2026-02-23 11:03:00,,,,,,0.4700,0.00,26743.00
2026-02-23 11:04:00,0.4700,0.4600,0.4800,0.4600,0.4727,0.4700,781.00,27275.00
2026-02-23 11:05:00,0.4600,0.4600,0.4800,0.4800,0.4788,0.4600,100.00,27375.00
2026-02-23 11:06:00,,,,,,0.4800,0.00,27375.00
2026-02-23 11:07:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,82.00,27400.00
2026-02-23 11:08:00,,,,,,0.4800,0.00,27400.00
2026-02-23 11:09:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,582.00,27829.00
2026-02-23 11:10:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,502.00,28331.00
2026-02-23 11:11:00,,,,,,0.4800,0.00,28331.00
2026-02-23 11:12:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,2010.00,30341.00
2026-02-23 11:13:00,,,,,,0.4800,0.00,30341.00
2026-02-23 11:14:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,4.00,30345.00
2026-02-23 11:15:00,,,,,,0.4800,0.00,30345.00
2026-02-23 11:16:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4800,63.00,30408.00
2026-02-23 11:17:00,0.4800,0.4800,0.4900,0.4900,0.4874,0.4700,1039.00,31286.00
2026-02-23 11:20:00,,,,,,0.4900,0.00,31286.00
2026-02-23 11:21:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4900,136.00,31422.00
2026-02-23 11:22:00,0.4900,0.4900,0.4900,0.4900,0.4900,0.4800,4615.00,35684.00
2026-02-23 11:23:00,,,,,,0.4900,0.00,35684.00
2026-02-23 11:24:00,,,,,,0.4900,0.00,35684.00
2026-02-23 11:25:00,0.5000,0.5000,0.5100,0.5100,0.5023,0.4900,1923.00,36922.00
2026-02-23 11:26:00,0.5000,0.4800,0.5000,0.4800,0.4843,0.5100,3411.00,40333.00
2026-02-23 11:27:00,0.4900,0.4900,0.4900,0.4900,0.4900,0.4800,58.00,40391.00
2026-02-23 11:28:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4900,27.00,40418.00
2026-02-23 11:29:00,0.4800,0.4800,0.5000,0.5000,0.4827,0.4800,71.00,40489.00
2026-02-23 11:30:00,,,,,,0.5000,0.00,40489.00
2026-02-23 11:31:00,,,,,,0.5000,0.00,40489.00
2026-02-23 11:32:00,,,,,,0.5000,0.00,40489.00
2026-02-23 11:33:00,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,405.00,40894.00
2026-02-23 11:34:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5000,26.00,40894.00
2026-02-23 11:35:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5100,210.00,40894.00
2026-02-23 11:36:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5100,47.00,40941.00
2026-02-23 11:37:00,0.5100,0.5100,0.5200,0.5200,0.5177,0.5100,1982.00,42923.00
2026-02-23 11:38:00,0.5300,0.5300,0.5300,0.5300,0.5300,0.5200,18.00,42923.00
2026-02-23 11:39:00,0.5300,0.5300,0.5300,0.5300,0.5300,0.5300,202.00,42923.00
2026-02-23 11:40:00,0.5300,0.5300,0.5300,0.5300,0.5300,0.5300,665.00,42923.00
2026-02-23 11:41:00,0.5300,0.5300,0.5300,0.5300,0.5300,0.5300,1159.00,43723.00
2026-02-23 11:42:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5300,1159.00,43723.00
2026-02-23 11:43:00,0.5400,0.5300,0.5400,0.5300,0.5370,0.5100,1428.00,44310.00
2026-02-23 11:44:00,,,,,,0.5300,0.00,44310.00
2026-02-23 11:45:00,0.5300,0.5300,0.5300,0.5300,0.5300,0.5300,30.00,44340.00
2026-02-23 11:46:00,,,,,,0.5300,0.00,44340.00
2026-02-23 11:47:00,0.5300,0.5300,0.5300,0.5300,0.5300,0.5300,8.00,44348.00
2026-02-23 11:49:00,0.5300,0.5300,0.5400,0.5400,0.5312,0.5300,394.00,44742.00
2026-02-23 11:50:00,0.5400,0.5100,0.5400,0.5100,0.5283,0.5400,804.00,45233.00
2026-02-23 11:51:00,,,,,,0.5100,0.00,45233.00
2026-02-23 11:52:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5100,427.00,45295.00
2026-02-23 11:53:00,,,,,,0.5200,0.00,45295.00
2026-02-23 11:54:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5200,80.00,45375.00
2026-02-23 11:55:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5200,150.00,45525.00
2026-02-23 11:56:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5200,46.00,45571.00
2026-02-23 11:57:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5200,10.00,45581.00
2026-02-23 11:58:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5200,36.00,45617.00
2026-02-23 11:59:00,,,,,,0.5200,0.00,45617.00
2026-02-23 12:00:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5200,27.00,45644.00
2026-02-23 12:01:00,,,,,,0.5200,0.00,45644.00
2026-02-23 12:02:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5200,277.00,45921.00
2026-02-23 12:03:00,0.5300,0.5100,0.5400,0.5100,0.5267,0.5200,2034.00,47530.00
2026-02-23 12:04:00,0.5300,0.5200,0.5400,0.5300,0.5330,0.5100,1632.00,49162.00
2026-02-23 12:05:00,0.5300,0.5300,0.5300,0.5300,0.5300,0.5300,91.00,49253.00
2026-02-23 12:06:00,0.5300,0.5300,0.5400,0.5400,0.5315,0.5300,438.00,49691.00
2026-02-23 12:07:00,0.5500,0.5400,0.5500,0.5400,0.5493,0.5400,240.00,49931.00
2026-02-23 12:08:00,0.5400,0.5300,0.5400,0.5300,0.5303,0.5400,612.00,50543.00
2026-02-23 12:09:00,0.5300,0.4600,0.6300,0.5600,0.5741,0.5300,16284.00,64958.00
2026-02-23 12:10:00,0.5700,0.4900,0.5700,0.5000,0.5474,0.5600,2570.00,66998.00
2026-02-23 12:11:00,0.4900,0.4900,0.5300,0.4900,0.5070,0.5000,12852.00,79850.00
2026-02-23 12:12:00,0.4800,0.4400,0.4800,0.4500,0.4631,0.4900,502.00,80252.00
2026-02-23 12:13:00,0.4600,0.3600,0.4600,0.3600,0.4401,0.4500,4034.00,84037.00
2026-02-23 12:14:00,0.3500,0.3100,0.3500,0.3100,0.3175,0.3600,4034.00,88071.00
2026-02-23 12:15:00,0.3100,0.2600,0.3100,0.2600,0.2860,0.3100,5526.00,92678.00
2026-02-23 12:16:00,0.2400,0.2300,0.2700,0.2700,0.2584,0.2600,2016.00,94538.00
2026-02-23 12:17:00,0.2500,0.2500,0.2700,0.2700,0.2664,0.2700,424.00,94944.00
2026-02-23 12:18:00,0.2700,0.2600,0.2700,0.2700,0.2679,0.2700,952.00,95605.00
2026-02-23 12:19:00,0.2800,0.2400,0.2800,0.2800,0.2690,0.2700,813.00,96346.00
2026-02-23 12:20:00,0.2800,0.2700,0.3800,0.3300,0.3153,0.2800,9093.00,103178.00
2026-02-23 12:21:00,0.3200,0.2500,0.3200,0.2500,0.2715,0.3300,1584.00,104090.00
2026-02-23 12:22:00,0.2600,0.2600,0.3000,0.2800,0.2811,0.2500,399.00,104455.00
2026-02-23 12:23:00,0.2900,0.2700,0.2900,0.2700,0.2710,0.2800,118.00,104573.00
2026-02-23 12:24:00,0.3000,0.3000,0.3300,0.3300,0.3060,0.2700,2786.00,107330.00
2026-02-23 12:25:00,0.3300,0.3300,0.4000,0.3600,0.3645,0.3300,3082.00,110367.00
2026-02-23 12:26:00,0.3500,0.3500,0.4100,0.4000,0.3751,0.3600,1801.00,112126.00
2026-02-23 12:27:00,0.4000,0.4000,0.4100,0.4000,0.4099,0.4000,3360.00,115446.00
2026-02-23 12:28:00,0.4100,0.4100,0.4500,0.4400,0.4301,0.4000,3664.00,118509.00
2026-02-23 12:29:00,0.4700,0.4700,0.5000,0.5000,0.4880,0.4400,2432.00,120701.00
2026-02-23 12:30:00,0.5100,0.5000,0.5600,0.5600,0.5302,0.5000,2109.00,121985.00
2026-02-23 12:31:00,0.5600,0.5400,0.5900,0.5500,0.5538,0.5600,5495.00,127225.00
2026-02-23 12:32:00,0.5400,0.5000,0.5500,0.5000,0.5366,0.5500,6633.00,132879.00
2026-02-23 12:33:00,0.5200,0.5200,0.6000,0.6000,0.5630,0.5000,1823.00,133508.00
2026-02-23 12:34:00,0.6400,0.6200,0.6900,0.6900,0.6616,0.6000,5326.00,135463.00
2026-02-23 12:35:00,0.6900,0.6800,0.7000,0.6900,0.6996,0.6900,7525.00,142607.00
2026-02-23 12:36:00,0.7000,0.6000,0.7200,0.6000,0.6949,0.6900,2903.00,145313.00
2026-02-23 12:37:00,0.6000,0.5600,0.6400,0.5800,0.6106,0.6000,5923.00,146142.00
2026-02-23 12:38:00,0.5700,0.5700,0.6600,0.6600,0.5870,0.5800,3347.00,143065.00
2026-02-23 12:39:00,0.6200,0.5900,0.6600,0.6600,0.6172,0.6600,5081.00,145415.00
2026-02-23 12:40:00,0.6700,0.6700,0.7000,0.6700,0.6929,0.6600,626.00,145586.00
