end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-25 16:42:00,,,,,,0.2600,0.00,9205.00
2026-02-25 16:43:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2600,7.00,9198.00
2026-02-25 16:44:00,0.2600,0.2600,0.2600,0.2600,0.2600,0.2400,1.00,9199.00
2026-02-25 16:45:00,0.2600,0.2600,0.2600,0.2600,0.2600,0.2600,242.00,9441.00
2026-02-25 16:46:00,,,,,,0.2600,0.00,9441.00
2026-02-25 16:47:00,,,,,,0.2600,0.00,9441.00
2026-02-25 16:48:00,,,,,,0.2600,0.00,9441.00
2026-02-25 16:49:00,0.2600,0.2600,0.2600,0.2600,0.2600,0.2600,33.00,9474.00
2026-02-25 16:50:00,,,,,,0.2600,0.00,9474.00
2026-02-25 16:51:00,0.2600,0.2600,0.2600,0.2600,0.2600,0.2600,43.00,9517.00
2026-02-25 16:52:00,0.2500,0.2500,0.2500,0.2500,0.2500,0.2600,9.00,9526.00
2026-02-25 16:53:00,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,12.00,9538.00
2026-02-25 16:54:00,,,,,,0.2500,0.00,9538.00
2026-02-25 16:55:00,0.2500,0.2500,0.2600,0.2600,0.2501,0.2500,839.00,10377.00
2026-02-25 16:56:00,0.2600,0.2500,0.2700,0.2700,0.2642,0.2600,4197.00,14574.00
2026-02-25 16:57:00,0.2600,0.2400,0.2600,0.2400,0.2555,0.2700,22.00,14586.00
2026-02-25 16:58:00,0.2600,0.2600,0.2600,0.2600,0.2600,0.2400,10.00,14596.00
2026-02-25 16:59:00,0.2600,0.2600,0.2600,0.2600,0.2600,0.2600,253.00,14849.00
2026-02-25 17:00:00,0.2600,0.2600,0.2600,0.2600,0.2600,0.2600,9.00,14858.00
2026-02-25 17:01:00,0.2600,0.2600,0.2600,0.2600,0.2600,0.2600,18.00,14876.00
2026-02-25 17:02:00,,,,,,0.2600,0.00,14876.00
2026-02-25 17:03:00,0.2600,0.2600,0.2600,0.2600,0.2600,0.2600,54.00,14930.00
2026-02-25 17:04:00,0.2600,0.2600,0.2600,0.2600,0.2600,0.2600,54.00,14984.00
2026-02-25 17:05:00,0.2600,0.2600,0.2600,0.2600,0.2600,0.2600,130.00,15114.00
2026-02-25 17:06:00,,,,,,0.2600,0.00,15114.00
2026-02-25 17:07:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2600,11.00,15103.00
2026-02-25 17:08:00,0.2700,0.2700,0.2700,0.2700,0.2700,0.2400,38.00,15141.00
2026-02-25 17:09:00,0.2600,0.2600,0.2600,0.2600,0.2600,0.2700,10.00,15151.00
2026-02-25 17:10:00,,,,,,0.2600,0.00,15151.00
2026-02-25 17:11:00,,,,,,0.2600,0.00,15151.00
2026-02-25 17:12:00,,,,,,0.2600,0.00,15151.00
2026-02-25 17:13:00,0.2600,0.2600,0.2600,0.2600,0.2600,0.2600,800.00,15951.00
2026-02-25 17:14:00,,,,,,0.2600,0.00,15951.00
2026-02-25 17:15:00,,,,,,0.2600,0.00,15951.00
2026-02-25 17:16:00,0.2600,0.2600,0.2600,0.2600,0.2600,0.2600,54.00,16005.00
2026-02-25 17:17:00,,,,,,0.2600,0.00,16005.00
2026-02-25 17:18:00,0.2600,0.2600,0.2600,0.2600,0.2600,0.2600,168.00,16173.00
2026-02-25 17:19:00,0.2600,0.2600,0.2600,0.2600,0.2600,0.2600,54.00,16227.00
2026-02-25 17:20:00,,,,,,0.2600,0.00,16227.00
2026-02-25 17:21:00,0.2600,0.2600,0.2600,0.2600,0.2600,0.2600,7.00,16234.00
2026-02-25 17:22:00,0.2600,0.2600,0.2600,0.2600,0.2600,0.2600,54.00,16288.00
2026-02-25 17:23:00,0.2600,0.2600,0.2600,0.2600,0.2600,0.2600,23.00,16311.00
2026-02-25 17:24:00,,,,,,0.2600,0.00,16311.00
2026-02-25 17:25:00,0.2600,0.2600,0.2600,0.2600,0.2600,0.2600,73.00,16384.00
2026-02-25 17:26:00,,,,,,0.2600,0.00,16384.00
2026-02-25 17:27:00,,,,,,0.2600,0.00,16384.00
2026-02-25 17:28:00,0.2600,0.2600,0.2600,0.2600,0.2600,0.2600,10.00,16394.00
2026-02-25 17:29:00,0.2600,0.2600,0.2600,0.2600,0.2600,0.2600,120.00,16514.00
2026-02-25 17:30:00,0.2600,0.2600,0.2600,0.2600,0.2600,0.2600,52.00,16566.00
2026-02-25 17:31:00,0.2600,0.2600,0.2600,0.2600,0.2600,0.2600,182.00,16748.00
