end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-26 12:35:00,,,,,,0.5500,0.00,3918.00
2026-02-26 12:44:00,,,,,,0.5500,0.00,3918.00
2026-02-26 12:55:00,,,,,,0.5500,0.00,3918.00
2026-02-26 13:00:00,,,,,,0.5500,0.00,3918.00
2026-02-26 13:01:00,,,,,,0.5500,0.00,3918.00
2026-02-26 13:02:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5500,915.00,4833.00
2026-02-26 13:03:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,215.00,5048.00
2026-02-26 13:04:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,191.00,5239.00
2026-02-26 13:05:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,130.00,5369.00
2026-02-26 13:06:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,595.00,5964.00
2026-02-26 13:07:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,59.00,6023.00
2026-02-26 13:08:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,10.00,6033.00
2026-02-26 13:09:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,25.00,6058.00
2026-02-26 13:10:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,31.00,6089.00
2026-02-26 13:11:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,17.00,6106.00
2026-02-26 13:12:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,206.00,6312.00
2026-02-26 13:13:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,60.00,6372.00
2026-02-26 13:14:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,36.00,6408.00
2026-02-26 13:15:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,258.00,6666.00
2026-02-26 13:16:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,8.00,6674.00
2026-02-26 13:18:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,1.00,6675.00
2026-02-26 13:20:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,100.00,6775.00
2026-02-26 13:22:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,34.00,6809.00
2026-02-26 13:28:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,13.00,6822.00
2026-02-26 13:29:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,1.00,6823.00
2026-02-26 13:31:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,17.00,6840.00
2026-02-26 13:36:00,,,,,,0.5600,0.00,6840.00
2026-02-26 13:37:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,51.00,6891.00
2026-02-26 13:38:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,8.00,6899.00
2026-02-26 13:41:00,,,,,,0.5600,0.00,6899.00
2026-02-26 13:42:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,34.00,6933.00
2026-02-26 13:43:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,67.00,7000.00
2026-02-26 13:44:00,,,,,,0.5600,0.00,7000.00
2026-02-26 13:45:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,25.00,7025.00
2026-02-26 13:46:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,67.00,7092.00
2026-02-26 13:47:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,216.00,7308.00
