end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-01-08 22:53:00,,,,,,0.2800,0.00,473.00
2026-01-08 22:55:00,,,,,,0.2800,0.00,473.00
2026-01-08 22:57:00,,,,,,0.2800,0.00,473.00
2026-01-08 22:59:00,,,,,,0.2800,0.00,473.00
2026-01-08 23:01:00,,,,,,0.2800,0.00,473.00
2026-01-08 23:02:00,,,,,,0.2800,0.00,473.00
2026-01-08 23:03:00,,,,,,0.2800,0.00,473.00
2026-01-08 23:04:00,,,,,,0.2800,0.00,473.00
2026-01-08 23:05:00,,,,,,0.2800,0.00,473.00
2026-01-08 23:06:00,,,,,,0.2800,0.00,473.00
2026-01-08 23:08:00,,,,,,0.2800,0.00,473.00
2026-01-08 23:10:00,,,,,,0.2800,0.00,473.00
2026-01-08 23:12:00,,,,,,0.2800,0.00,473.00
2026-01-08 23:13:00,,,,,,0.2800,0.00,473.00
2026-01-08 23:14:00,,,,,,0.2800,0.00,473.00
2026-01-08 23:16:00,,,,,,0.2800,0.00,473.00
2026-01-08 23:18:00,,,,,,0.2800,0.00,473.00
2026-01-08 23:19:00,,,,,,0.2800,0.00,473.00
2026-01-08 23:20:00,,,,,,0.2800,0.00,473.00
2026-01-08 23:21:00,,,,,,0.2800,0.00,473.00
2026-01-08 23:22:00,,,,,,0.2800,0.00,473.00
2026-01-08 23:23:00,,,,,,0.2800,0.00,473.00
2026-01-08 23:24:00,,,,,,0.2800,0.00,473.00
2026-01-08 23:25:00,,,,,,0.2800,0.00,473.00
2026-01-08 23:26:00,,,,,,0.2800,0.00,473.00
2026-01-08 23:27:00,,,,,,0.2800,0.00,473.00
2026-01-08 23:29:00,,,,,,0.2800,0.00,473.00
2026-01-08 23:30:00,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,34.00,507.00
2026-01-08 23:31:00,,,,,,0.2800,0.00,507.00
2026-01-08 23:33:00,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,1020.00,1527.00
2026-01-08 23:34:00,,,,,,0.2800,0.00,1527.00
2026-01-08 23:36:00,0.2700,0.2700,0.2700,0.2700,0.2700,0.2800,88.00,1615.00
2026-01-08 23:37:00,0.2700,0.2700,0.2700,0.2700,0.2700,0.2700,88.00,1703.00
2026-01-08 23:38:00,,,,,,0.2700,0.00,1703.00
2026-01-08 23:39:00,,,,,,0.2700,0.00,1703.00
2026-01-08 23:41:00,0.2700,0.2700,0.2700,0.2700,0.2700,0.2700,35.00,1738.00
2026-01-08 23:42:00,,,,,,0.2700,0.00,1738.00
2026-01-08 23:44:00,0.2700,0.2700,0.2700,0.2700,0.2700,0.2700,324.00,2062.00
2026-01-08 23:46:00,0.2700,0.2700,0.2700,0.2700,0.2700,0.2700,89.00,2151.00
2026-01-08 23:47:00,0.2700,0.2700,0.2700,0.2700,0.2700,0.2700,5.00,2156.00
2026-01-08 23:48:00,,,,,,0.2700,0.00,2156.00
2026-01-08 23:50:00,,,,,,0.2700,0.00,2156.00
2026-01-08 23:51:00,,,,,,0.2700,0.00,2156.00
2026-01-08 23:52:00,0.2700,0.2600,0.2700,0.2600,0.2609,0.2700,35.00,2127.00
2026-01-08 23:53:00,,,,,,0.2600,0.00,2127.00
2026-01-08 23:54:00,0.2700,0.2700,0.2700,0.2700,0.2700,0.2600,1.00,2128.00
2026-01-08 23:56:00,0.2700,0.2700,0.2700,0.2700,0.2700,0.2700,33.00,2161.00
2026-01-08 23:57:00,,,,,,0.2700,0.00,2161.00
2026-01-08 23:58:00,,,,,,0.2700,0.00,2161.00
2026-01-08 23:59:00,,,,,,0.2700,0.00,2161.00
2026-01-09 00:00:00,0.2700,0.2700,0.2700,0.2700,0.2700,0.2700,6.00,2167.00
2026-01-09 00:01:00,0.2800,0.2800,0.2800,0.2800,0.2800,0.2700,32.00,2199.00
2026-01-09 00:02:00,,,,,,0.2800,0.00,2199.00
2026-01-09 00:03:00,,,,,,0.2800,0.00,2199.00
2026-01-09 00:04:00,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,238.00,2437.00
2026-01-09 00:05:00,0.2800,0.2700,0.2800,0.2800,0.2773,0.2800,109.00,2517.00
2026-01-09 00:06:00,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,4.00,2521.00
2026-01-09 00:07:00,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,47.00,2568.00
2026-01-09 00:08:00,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,119.00,2687.00
2026-01-09 00:09:00,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,357.00,3044.00
2026-01-09 00:10:00,,,,,,0.2800,0.00,3044.00
2026-01-09 00:11:00,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,106.00,3150.00
2026-01-09 00:12:00,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,2.00,3152.00
2026-01-09 00:13:00,0.2700,0.2700,0.2700,0.2700,0.2700,0.2800,471.00,3623.00
2026-01-09 00:14:00,0.2500,0.2400,0.2800,0.2800,0.2548,0.2700,1106.00,4412.00
2026-01-09 00:15:00,0.2800,0.2600,0.2800,0.2600,0.2625,0.2800,24.00,4436.00
2026-01-09 00:16:00,0.2400,0.1800,0.2400,0.1900,0.2034,0.2600,457.00,4406.00
2026-01-09 00:17:00,,,,,,0.1900,0.00,4406.00
2026-01-09 00:18:00,0.2100,0.1500,0.2100,0.1500,0.2029,0.1900,76.00,4473.00
2026-01-09 00:19:00,0.1900,0.1500,0.1900,0.1600,0.1520,0.1500,112.00,4477.00
2026-01-09 00:20:00,0.1700,0.1700,0.1700,0.1700,0.1700,0.1600,21.00,4482.00
2026-01-09 00:21:00,0.1700,0.1500,0.1900,0.1900,0.1760,0.1700,160.00,4641.00
2026-01-09 00:22:00,0.1700,0.1700,0.1900,0.1900,0.1733,0.1900,338.00,4816.00
2026-01-09 00:23:00,0.1900,0.1900,0.2600,0.2100,0.2067,0.1900,2346.00,7089.00
2026-01-09 00:24:00,0.2100,0.2100,0.2100,0.2100,0.2100,0.2100,90.00,7089.00
2026-01-09 00:25:00,0.2100,0.2100,0.3000,0.2700,0.2663,0.2100,7204.00,13860.00
2026-01-09 00:26:00,0.2700,0.2300,0.2800,0.2500,0.2551,0.2700,577.00,14230.00
2026-01-09 00:27:00,0.2600,0.2600,0.3000,0.3000,0.2991,0.2500,5334.00,19374.00
2026-01-09 00:28:00,0.2900,0.2700,0.3400,0.3300,0.3020,0.3000,4915.00,20998.00
2026-01-09 00:29:00,0.3000,0.3000,0.3500,0.3500,0.3280,0.3300,7123.00,26738.00
2026-01-09 00:30:00,0.3500,0.3400,0.3600,0.3400,0.3498,0.3500,1493.00,28194.00
2026-01-09 00:31:00,0.3400,0.3400,0.3800,0.3800,0.3540,0.3400,1988.00,27076.00
2026-01-09 00:32:00,0.3800,0.3400,0.3800,0.3500,0.3506,0.3800,2989.00,24457.00
2026-01-09 00:33:00,0.3500,0.3500,0.4200,0.3800,0.4091,0.3500,2472.00,26573.00
2026-01-09 00:34:00,0.3900,0.3900,0.4700,0.4700,0.4079,0.3800,627.00,27144.00
2026-01-09 00:35:00,0.4600,0.4600,0.5300,0.5200,0.5043,0.4700,456.00,27600.00
2026-01-09 00:36:00,0.5300,0.4500,0.5300,0.5200,0.4898,0.5200,1123.00,28449.00
2026-01-09 00:37:00,0.5200,0.5000,0.5200,0.5100,0.5098,0.5200,313.00,28562.00
2026-01-09 00:38:00,0.4500,0.4000,0.4500,0.4100,0.4361,0.5100,401.00,28729.00
2026-01-09 00:39:00,0.4000,0.3800,0.4000,0.3800,0.3995,0.4100,218.00,28937.00
2026-01-09 00:40:00,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,57.00,28880.00
2026-01-09 00:41:00,0.3200,0.3100,0.4300,0.3300,0.3420,0.3800,2157.00,30112.00
2026-01-09 00:42:00,0.3200,0.3200,0.3400,0.3400,0.3255,0.3300,902.00,29742.00
2026-01-09 00:43:00,0.3500,0.3300,0.3700,0.3300,0.3393,0.3400,2907.00,32436.00
2026-01-09 00:44:00,0.3000,0.2300,0.3000,0.2400,0.2460,0.3300,262.00,32662.00
2026-01-09 00:45:00,0.2100,0.1700,0.2100,0.2000,0.1916,0.2400,955.00,32810.00
2026-01-09 00:46:00,0.2200,0.1900,0.2500,0.1900,0.2054,0.2000,2010.00,33708.00
2026-01-09 00:47:00,0.1700,0.1700,0.1900,0.1900,0.1760,0.1900,20.00,33700.00
2026-01-09 00:48:00,0.1900,0.1800,0.2000,0.1800,0.1923,0.1900,3040.00,36740.00
2026-01-09 00:49:00,0.1800,0.1300,0.1800,0.1600,0.1563,0.1800,1742.00,38237.00
2026-01-09 00:50:00,0.1400,0.1400,0.1500,0.1500,0.1498,0.1600,127.00,38246.00
2026-01-09 00:51:00,0.1600,0.1200,0.1600,0.1200,0.1326,0.1500,245.00,38386.00
2026-01-09 00:52:00,0.1300,0.1200,0.1300,0.1200,0.1299,0.1200,380.00,38388.00
