end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-01-22 17:42:00,,,,,,0.6400,0.00,72725.00
2026-01-22 17:43:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,896.00,73621.00
2026-01-22 17:44:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,15.00,73636.00
2026-01-22 17:45:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,45.00,73681.00
2026-01-22 17:46:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,610.00,74291.00
2026-01-22 17:48:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,50.00,74341.00
2026-01-22 17:49:00,,,,,,0.6400,0.00,74341.00
2026-01-22 17:50:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,10600.00,84941.00
2026-01-22 17:51:00,,,,,,0.6400,0.00,84941.00
2026-01-22 17:52:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,846.00,85787.00
2026-01-22 17:53:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,1077.00,86864.00
2026-01-22 17:54:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,151.00,87015.00
2026-01-22 17:55:00,,,,,,0.6400,0.00,87015.00
2026-01-22 17:56:00,,,,,,0.6400,0.00,87015.00
2026-01-22 17:57:00,,,,,,0.6400,0.00,87015.00
2026-01-22 17:58:00,,,,,,0.6400,0.00,87015.00
2026-01-22 17:59:00,,,,,,0.6400,0.00,87015.00
2026-01-22 18:00:00,,,,,,0.6400,0.00,87015.00
2026-01-22 18:01:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,149.00,87164.00
2026-01-22 18:02:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,110.00,87274.00
2026-01-22 18:03:00,,,,,,0.6400,0.00,87274.00
2026-01-22 18:04:00,,,,,,0.6400,0.00,87274.00
2026-01-22 18:05:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,51.00,87325.00
2026-01-22 18:06:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,23.00,87348.00
2026-01-22 18:07:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,68.00,87416.00
2026-01-22 18:08:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,10.00,87426.00
2026-01-22 18:09:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,3.00,87429.00
2026-01-22 18:10:00,,,,,,0.6400,0.00,87429.00
2026-01-22 18:11:00,,,,,,0.6400,0.00,87429.00
2026-01-22 18:12:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,1033.00,88462.00
2026-01-22 18:13:00,,,,,,0.6400,0.00,88462.00
2026-01-22 18:14:00,,,,,,0.6400,0.00,88462.00
2026-01-22 18:15:00,,,,,,0.6400,0.00,88462.00
2026-01-22 18:16:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,3396.00,91858.00
2026-01-22 18:17:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6400,7.00,91865.00
2026-01-22 18:18:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500,1159.00,93024.00
2026-01-22 18:19:00,,,,,,0.6500,0.00,93024.00
2026-01-22 18:20:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500,250.00,93274.00
2026-01-22 18:21:00,,,,,,0.6500,0.00,93274.00
2026-01-22 18:22:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500,348.00,93622.00
2026-01-22 18:23:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500,67.00,93689.00
2026-01-22 18:25:00,,,,,,0.6500,0.00,93689.00
2026-01-22 18:26:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500,1030.00,94719.00
2026-01-22 18:27:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6500,111.00,94719.00
2026-01-22 18:28:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,161.00,94880.00
2026-01-22 18:29:00,,,,,,0.6400,0.00,94880.00
2026-01-22 18:30:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,209.00,95089.00
2026-01-22 18:31:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,105.00,95194.00
2026-01-22 18:32:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,214.00,95408.00
2026-01-22 18:33:00,,,,,,0.6400,0.00,95408.00
2026-01-22 18:34:00,,,,,,0.6400,0.00,95408.00
2026-01-22 18:35:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,1163.00,96571.00
2026-01-22 18:36:00,,,,,,0.6400,0.00,96571.00
2026-01-22 18:38:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,35.00,96606.00
2026-01-22 18:39:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,110.00,96716.00
2026-01-22 18:40:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,228.00,96944.00
2026-01-22 18:41:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,35.00,96979.00
2026-01-22 18:42:00,,,,,,0.6400,0.00,96979.00
2026-01-22 18:43:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,849.00,97828.00
2026-01-22 18:44:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,500.00,98328.00
2026-01-22 18:45:00,,,,,,0.6400,0.00,98328.00
2026-01-22 18:46:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,304.00,98632.00
2026-01-22 18:47:00,,,,,,0.6400,0.00,98632.00
2026-01-22 18:48:00,,,,,,0.6400,0.00,98632.00
2026-01-22 18:49:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,30.00,98662.00
2026-01-22 18:50:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,1590.00,100252.00
2026-01-22 18:51:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,600.00,100852.00
2026-01-22 18:52:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,3100.00,103952.00
2026-01-22 18:53:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,115.00,104067.00
2026-01-22 18:54:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,1001.00,105068.00
2026-01-22 18:55:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,98.00,105166.00
2026-01-22 18:56:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,19.00,105185.00
2026-01-22 18:57:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,152.00,105337.00
2026-01-22 18:58:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,1335.00,106672.00
2026-01-22 18:59:00,0.6400,0.6400,0.6500,0.6500,0.6400,0.6400,2949.00,109621.00
2026-01-22 19:00:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500,989.00,110610.00
2026-01-22 19:01:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500,69.00,110679.00
2026-01-22 19:02:00,0.6500,0.6400,0.6500,0.6500,0.6482,0.6500,744.00,111301.00
2026-01-22 19:03:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500,552.00,111853.00
2026-01-22 19:04:00,0.6500,0.6500,0.6600,0.6600,0.6579,0.6500,270.00,112123.00
2026-01-22 19:05:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,845.00,112968.00
2026-01-22 19:06:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,423.00,113391.00
2026-01-22 19:07:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,701.00,114092.00
2026-01-22 19:08:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,303.00,114395.00
2026-01-22 19:09:00,0.6600,0.6600,0.6700,0.6700,0.6616,0.6600,656.00,115051.00
2026-01-22 19:10:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,863.00,115914.00
2026-01-22 19:11:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6700,443.00,116357.00
2026-01-22 19:12:00,0.6600,0.6500,0.6700,0.6500,0.6555,0.6600,379.00,116736.00
2026-01-22 19:13:00,0.6700,0.6600,0.6700,0.6600,0.6649,0.6500,75.00,116811.00
2026-01-22 19:14:00,0.6500,0.6300,0.6500,0.6400,0.6408,0.6600,3790.00,120486.00
2026-01-22 19:15:00,0.6400,0.6400,0.6600,0.6600,0.6502,0.6400,6118.00,120603.00
2026-01-22 19:16:00,0.6600,0.6100,0.6700,0.6200,0.6361,0.6600,8560.00,127223.00
2026-01-22 19:17:00,0.6200,0.5900,0.6200,0.5900,0.5955,0.6200,2017.00,128880.00
2026-01-22 19:18:00,0.5900,0.5500,0.5900,0.5900,0.5708,0.5900,7033.00,129863.00
2026-01-22 19:19:00,0.6200,0.6200,0.6500,0.6500,0.6377,0.5900,258.00,130121.00
2026-01-22 19:20:00,0.6500,0.6500,0.6700,0.6700,0.6547,0.6500,1200.00,131321.00
2026-01-22 19:21:00,0.6800,0.6800,0.7500,0.7500,0.7183,0.6700,2454.00,133663.00
2026-01-22 19:22:00,0.7500,0.7200,0.7700,0.7700,0.7492,0.7500,7659.00,137241.00
2026-01-22 19:23:00,0.7700,0.7300,0.7900,0.7900,0.7515,0.7700,4511.00,139426.00
2026-01-22 19:24:00,0.7900,0.7900,0.8000,0.8000,0.7971,0.7900,1537.00,140243.00
2026-01-22 19:25:00,0.8000,0.8000,0.8200,0.8200,0.8091,0.8000,2369.00,142489.00
2026-01-22 19:26:00,0.7900,0.7900,0.8000,0.8000,0.7962,0.8200,296.00,142601.00
2026-01-22 19:27:00,0.8200,0.8000,0.8300,0.8300,0.8149,0.8000,2504.00,144800.00
2026-01-22 19:28:00,0.8300,0.8000,0.8300,0.8000,0.8151,0.8300,269.00,144878.00
2026-01-22 19:29:00,0.8100,0.7900,0.8100,0.8100,0.8020,0.8000,2637.00,145368.00
2026-01-22 19:30:00,0.8100,0.7900,0.8100,0.7900,0.8080,0.8100,121.00,145402.00
2026-01-22 19:31:00,,,,,,0.7900,0.00,145402.00
2026-01-22 19:32:00,0.7600,0.7500,0.7600,0.7500,0.7500,0.7900,501.00,145606.00
2026-01-22 19:33:00,0.7100,0.7100,0.7300,0.7300,0.7150,0.7500,1478.00,147068.00
2026-01-22 19:34:00,0.7700,0.7700,0.7800,0.7800,0.7744,0.7300,1658.00,147935.00
2026-01-22 19:35:00,0.8000,0.8000,0.8100,0.8100,0.8025,0.7800,80.00,147935.00
2026-01-22 19:36:00,0.8100,0.8000,0.8100,0.8100,0.8100,0.8100,732.00,147671.00
2026-01-22 19:37:00,0.8000,0.7900,0.8000,0.7900,0.7978,0.8100,316.00,147919.00
2026-01-22 19:38:00,0.8000,0.7800,0.8000,0.7800,0.7926,0.7900,323.00,148242.00
2026-01-22 19:39:00,0.7800,0.7800,0.8000,0.8000,0.7807,0.7800,884.00,149077.00
2026-01-22 19:40:00,0.7700,0.7600,0.7700,0.7600,0.7672,0.8000,2744.00,151086.00
2026-01-22 19:41:00,0.7500,0.5900,0.7500,0.5900,0.6837,0.7600,5669.00,154189.00
2026-01-22 19:42:00,0.6300,0.6000,0.6400,0.6000,0.6069,0.5900,652.00,154837.00
2026-01-22 19:43:00,0.5900,0.5500,0.5900,0.5600,0.5716,0.6000,556.00,155342.00
2026-01-22 19:44:00,0.5500,0.5200,0.5500,0.5200,0.5340,0.5600,2392.00,157709.00
2026-01-22 19:45:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5200,1881.00,159590.00
2026-01-22 19:46:00,0.5200,0.5200,0.5800,0.5800,0.5312,0.5200,1472.00,160946.00
2026-01-22 19:47:00,0.5800,0.5300,0.6200,0.6200,0.6124,0.5800,1017.00,161774.00
2026-01-22 19:48:00,0.6200,0.6200,0.7200,0.7200,0.6415,0.6200,1496.00,161722.00
2026-01-22 19:49:00,0.6300,0.5800,0.6400,0.5800,0.5974,0.7200,4294.00,165978.00
2026-01-22 19:50:00,0.5700,0.5300,0.5700,0.5300,0.5600,0.5800,60.00,166008.00
2026-01-22 19:51:00,0.5500,0.5400,0.5500,0.5500,0.5497,0.5300,12273.00,166475.00
2026-01-22 19:52:00,0.5400,0.5400,0.6100,0.6100,0.5824,0.5500,62.00,166535.00
2026-01-22 19:53:00,0.5900,0.5900,0.6200,0.6100,0.6107,0.6100,993.00,167429.00
2026-01-22 19:54:00,0.6200,0.6200,0.6700,0.6600,0.6253,0.6100,571.00,167970.00
2026-01-22 19:55:00,0.7000,0.7000,0.7200,0.7000,0.7014,0.6600,1189.00,168061.00
2026-01-22 19:56:00,0.6700,0.6200,0.6700,0.6200,0.6376,0.7000,806.00,168867.00
2026-01-22 19:57:00,0.6500,0.6500,0.6800,0.6800,0.6749,0.6200,1570.00,169187.00
2026-01-22 19:58:00,0.6900,0.6900,0.7500,0.7500,0.7185,0.6800,1549.00,169579.00
2026-01-22 19:59:00,0.8000,0.7700,0.8000,0.7700,0.7800,0.7500,429.00,169584.00
2026-01-22 20:00:00,0.7700,0.7300,0.7700,0.7400,0.7427,0.7700,5371.00,174427.00
2026-01-22 20:01:00,0.7300,0.6000,0.7300,0.6000,0.6492,0.7400,1918.00,176244.00
2026-01-22 20:02:00,0.6000,0.6000,0.7200,0.7100,0.6493,0.6000,2885.00,176978.00
2026-01-22 20:03:00,0.7400,0.7400,0.8400,0.8200,0.8275,0.7100,2064.00,174932.00
2026-01-22 20:04:00,0.8200,0.8200,0.8400,0.8400,0.8301,0.8200,2420.00,172703.00
2026-01-22 20:05:00,0.8300,0.8200,0.8400,0.8400,0.8309,0.8400,5514.00,170299.00
2026-01-22 20:06:00,0.8400,0.7700,0.8400,0.7700,0.8304,0.8400,1497.00,171172.00
2026-01-22 20:07:00,0.7800,0.7700,0.8000,0.7800,0.7900,0.7700,3914.00,169324.00
2026-01-22 20:08:00,0.7600,0.7000,0.7600,0.7000,0.7550,0.7800,600.00,169374.00
2026-01-22 20:09:00,0.6900,0.6900,0.7000,0.7000,0.6904,0.7000,687.00,169137.00
2026-01-22 20:10:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.7000,4.00,169141.00
2026-01-22 20:11:00,0.7000,0.7000,0.7400,0.7400,0.7081,0.6900,188.00,169154.00
2026-01-22 20:12:00,0.7200,0.6900,0.7200,0.7000,0.7041,0.7400,1410.00,170366.00
2026-01-22 20:13:00,0.7200,0.6900,0.7300,0.7000,0.7246,0.7000,2151.00,172065.00
2026-01-22 20:14:00,0.7100,0.6900,0.7200,0.7000,0.7029,0.7000,383.00,171845.00
2026-01-22 20:15:00,0.7200,0.7200,0.7500,0.7500,0.7332,0.7000,1233.00,173078.00
2026-01-22 20:16:00,0.7400,0.7200,0.7600,0.7200,0.7375,0.7500,1482.00,174396.00
2026-01-22 20:17:00,0.7400,0.7400,0.7400,0.7400,0.7400,0.7200,199.00,174595.00
2026-01-22 20:18:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.7400,33.00,174594.00
2026-01-22 20:19:00,0.8200,0.8200,0.8600,0.8600,0.8398,0.8000,4230.00,170614.00
2026-01-22 20:20:00,0.8600,0.8600,0.8900,0.8700,0.8776,0.8600,1759.00,172101.00
2026-01-22 20:21:00,0.8800,0.8800,0.8800,0.8800,0.8800,0.8700,12.00,172113.00
2026-01-22 20:22:00,0.8900,0.8900,0.8900,0.8900,0.8900,0.8800,74.00,172187.00
2026-01-22 20:23:00,0.8800,0.8800,0.8900,0.8900,0.8898,0.8900,2260.00,174345.00
2026-01-22 20:24:00,0.9000,0.8900,0.9100,0.9100,0.8939,0.8900,4839.00,178783.00
2026-01-22 20:25:00,0.8900,0.8500,0.8900,0.8500,0.8690,0.9100,1954.00,180737.00
2026-01-22 20:26:00,0.8300,0.8300,0.8300,0.8300,0.8300,0.8500,126.00,180863.00
2026-01-22 20:27:00,0.8400,0.8400,0.8600,0.8400,0.8402,0.8300,100.00,180765.00
2026-01-22 20:28:00,0.8400,0.8400,0.8800,0.8800,0.8561,0.8400,234.00,180999.00
2026-01-22 20:29:00,0.8900,0.8700,0.8900,0.8900,0.8870,0.8800,883.00,181763.00
2026-01-22 20:30:00,0.8900,0.8700,0.9000,0.8900,0.8926,0.8900,50.00,181802.00
2026-01-22 20:31:00,0.9000,0.8900,0.9200,0.8900,0.8936,0.8900,1860.00,183048.00
2026-01-22 20:32:00,0.8900,0.8900,0.9400,0.9400,0.9215,0.8900,12749.00,186782.00
2026-01-22 20:33:00,0.9400,0.9000,0.9500,0.9000,0.9300,0.9400,23916.00,202267.00
2026-01-22 20:34:00,0.9000,0.9000,0.9700,0.9500,0.9277,0.9000,27933.00,197558.00
2026-01-22 20:35:00,0.9600,0.9400,0.9800,0.9400,0.9697,0.9500,1405.00,197709.00
2026-01-22 20:36:00,0.9600,0.8900,0.9600,0.8900,0.9361,0.9400,33302.00,213166.00
2026-01-22 20:37:00,0.9100,0.8800,0.9100,0.8800,0.8840,0.8900,284.00,213377.00
2026-01-22 20:38:00,0.8800,0.8800,0.8800,0.8800,0.8800,0.8800,98.00,213425.00
2026-01-22 20:39:00,0.8900,0.8900,0.9600,0.9600,0.9167,0.8800,3029.00,211612.00
