end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-03-04 14:13:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,23.00,4589.00
2026-03-04 14:14:00,,,,,,0.6100,0.00,4589.00
2026-03-04 14:18:00,,,,,,0.6100,0.00,4589.00
2026-03-04 14:19:00,,,,,,0.6100,0.00,4589.00
2026-03-04 14:20:00,,,,,,0.6100,0.00,4589.00
2026-03-04 14:21:00,,,,,,0.6100,0.00,4589.00
2026-03-04 14:22:00,,,,,,0.6100,0.00,4589.00
2026-03-04 14:23:00,,,,,,0.6100,0.00,4589.00
2026-03-04 14:24:00,,,,,,0.6100,0.00,4589.00
2026-03-04 14:25:00,,,,,,0.6100,0.00,4589.00
2026-03-04 14:27:00,,,,,,0.6100,0.00,4589.00
2026-03-04 14:28:00,,,,,,0.6100,0.00,4589.00
2026-03-04 14:29:00,,,,,,0.6100,0.00,4589.00
2026-03-04 14:30:00,,,,,,0.6100,0.00,4589.00
2026-03-04 14:31:00,,,,,,0.6100,0.00,4589.00
2026-03-04 14:32:00,,,,,,0.6100,0.00,4589.00
2026-03-04 14:33:00,,,,,,0.6100,0.00,4589.00
2026-03-04 14:34:00,,,,,,0.6100,0.00,4589.00
2026-03-04 14:35:00,,,,,,0.6100,0.00,4589.00
2026-03-04 14:36:00,,,,,,0.6100,0.00,4589.00
2026-03-04 14:37:00,,,,,,0.6100,0.00,4589.00
2026-03-04 14:38:00,,,,,,0.6100,0.00,4589.00
2026-03-04 14:39:00,,,,,,0.6100,0.00,4589.00
2026-03-04 14:40:00,,,,,,0.6100,0.00,4589.00
2026-03-04 14:41:00,,,,,,0.6100,0.00,4589.00
2026-03-04 14:42:00,,,,,,0.6100,0.00,4589.00
2026-03-04 14:43:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6100,31.00,4620.00
2026-03-04 14:44:00,,,,,,0.6200,0.00,4620.00
2026-03-04 14:45:00,,,,,,0.6200,0.00,4620.00
2026-03-04 14:46:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6200,1.00,4621.00
2026-03-04 14:47:00,,,,,,0.6200,0.00,4621.00
2026-03-04 14:48:00,,,,,,0.6200,0.00,4621.00
2026-03-04 14:49:00,,,,,,0.6200,0.00,4621.00
2026-03-04 14:54:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6200,4.00,4625.00
2026-03-04 14:56:00,,,,,,0.6200,0.00,4625.00
2026-03-04 15:00:00,,,,,,0.6200,0.00,4625.00
2026-03-04 15:01:00,,,,,,0.6200,0.00,4625.00
2026-03-04 15:02:00,,,,,,0.6200,0.00,4625.00
2026-03-04 15:03:00,,,,,,0.6200,0.00,4625.00
2026-03-04 15:04:00,,,,,,0.6200,0.00,4625.00
2026-03-04 15:05:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6200,39.00,4664.00
2026-03-04 15:07:00,0.6200,0.6200,0.6300,0.6300,0.6237,0.6200,1500.00,6164.00
2026-03-04 15:08:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,250.00,6414.00
2026-03-04 15:09:00,,,,,,0.6300,0.00,6414.00
2026-03-04 15:10:00,,,,,,0.6300,0.00,6414.00
2026-03-04 15:11:00,,,,,,0.6300,0.00,6414.00
2026-03-04 15:12:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6300,156.00,6570.00
2026-03-04 15:13:00,,,,,,0.6200,0.00,6570.00
2026-03-04 15:16:00,0.6200,0.6200,0.6300,0.6300,0.6295,0.6200,401.00,6971.00
2026-03-04 15:17:00,,,,,,0.6300,0.00,6971.00
2026-03-04 15:18:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,153.00,7124.00
2026-03-04 15:19:00,,,,,,0.6300,0.00,7124.00
