end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-03-05 18:38:00,,,,,,0.2900,0.00,5832.00
2026-03-05 18:39:00,0.3200,0.3200,0.3200,0.3200,0.3200,0.2900,14.00,5846.00
2026-03-05 18:40:00,,,,,,0.3200,0.00,5846.00
2026-03-05 18:41:00,,,,,,0.3200,0.00,5846.00
2026-03-05 18:42:00,,,,,,0.3200,0.00,5846.00
2026-03-05 18:43:00,0.3200,0.3200,0.3200,0.3200,0.3200,0.3200,298.00,6144.00
2026-03-05 18:44:00,,,,,,0.3200,0.00,6144.00
2026-03-05 18:45:00,,,,,,0.3200,0.00,6144.00
2026-03-05 18:46:00,,,,,,0.3200,0.00,6144.00
2026-03-05 18:47:00,,,,,,0.3200,0.00,6144.00
2026-03-05 18:48:00,,,,,,0.3200,0.00,6144.00
2026-03-05 18:49:00,,,,,,0.3200,0.00,6144.00
2026-03-05 18:50:00,,,,,,0.3200,0.00,6144.00
2026-03-05 18:53:00,,,,,,0.3200,0.00,6144.00
2026-03-05 18:54:00,0.3200,0.3200,0.3200,0.3200,0.3200,0.3200,147.00,6291.00
2026-03-05 18:55:00,,,,,,0.3200,0.00,6291.00
2026-03-05 18:56:00,,,,,,0.3200,0.00,6291.00
2026-03-05 18:57:00,,,,,,0.3200,0.00,6291.00
2026-03-05 18:58:00,,,,,,0.3200,0.00,6291.00
2026-03-05 18:59:00,,,,,,0.3200,0.00,6291.00
2026-03-05 19:00:00,,,,,,0.3200,0.00,6291.00
2026-03-05 19:01:00,,,,,,0.3200,0.00,6291.00
2026-03-05 19:02:00,,,,,,0.3200,0.00,6291.00
2026-03-05 19:03:00,,,,,,0.3200,0.00,6291.00
2026-03-05 19:04:00,,,,,,0.3200,0.00,6291.00
2026-03-05 19:05:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.3200,15.00,6276.00
2026-03-05 19:06:00,,,,,,0.2900,0.00,6276.00
2026-03-05 19:07:00,,,,,,0.2900,0.00,6276.00
2026-03-05 19:08:00,,,,,,0.2900,0.00,6276.00
2026-03-05 19:09:00,0.3200,0.3200,0.3200,0.3200,0.3200,0.2900,50.00,6326.00
2026-03-05 19:10:00,,,,,,0.3200,0.00,6326.00
2026-03-05 19:11:00,,,,,,0.3200,0.00,6326.00
2026-03-05 19:12:00,,,,,,0.3200,0.00,6326.00
