end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-03-05 15:31:00,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,100.00,7124.00
2026-03-05 15:32:00,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,127.00,7251.00
2026-03-05 15:33:00,,,,,,0.7700,0.00,7251.00
2026-03-05 15:40:00,,,,,,0.7700,0.00,7251.00
2026-03-05 15:44:00,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,20.00,7271.00
2026-03-05 15:47:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7700,100.00,7266.00
2026-03-05 15:48:00,,,,,,0.7600,0.00,7266.00
2026-03-05 15:49:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7600,12.00,7278.00
2026-03-05 15:50:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,265.00,7543.00
2026-03-05 15:52:00,,,,,,0.7800,0.00,7543.00
2026-03-05 15:54:00,,,,,,0.7800,0.00,7543.00
2026-03-05 15:55:00,,,,,,0.7800,0.00,7543.00
2026-03-05 15:56:00,,,,,,0.7800,0.00,7543.00
2026-03-05 15:57:00,,,,,,0.7800,0.00,7543.00
2026-03-05 15:58:00,,,,,,0.7800,0.00,7543.00
2026-03-05 15:59:00,,,,,,0.7800,0.00,7543.00
2026-03-05 16:00:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,63.00,7606.00
2026-03-05 16:01:00,,,,,,0.7800,0.00,7606.00
2026-03-05 16:06:00,0.7800,0.7800,0.7900,0.7900,0.7894,0.7800,362.00,7968.00
2026-03-05 16:08:00,0.7900,0.7900,0.7900,0.7900,0.7900,0.7900,653.00,8621.00
2026-03-05 16:10:00,0.7900,0.7900,0.7900,0.7900,0.7900,0.7900,1234.00,9855.00
2026-03-05 16:11:00,0.7900,0.7900,0.7900,0.7900,0.7900,0.7900,23.00,9878.00
2026-03-05 16:13:00,,,,,,0.7900,0.00,9878.00
2026-03-05 16:14:00,,,,,,0.7900,0.00,9878.00
2026-03-05 16:19:00,,,,,,0.7900,0.00,9878.00
2026-03-05 16:20:00,,,,,,0.7900,0.00,9878.00
2026-03-05 16:21:00,,,,,,0.7900,0.00,9878.00
2026-03-05 16:22:00,,,,,,0.7900,0.00,9878.00
2026-03-05 16:23:00,0.7700,0.7700,0.7700,0.7700,0.7700,0.7900,2.00,9878.00
2026-03-05 16:24:00,,,,,,0.7700,0.00,9878.00
2026-03-05 16:25:00,,,,,,0.7700,0.00,9878.00
2026-03-05 16:26:00,,,,,,0.7700,0.00,9878.00
2026-03-05 16:27:00,0.7900,0.7900,0.7900,0.7900,0.7900,0.7700,24.00,9902.00
2026-03-05 16:28:00,,,,,,0.7900,0.00,9902.00
2026-03-05 16:29:00,,,,,,0.7900,0.00,9902.00
2026-03-05 16:30:00,0.7900,0.7900,0.7900,0.7900,0.7900,0.7900,1.00,9903.00
2026-03-05 16:31:00,,,,,,0.7900,0.00,9903.00
2026-03-05 16:32:00,,,,,,0.7900,0.00,9903.00
2026-03-05 16:33:00,0.7900,0.7900,0.7900,0.7900,0.7900,0.7900,11.00,9914.00
2026-03-05 16:34:00,,,,,,0.7900,0.00,9914.00
2026-03-05 16:35:00,,,,,,0.7900,0.00,9914.00
2026-03-05 16:36:00,0.7900,0.7900,0.7900,0.7900,0.7900,0.7900,5.00,9919.00
2026-03-05 16:39:00,,,,,,0.7900,0.00,9919.00
2026-03-05 16:40:00,,,,,,0.7900,0.00,9919.00
2026-03-05 16:41:00,,,,,,0.7900,0.00,9919.00
2026-03-05 16:42:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7900,50.00,9969.00
2026-03-05 16:43:00,,,,,,0.7800,0.00,9969.00
2026-03-05 16:44:00,,,,,,0.7800,0.00,9969.00
2026-03-05 16:45:00,0.7800,0.7800,0.8100,0.8100,0.7961,0.7800,6992.00,16961.00
2026-03-05 16:46:00,,,,,,0.8100,0.00,16961.00
2026-03-05 16:47:00,0.7900,0.7900,0.7900,0.7900,0.7900,0.8100,1729.00,18690.00
2026-03-05 16:48:00,0.7900,0.7900,0.7900,0.7900,0.7900,0.7900,150.00,18840.00
2026-03-05 16:49:00,0.7900,0.7900,0.7900,0.7900,0.7900,0.7900,847.00,19687.00
2026-03-05 16:50:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.7900,49.00,19736.00
2026-03-05 16:52:00,0.8100,0.8100,0.8100,0.8100,0.8100,0.8000,135.00,19871.00
2026-03-05 16:53:00,0.8100,0.8000,0.8100,0.8000,0.8064,0.8100,28.00,19889.00
2026-03-05 16:54:00,0.8000,0.7900,0.8100,0.8100,0.8096,0.8000,2540.00,22429.00
2026-03-05 16:55:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.8100,500.00,22929.00
2026-03-05 16:56:00,0.8100,0.8100,0.8100,0.8100,0.8100,0.8000,486.00,23415.00
2026-03-05 16:57:00,,,,,,0.8100,0.00,23415.00
2026-03-05 16:58:00,,,,,,0.8100,0.00,23415.00
2026-03-05 16:59:00,0.7900,0.7800,0.7900,0.7900,0.7898,0.8100,56.00,23471.00
2026-03-05 17:00:00,0.7800,0.7800,0.8000,0.8000,0.7922,0.7900,1050.00,24521.00
