end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-03-05 14:35:00,,,,,,0.3600,0.00,1187.00
2026-03-05 14:36:00,,,,,,0.3600,0.00,1187.00
2026-03-05 14:38:00,,,,,,0.3600,0.00,1187.00
2026-03-05 14:39:00,,,,,,0.3600,0.00,1187.00
2026-03-05 14:41:00,,,,,,0.3600,0.00,1187.00
2026-03-05 14:42:00,,,,,,0.3600,0.00,1187.00
2026-03-05 14:43:00,,,,,,0.3600,0.00,1187.00
2026-03-05 14:45:00,,,,,,0.3600,0.00,1187.00
2026-03-05 14:47:00,,,,,,0.3600,0.00,1187.00
2026-03-05 14:48:00,,,,,,0.3600,0.00,1187.00
2026-03-05 14:49:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3600,13.00,1200.00
2026-03-05 14:55:00,,,,,,0.3500,0.00,1200.00
2026-03-05 14:56:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3500,409.00,1609.00
2026-03-05 14:57:00,,,,,,0.3500,0.00,1609.00
2026-03-05 14:58:00,,,,,,0.3500,0.00,1609.00
2026-03-05 14:59:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3500,26.00,1635.00
2026-03-05 15:00:00,,,,,,0.3600,0.00,1635.00
2026-03-05 15:01:00,,,,,,0.3600,0.00,1635.00
2026-03-05 15:02:00,,,,,,0.3600,0.00,1635.00
2026-03-05 15:03:00,,,,,,0.3600,0.00,1635.00
2026-03-05 15:04:00,,,,,,0.3600,0.00,1635.00
2026-03-05 15:05:00,,,,,,0.3600,0.00,1635.00
2026-03-05 15:06:00,0.3700,0.3700,0.3700,0.3700,0.3700,0.3600,2.00,1637.00
2026-03-05 15:07:00,,,,,,0.3700,0.00,1637.00
2026-03-05 15:08:00,,,,,,0.3700,0.00,1637.00
2026-03-05 15:10:00,,,,,,0.3700,0.00,1637.00
2026-03-05 15:11:00,,,,,,0.3700,0.00,1637.00
2026-03-05 15:14:00,,,,,,0.3700,0.00,1637.00
2026-03-05 15:15:00,,,,,,0.3700,0.00,1637.00
2026-03-05 15:16:00,,,,,,0.3700,0.00,1637.00
2026-03-05 15:17:00,,,,,,0.3700,0.00,1637.00
2026-03-05 15:18:00,,,,,,0.3700,0.00,1637.00
2026-03-05 15:19:00,,,,,,0.3700,0.00,1637.00
2026-03-05 15:21:00,0.3700,0.3700,0.3700,0.3700,0.3700,0.3700,1.00,1638.00
2026-03-05 15:22:00,,,,,,0.3700,0.00,1638.00
2026-03-05 15:23:00,,,,,,0.3700,0.00,1638.00
2026-03-05 15:24:00,0.3700,0.3700,0.3700,0.3700,0.3700,0.3700,7.00,1645.00
2026-03-05 15:25:00,,,,,,0.3700,0.00,1645.00
2026-03-05 15:27:00,,,,,,0.3700,0.00,1645.00
2026-03-05 15:30:00,,,,,,0.3700,0.00,1645.00
2026-03-05 15:31:00,,,,,,0.3700,0.00,1645.00
2026-03-05 15:33:00,,,,,,0.3700,0.00,1645.00
2026-03-05 15:34:00,,,,,,0.3700,0.00,1645.00
2026-03-05 15:35:00,,,,,,0.3700,0.00,1645.00
2026-03-05 15:36:00,,,,,,0.3700,0.00,1645.00
2026-03-05 15:37:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3700,2.00,1647.00
2026-03-05 15:38:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3500,4.00,1651.00
2026-03-05 15:39:00,,,,,,0.3500,0.00,1651.00
2026-03-05 15:40:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3500,21.00,1672.00
2026-03-05 15:41:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3500,54.00,1726.00
2026-03-05 15:42:00,0.3500,0.3400,0.3500,0.3400,0.3422,0.3500,9.00,1735.00
2026-03-05 15:43:00,,,,,,0.3400,0.00,1735.00
2026-03-05 15:44:00,,,,,,0.3400,0.00,1735.00
2026-03-05 15:45:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,140.00,1875.00
2026-03-05 15:46:00,0.3500,0.3400,0.3700,0.3700,0.3511,0.3400,435.00,2310.00
2026-03-05 15:47:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3700,20.00,2330.00
2026-03-05 15:48:00,,,,,,0.3400,0.00,2330.00
2026-03-05 15:49:00,,,,,,0.3400,0.00,2330.00
2026-03-05 15:50:00,0.3500,0.3400,0.3900,0.3900,0.3627,0.3400,66.00,2387.00
2026-03-05 15:51:00,0.3700,0.3700,0.4000,0.4000,0.3730,0.3900,400.00,2750.00
2026-03-05 15:52:00,0.4000,0.3700,0.4000,0.3700,0.3808,0.4000,1343.00,4005.00
2026-03-05 15:53:00,0.3400,0.3400,0.3500,0.3500,0.3484,0.3700,263.00,4255.00
2026-03-05 15:54:00,0.3800,0.3800,0.4000,0.4000,0.3884,0.3500,1418.00,5644.00
2026-03-05 15:55:00,0.3800,0.3800,0.4200,0.4200,0.3936,0.4000,359.00,5908.00
2026-03-05 15:56:00,0.4200,0.4100,0.4600,0.4600,0.4298,0.4200,266.00,6079.00
2026-03-05 15:57:00,0.4500,0.4500,0.4800,0.4800,0.4719,0.4600,86.00,6093.00
2026-03-05 15:58:00,0.4800,0.4400,0.5300,0.5300,0.5142,0.4800,3776.00,9391.00
2026-03-05 15:59:00,0.4900,0.4800,0.5400,0.4800,0.5013,0.5300,21845.00,31236.00
2026-03-05 16:00:00,0.4600,0.4600,0.5400,0.5400,0.4903,0.4800,408.00,31633.00
2026-03-05 16:01:00,0.5300,0.4400,0.5300,0.4400,0.4774,0.5400,2085.00,33718.00
2026-03-05 16:02:00,0.4400,0.4400,0.4900,0.4900,0.4621,0.4400,262.00,33785.00
2026-03-05 16:03:00,0.5200,0.4800,0.5500,0.4800,0.5054,0.4900,342.00,33927.00
2026-03-05 16:04:00,0.4800,0.4500,0.4800,0.4500,0.4754,0.4800,1319.00,35208.00
2026-03-05 16:05:00,0.4100,0.3900,0.4200,0.4100,0.4114,0.4500,502.00,35528.00
2026-03-05 16:06:00,0.3600,0.3400,0.3600,0.3400,0.3600,0.4100,5069.00,40542.00
2026-03-05 16:07:00,0.3200,0.2800,0.3200,0.3000,0.3015,0.3400,812.00,40991.00
2026-03-05 16:08:00,0.2900,0.2900,0.3200,0.2900,0.3045,0.3000,96.00,41019.00
2026-03-05 16:09:00,0.2600,0.2500,0.2600,0.2500,0.2561,0.2900,59.00,40996.00
2026-03-05 16:10:00,0.2600,0.2400,0.2600,0.2600,0.2595,0.2500,558.00,41418.00
2026-03-05 16:11:00,0.2700,0.2300,0.2700,0.2300,0.2555,0.2600,96.00,41514.00
2026-03-05 16:12:00,0.2200,0.2000,0.2300,0.2000,0.2001,0.2300,3172.00,38398.00
2026-03-05 16:13:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2000,1.00,38399.00
2026-03-05 16:14:00,0.2200,0.2200,0.2300,0.2300,0.2300,0.2400,661.00,39060.00
2026-03-05 16:15:00,0.2200,0.1900,0.2200,0.1900,0.2134,0.2300,110.00,39150.00
2026-03-05 16:16:00,0.1700,0.1700,0.1900,0.1800,0.1858,0.1900,524.00,39550.00
2026-03-05 16:17:00,0.2000,0.2000,0.2400,0.2400,0.2025,0.1800,5884.00,45409.00
2026-03-05 16:18:00,0.2400,0.2200,0.2700,0.2500,0.2394,0.2400,655.00,45214.00
2026-03-05 16:19:00,0.2600,0.2600,0.2600,0.2600,0.2600,0.2500,19.00,45233.00
2026-03-05 16:20:00,0.2600,0.2500,0.2600,0.2500,0.2591,0.2600,211.00,45424.00
2026-03-05 16:21:00,0.2300,0.2300,0.2300,0.2300,0.2300,0.2500,400.00,45824.00
2026-03-05 16:22:00,0.2300,0.1900,0.2400,0.1900,0.2192,0.2300,931.00,46755.00
2026-03-05 16:23:00,0.2000,0.2000,0.2000,0.2000,0.2000,0.1900,1.00,46756.00
2026-03-05 16:24:00,0.1800,0.1500,0.1800,0.1500,0.1674,0.2000,107.00,46838.00
2026-03-05 16:25:00,0.1600,0.1600,0.1900,0.1900,0.1882,0.1500,616.00,47418.00
2026-03-05 16:26:00,0.1900,0.1300,0.1900,0.1300,0.1383,0.1900,1115.00,47268.00
2026-03-05 16:27:00,0.1800,0.1800,0.1900,0.1900,0.1840,0.1300,270.00,47538.00
2026-03-05 16:28:00,0.1800,0.1800,0.1800,0.1800,0.1800,0.1900,1359.00,48897.00
2026-03-05 16:29:00,0.1800,0.1800,0.2000,0.2000,0.1996,0.1800,1713.00,48932.00
2026-03-05 16:30:00,0.2000,0.2000,0.2000,0.2000,0.2000,0.2000,5.00,48932.00
2026-03-05 16:31:00,0.2000,0.2000,0.2700,0.2700,0.2167,0.2000,6818.00,52191.00
2026-03-05 16:32:00,0.2700,0.2700,0.3200,0.3100,0.2993,0.2700,8623.00,60685.00
2026-03-05 16:33:00,0.3100,0.2900,0.3500,0.3500,0.3438,0.3100,5328.00,64737.00
2026-03-05 16:34:00,0.3500,0.3500,0.3900,0.3900,0.3729,0.3500,575.00,65312.00
2026-03-05 16:35:00,0.3500,0.3500,0.3800,0.3700,0.3505,0.3900,1907.00,67138.00
2026-03-05 16:36:00,0.3900,0.3900,0.4200,0.4200,0.4122,0.3700,3394.00,70139.00
2026-03-05 16:37:00,0.4000,0.3300,0.4300,0.3300,0.3753,0.4200,814.00,70830.00
2026-03-05 16:38:00,0.3700,0.2600,0.3800,0.3200,0.3007,0.3300,787.00,71128.00
2026-03-05 16:39:00,0.3400,0.2800,0.3400,0.2800,0.3194,0.3200,1075.00,72089.00
2026-03-05 16:40:00,0.2800,0.2600,0.3800,0.3800,0.3200,0.2800,2200.00,71314.00
2026-03-05 16:41:00,0.3800,0.3200,0.3800,0.3200,0.3655,0.3800,743.00,71983.00
2026-03-05 16:42:00,0.3300,0.3300,0.3500,0.3400,0.3392,0.3200,3452.00,75435.00
2026-03-05 16:43:00,0.3600,0.3300,0.4300,0.4300,0.4267,0.3400,5753.00,81110.00
2026-03-05 16:44:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4300,316.00,81426.00
2026-03-05 16:45:00,0.4300,0.4100,0.4300,0.4200,0.4223,0.4200,2032.00,83278.00
2026-03-05 16:46:00,0.4200,0.4200,0.4800,0.4500,0.4695,0.4200,1398.00,84654.00
2026-03-05 16:47:00,0.4500,0.4400,0.5000,0.4400,0.4799,0.4500,1070.00,85456.00
2026-03-05 16:48:00,0.4500,0.3400,0.4500,0.3400,0.3618,0.4400,2185.00,86866.00
2026-03-05 16:49:00,0.3400,0.3400,0.3800,0.3800,0.3460,0.3400,3688.00,90003.00
2026-03-05 16:50:00,0.3500,0.3200,0.3500,0.3500,0.3391,0.3800,587.00,90376.00
2026-03-05 16:51:00,0.3400,0.2700,0.3400,0.3100,0.2963,0.3500,738.00,90297.00
2026-03-05 16:52:00,0.3100,0.3100,0.3700,0.3600,0.3493,0.3100,1522.00,90703.00
2026-03-05 16:53:00,0.3900,0.3100,0.4200,0.3300,0.3537,0.3600,1727.00,91146.00
2026-03-05 16:54:00,0.3700,0.3700,0.4000,0.4000,0.3982,0.3300,4199.00,87685.00
2026-03-05 16:55:00,0.4200,0.4000,0.4200,0.4100,0.4028,0.4000,1241.00,87082.00
2026-03-05 16:56:00,0.4000,0.4000,0.4200,0.4200,0.4103,0.4100,373.00,87437.00
2026-03-05 16:57:00,0.4000,0.3600,0.4000,0.4000,0.3718,0.4200,686.00,87549.00
2026-03-05 16:58:00,0.4200,0.4200,0.4800,0.4800,0.4703,0.4000,1063.00,88300.00
2026-03-05 16:59:00,0.4600,0.4200,0.4900,0.4900,0.4373,0.4800,862.00,88956.00
2026-03-05 17:00:00,0.4900,0.4200,0.5000,0.4200,0.4373,0.4900,3510.00,91547.00
2026-03-05 17:01:00,0.3600,0.3200,0.3800,0.3400,0.3423,0.4200,3122.00,94017.00
2026-03-05 17:02:00,0.3500,0.3500,0.4200,0.4200,0.3970,0.3400,4983.00,98719.00
2026-03-05 17:03:00,0.3900,0.3400,0.4100,0.4100,0.3684,0.4200,1075.00,99641.00
2026-03-05 17:04:00,0.4100,0.3500,0.4600,0.3500,0.4058,0.4100,5871.00,105040.00
2026-03-05 17:05:00,0.3500,0.2700,0.3500,0.2700,0.2898,0.3500,1659.00,106238.00
2026-03-05 17:06:00,0.2600,0.2100,0.2600,0.2200,0.2145,0.2700,1681.00,106095.00
2026-03-05 17:07:00,0.2500,0.2500,0.3400,0.3400,0.2771,0.2200,1462.00,107502.00
2026-03-05 17:08:00,0.3400,0.3300,0.4600,0.4600,0.3774,0.3400,2904.00,109944.00
2026-03-05 17:09:00,0.4900,0.4200,0.5300,0.5300,0.5205,0.4600,3093.00,109387.00
2026-03-05 17:10:00,0.5300,0.5200,0.6000,0.5900,0.5682,0.5300,5855.00,111404.00
2026-03-05 17:11:00,0.5900,0.5800,0.6000,0.5900,0.5954,0.5900,7325.00,114091.00
2026-03-05 17:12:00,0.5800,0.5800,0.5900,0.5900,0.5896,0.5900,1391.00,115372.00
2026-03-05 17:13:00,0.5900,0.5400,0.5900,0.5500,0.5675,0.5900,2916.00,115133.00
2026-03-05 17:14:00,0.5800,0.5500,0.5900,0.5800,0.5756,0.5500,1111.00,115888.00
2026-03-05 17:15:00,0.5600,0.4500,0.5800,0.5500,0.5713,0.5800,5782.00,121179.00
2026-03-05 17:16:00,0.5600,0.5600,0.5900,0.5600,0.5705,0.5500,3031.00,122296.00
2026-03-05 17:17:00,0.5600,0.5000,0.5600,0.5200,0.5339,0.5600,405.00,122279.00
2026-03-05 17:18:00,0.5100,0.4900,0.5200,0.4900,0.5096,0.5200,1737.00,121026.00
2026-03-05 17:19:00,0.5100,0.5100,0.5600,0.5600,0.5331,0.4900,2762.00,122430.00
2026-03-05 17:20:00,0.6000,0.3700,0.6100,0.5600,0.5300,0.5600,2675.00,124488.00
2026-03-05 17:21:00,0.5600,0.5400,0.5900,0.5900,0.5805,0.5600,648.00,125125.00
2026-03-05 17:22:00,0.5900,0.5900,0.7000,0.6300,0.6562,0.5900,5167.00,130177.00
2026-03-05 17:23:00,0.6300,0.6000,0.6600,0.6600,0.6198,0.6300,2175.00,129907.00
2026-03-05 17:24:00,0.6600,0.6600,0.7400,0.7300,0.7202,0.6600,1925.00,131621.00
2026-03-05 17:25:00,0.7300,0.7200,0.7500,0.7500,0.7235,0.7300,4736.00,132437.00
2026-03-05 17:26:00,0.7900,0.7600,0.8100,0.8100,0.8026,0.7500,4349.00,136495.00
2026-03-05 17:27:00,0.8100,0.8100,0.8200,0.8200,0.8148,0.8100,2017.00,137322.00
2026-03-05 17:28:00,0.8200,0.7800,0.8200,0.8200,0.8021,0.8200,2487.00,139165.00
2026-03-05 17:29:00,0.8100,0.7800,0.8300,0.8100,0.8006,0.8200,1899.00,139414.00
2026-03-05 17:30:00,0.8300,0.8100,0.8700,0.8500,0.8545,0.8100,2488.00,140698.00
2026-03-05 17:31:00,0.8500,0.7800,0.8600,0.7800,0.8225,0.8500,1251.00,141216.00
2026-03-05 17:32:00,0.7900,0.7500,0.8000,0.7600,0.7622,0.7800,3556.00,144713.00
2026-03-05 17:33:00,0.7600,0.7500,0.7600,0.7600,0.7589,0.7600,2037.00,146312.00
2026-03-05 17:34:00,0.7600,0.7100,0.7900,0.7900,0.7606,0.7600,6351.00,152204.00
2026-03-05 17:35:00,0.7900,0.6600,0.8000,0.6600,0.7214,0.7900,3673.00,154820.00
2026-03-05 17:36:00,0.6600,0.6000,0.6600,0.6100,0.6436,0.6600,996.00,155241.00
2026-03-05 17:37:00,0.6200,0.5700,0.6300,0.5900,0.5939,0.6100,7778.00,155962.00
2026-03-05 17:38:00,0.5900,0.5800,0.6300,0.5800,0.6078,0.5900,6045.00,157067.00
2026-03-05 17:39:00,0.5900,0.5900,0.6400,0.5900,0.6129,0.5800,7138.00,159943.00
2026-03-05 17:40:00,0.5900,0.4900,0.5900,0.4900,0.5393,0.5900,7497.00,162014.00
2026-03-05 17:41:00,0.5100,0.5000,0.5100,0.5100,0.5054,0.4900,315.00,162039.00
2026-03-05 17:42:00,0.5100,0.4900,0.5100,0.5000,0.4956,0.5100,6800.00,166802.00
2026-03-05 17:43:00,0.5400,0.5000,0.5400,0.5000,0.5324,0.5000,2342.00,168909.00
2026-03-05 17:44:00,0.4600,0.4300,0.5000,0.4900,0.4452,0.5000,7618.00,172383.00
2026-03-05 17:45:00,0.4900,0.4900,0.5900,0.5800,0.5600,0.4900,6969.00,179126.00
2026-03-05 17:46:00,0.5900,0.5500,0.6200,0.5600,0.5683,0.5800,4926.00,183477.00
2026-03-05 17:47:00,0.6000,0.5000,0.6000,0.5000,0.5224,0.5600,1883.00,185277.00
2026-03-05 17:48:00,0.5000,0.4600,0.5000,0.4900,0.4777,0.5000,3326.00,185966.00
2026-03-05 17:49:00,0.4900,0.4800,0.4900,0.4900,0.4805,0.4900,6169.00,186641.00
2026-03-05 17:50:00,0.4700,0.4700,0.5300,0.5300,0.5039,0.4900,3471.00,189841.00
2026-03-05 17:51:00,0.5500,0.5500,0.5900,0.5900,0.5777,0.5300,2759.00,192600.00
2026-03-05 17:52:00,0.5700,0.5400,0.5700,0.5400,0.5608,0.5900,3978.00,196462.00
2026-03-05 17:53:00,0.5400,0.4500,0.5400,0.4700,0.4713,0.5400,1957.00,197238.00
