end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-03-08 12:59:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,1923.00,6237.00
2026-03-08 13:01:00,,,,,,0.7600,0.00,6237.00
2026-03-08 13:02:00,,,,,,0.7600,0.00,6237.00
2026-03-08 13:07:00,,,,,,0.7600,0.00,6237.00
2026-03-08 13:09:00,,,,,,0.7600,0.00,6237.00
2026-03-08 13:15:00,,,,,,0.7600,0.00,6237.00
2026-03-08 13:16:00,,,,,,0.7600,0.00,6237.00
2026-03-08 13:17:00,,,,,,0.7600,0.00,6237.00
2026-03-08 13:18:00,,,,,,0.7600,0.00,6237.00
2026-03-08 13:19:00,0.7500,0.7400,0.7500,0.7400,0.7496,0.7600,26.00,6263.00
2026-03-08 13:20:00,0.7300,0.7300,0.7300,0.7300,0.7300,0.7400,74.00,6263.00
2026-03-08 13:21:00,,,,,,0.7300,0.00,6263.00
2026-03-08 13:22:00,0.7500,0.7500,0.7500,0.7500,0.7500,0.7300,47.00,6310.00
2026-03-08 13:23:00,,,,,,0.7500,0.00,6310.00
2026-03-08 13:24:00,,,,,,0.7500,0.00,6310.00
2026-03-08 13:25:00,,,,,,0.7500,0.00,6310.00
2026-03-08 13:27:00,0.7500,0.7500,0.7500,0.7500,0.7500,0.7500,6.00,6316.00
2026-03-08 13:28:00,,,,,,0.7500,0.00,6316.00
2026-03-08 13:29:00,,,,,,0.7500,0.00,6316.00
2026-03-08 13:30:00,0.7500,0.7500,0.7500,0.7500,0.7500,0.7500,129.00,6445.00
2026-03-08 13:31:00,,,,,,0.7500,0.00,6445.00
2026-03-08 13:32:00,,,,,,0.7500,0.00,6445.00
2026-03-08 13:33:00,,,,,,0.7500,0.00,6445.00
2026-03-08 13:34:00,0.7500,0.7500,0.7500,0.7500,0.7500,0.7500,38.00,6483.00
2026-03-08 13:35:00,,,,,,0.7500,0.00,6483.00
2026-03-08 13:38:00,0.7500,0.7500,0.7500,0.7500,0.7500,0.7500,26.00,6509.00
2026-03-08 13:40:00,0.7500,0.7500,0.7500,0.7500,0.7500,0.7500,230.00,6739.00
2026-03-08 13:41:00,0.7500,0.7500,0.7500,0.7500,0.7500,0.7500,50.00,6789.00
2026-03-08 13:42:00,0.7500,0.7400,0.7500,0.7400,0.7400,0.7500,367.00,7155.00
2026-03-08 13:43:00,0.7500,0.7500,0.7500,0.7500,0.7500,0.7400,100.00,7255.00
2026-03-08 13:44:00,0.7500,0.7500,0.7500,0.7500,0.7500,0.7500,1720.00,8975.00
2026-03-08 13:46:00,0.7500,0.7500,0.7500,0.7500,0.7500,0.7500,3.00,8978.00
2026-03-08 13:47:00,0.7500,0.7500,0.7500,0.7500,0.7500,0.7500,45.00,9023.00
2026-03-08 13:48:00,,,,,,0.7500,0.00,9023.00
2026-03-08 13:52:00,0.7500,0.7500,0.7600,0.7600,0.7581,0.7500,2257.00,11280.00
2026-03-08 13:54:00,,,,,,0.7600,0.00,11280.00
2026-03-08 14:01:00,,,,,,0.7600,0.00,11280.00
2026-03-08 14:02:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,37.00,11317.00
2026-03-08 14:04:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,584.00,11901.00
2026-03-08 14:05:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,7.00,11908.00
2026-03-08 14:06:00,0.7500,0.7500,0.7500,0.7500,0.7500,0.7600,3.00,11911.00
2026-03-08 14:07:00,0.7500,0.7500,0.7600,0.7600,0.7514,0.7500,1501.00,13412.00
2026-03-08 14:08:00,0.7600,0.7400,0.7600,0.7600,0.7573,0.7600,731.00,14143.00
2026-03-08 14:09:00,0.7500,0.7500,0.7500,0.7500,0.7500,0.7600,5.00,14148.00
