end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-03-11 13:46:00,,,,,,0.6300,0.00,37814.00
2026-03-11 13:47:00,,,,,,0.6300,0.00,37814.00
2026-03-11 13:48:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6300,3.00,37817.00
2026-03-11 13:49:00,,,,,,0.6400,0.00,37817.00
2026-03-11 13:50:00,,,,,,0.6400,0.00,37817.00
2026-03-11 13:53:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6400,15.00,37832.00
2026-03-11 13:54:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,769.00,38601.00
2026-03-11 13:55:00,,,,,,0.6300,0.00,38601.00
2026-03-11 13:56:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,12.00,38613.00
2026-03-11 13:57:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,151.00,38764.00
2026-03-11 13:58:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,15.00,38779.00
2026-03-11 14:00:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,97.00,38876.00
2026-03-11 14:01:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,77.00,38953.00
2026-03-11 14:02:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,3.00,38956.00
2026-03-11 14:03:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,154.00,39110.00
2026-03-11 14:04:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,18.00,39128.00
2026-03-11 14:05:00,,,,,,0.6300,0.00,39128.00
2026-03-11 14:07:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,4951.00,44079.00
2026-03-11 14:08:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,107.00,44186.00
2026-03-11 14:09:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,1.00,44187.00
2026-03-11 14:10:00,,,,,,0.6300,0.00,44187.00
2026-03-11 14:11:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,384.00,44571.00
2026-03-11 14:13:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,100.00,44671.00
2026-03-11 14:14:00,,,,,,0.6300,0.00,44671.00
2026-03-11 14:15:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,1.00,44672.00
2026-03-11 14:17:00,0.6300,0.6100,0.6300,0.6100,0.6275,0.6300,443.00,45023.00
2026-03-11 14:18:00,,,,,,0.6100,0.00,45023.00
2026-03-11 14:19:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6100,392.00,45415.00
2026-03-11 14:21:00,0.6100,0.6100,0.6200,0.6200,0.6190,0.6200,39.00,45450.00
2026-03-11 14:23:00,,,,,,0.6200,0.00,45450.00
2026-03-11 14:24:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6200,1.00,45450.00
2026-03-11 14:25:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6100,100.00,45550.00
2026-03-11 14:26:00,,,,,,0.6200,0.00,45550.00
2026-03-11 14:27:00,,,,,,0.6200,0.00,45550.00
2026-03-11 14:28:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6200,9.00,45559.00
2026-03-11 14:30:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6200,156.00,45715.00
2026-03-11 14:31:00,,,,,,0.6200,0.00,45715.00
2026-03-11 14:33:00,,,,,,0.6200,0.00,45715.00
2026-03-11 14:34:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6200,20.00,45735.00
2026-03-11 14:35:00,,,,,,0.6200,0.00,45735.00
2026-03-11 14:36:00,,,,,,0.6200,0.00,45735.00
2026-03-11 14:37:00,0.6100,0.6100,0.6200,0.6200,0.6180,0.6200,386.00,46121.00
2026-03-11 14:38:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6200,19.00,46140.00
2026-03-11 14:39:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6200,78.00,46218.00
2026-03-11 14:40:00,,,,,,0.6200,0.00,46218.00
2026-03-11 14:41:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6200,156.00,46374.00
2026-03-11 14:42:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6200,16.00,46390.00
2026-03-11 14:43:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6200,262.00,46601.00
2026-03-11 14:44:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6200,100.00,46701.00
2026-03-11 14:45:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,2.00,46703.00
2026-03-11 14:46:00,,,,,,0.6300,0.00,46703.00
2026-03-11 14:47:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,4.00,46707.00
2026-03-11 14:48:00,,,,,,0.6300,0.00,46707.00
2026-03-11 14:49:00,,,,,,0.6300,0.00,46707.00
2026-03-11 14:50:00,,,,,,0.6300,0.00,46707.00
2026-03-11 14:51:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,3.00,46710.00
2026-03-11 14:52:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,6.00,46716.00
2026-03-11 14:53:00,,,,,,0.6300,0.00,46716.00
2026-03-11 14:54:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,38.00,46754.00
2026-03-11 14:55:00,,,,,,0.6300,0.00,46754.00
2026-03-11 14:56:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,78.00,46832.00
2026-03-11 14:57:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,19.00,46851.00
2026-03-11 14:58:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,329.00,47180.00
2026-03-11 14:59:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,3680.00,50860.00
2026-03-11 15:00:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,645.00,51505.00
2026-03-11 15:01:00,0.6200,0.6200,0.6300,0.6300,0.6211,0.6300,550.00,51566.00
2026-03-11 15:02:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,220.00,51786.00
2026-03-11 15:03:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,44.00,51830.00
2026-03-11 15:04:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,100.00,51930.00
2026-03-11 15:05:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6300,1036.00,51930.00
2026-03-11 15:06:00,0.6200,0.6100,0.6200,0.6100,0.6151,0.6200,412.00,52270.00
2026-03-11 15:07:00,0.6100,0.6100,0.6200,0.6200,0.6162,0.6100,204.00,52474.00
2026-03-11 15:08:00,0.6200,0.6200,0.6300,0.6300,0.6222,0.6200,688.00,52965.00
2026-03-11 15:09:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6300,10.00,52965.00
2026-03-11 15:10:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6200,62.00,53027.00
