end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-03-12 14:03:00,0.7500,0.7500,0.7500,0.7500,0.7500,0.7500,129.00,11946.00
2026-03-12 14:05:00,0.7500,0.7500,0.7500,0.7500,0.7500,0.7500,100.00,12046.00
2026-03-12 14:06:00,,,,,,0.7500,0.00,12046.00
2026-03-12 14:10:00,,,,,,0.7500,0.00,12046.00
2026-03-12 14:11:00,,,,,,0.7500,0.00,12046.00
2026-03-12 14:13:00,0.7500,0.7500,0.7500,0.7500,0.7500,0.7500,13.00,12059.00
2026-03-12 14:15:00,,,,,,0.7500,0.00,12059.00
2026-03-12 14:16:00,,,,,,0.7500,0.00,12059.00
2026-03-12 14:17:00,,,,,,0.7500,0.00,12059.00
2026-03-12 14:19:00,,,,,,0.7500,0.00,12059.00
2026-03-12 14:22:00,0.7500,0.7500,0.7500,0.7500,0.7500,0.7500,131.00,12190.00
2026-03-12 14:23:00,,,,,,0.7500,0.00,12190.00
2026-03-12 14:27:00,0.7500,0.7500,0.7500,0.7500,0.7500,0.7500,1310.00,13500.00
2026-03-12 14:28:00,,,,,,0.7500,0.00,13500.00
2026-03-12 14:35:00,0.7500,0.7500,0.7500,0.7500,0.7500,0.7500,100.00,13600.00
2026-03-12 14:38:00,0.7400,0.7400,0.7400,0.7400,0.7400,0.7500,34.00,13633.00
2026-03-12 14:39:00,,,,,,0.7400,0.00,13633.00
2026-03-12 14:47:00,0.7500,0.7500,0.7500,0.7500,0.7500,0.7400,260.00,13893.00
2026-03-12 14:54:00,0.7400,0.7400,0.7400,0.7400,0.7400,0.7500,31.00,13924.00
2026-03-12 14:58:00,0.7500,0.7500,0.7500,0.7500,0.7500,0.7400,300.00,14224.00
2026-03-12 15:02:00,0.7500,0.7500,0.7500,0.7500,0.7500,0.7500,500.00,14724.00
2026-03-12 15:10:00,,,,,,0.7500,0.00,14724.00
2026-03-12 15:13:00,0.7500,0.7500,0.7500,0.7500,0.7500,0.7500,52.00,14776.00
2026-03-12 15:20:00,0.7500,0.7500,0.7500,0.7500,0.7500,0.7500,14.00,14790.00
2026-03-12 15:21:00,0.7500,0.7500,0.7500,0.7500,0.7500,0.7500,298.00,15088.00
2026-03-12 15:22:00,0.7500,0.7500,0.7500,0.7500,0.7500,0.7500,1965.00,17053.00
2026-03-12 15:23:00,0.7500,0.7500,0.7500,0.7500,0.7500,0.7500,7.00,17060.00
2026-03-12 15:25:00,0.7500,0.7500,0.7500,0.7500,0.7500,0.7500,32.00,17092.00
2026-03-12 15:26:00,0.7500,0.7500,0.7500,0.7500,0.7500,0.7500,32.00,17124.00
2026-03-12 15:27:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7500,1294.00,18418.00
2026-03-12 15:29:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,30.00,18448.00
2026-03-12 15:30:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,14.00,18462.00
2026-03-12 15:31:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,3.00,18465.00
2026-03-12 15:32:00,0.7500,0.7400,0.7500,0.7400,0.7490,0.7600,326.00,18499.00
2026-03-12 15:33:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7400,18.00,18517.00
2026-03-12 15:34:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,171.00,18688.00
2026-03-12 15:35:00,,,,,,0.7600,0.00,18688.00
2026-03-12 15:36:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,19.00,18707.00
2026-03-12 15:37:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,2.00,18709.00
2026-03-12 15:38:00,,,,,,0.7600,0.00,18709.00
2026-03-12 15:39:00,,,,,,0.7600,0.00,18709.00
2026-03-12 15:40:00,,,,,,0.7600,0.00,18709.00
2026-03-12 15:41:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,50.00,18759.00
2026-03-12 15:42:00,,,,,,0.7600,0.00,18759.00
2026-03-12 15:43:00,,,,,,0.7600,0.00,18759.00
2026-03-12 15:44:00,,,,,,0.7600,0.00,18759.00
2026-03-12 15:45:00,,,,,,0.7600,0.00,18759.00
2026-03-12 15:46:00,,,,,,0.7600,0.00,18759.00
2026-03-12 15:47:00,0.7500,0.7500,0.7500,0.7500,0.7500,0.7600,4847.00,23606.00
2026-03-12 15:48:00,0.7500,0.7500,0.7500,0.7500,0.7500,0.7500,17.00,23623.00
2026-03-12 15:49:00,,,,,,0.7500,0.00,23623.00
2026-03-12 15:50:00,0.7500,0.7500,0.7500,0.7500,0.7500,0.7500,2260.00,25883.00
2026-03-12 15:51:00,0.7500,0.7500,0.7500,0.7500,0.7500,0.7500,220.00,26103.00
2026-03-12 15:53:00,0.7500,0.7500,0.7500,0.7500,0.7500,0.7500,1.00,26104.00
2026-03-12 15:54:00,0.7500,0.7500,0.7500,0.7500,0.7500,0.7500,116.00,26220.00
2026-03-12 15:55:00,0.7500,0.7500,0.7500,0.7500,0.7500,0.7500,466.00,26686.00
2026-03-12 15:56:00,0.7500,0.7500,0.7500,0.7500,0.7500,0.7500,31.00,26717.00
2026-03-12 15:57:00,0.7500,0.7500,0.7500,0.7500,0.7500,0.7500,546.00,27263.00
2026-03-12 15:58:00,0.7500,0.7500,0.7500,0.7500,0.7500,0.7500,110.00,27373.00
2026-03-12 15:59:00,0.7500,0.7500,0.7500,0.7500,0.7500,0.7500,25.00,27398.00
2026-03-12 16:00:00,0.7400,0.7400,0.7500,0.7500,0.7423,0.7500,573.00,27971.00
2026-03-12 16:01:00,0.7500,0.7500,0.7500,0.7500,0.7500,0.7500,612.00,28583.00
