end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-03-12 17:51:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,70.00,30805.00
2026-03-12 17:52:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,168.00,30973.00
2026-03-12 17:53:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,76.00,31049.00
2026-03-12 17:54:00,,,,,,0.6300,0.00,31049.00
2026-03-12 17:55:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,226.00,31275.00
2026-03-12 17:56:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,168.00,31443.00
2026-03-12 17:58:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,50.00,31493.00
2026-03-12 17:59:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,20.00,31513.00
2026-03-12 18:00:00,0.6300,0.6100,0.6300,0.6100,0.6130,0.6300,655.00,32080.00
2026-03-12 18:01:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6100,100.00,32180.00
2026-03-12 18:02:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6200,4.00,32184.00
2026-03-12 18:03:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6200,1323.00,33507.00
2026-03-12 18:04:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6200,5.00,33502.00
2026-03-12 18:07:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6100,10.00,33512.00
2026-03-12 18:10:00,,,,,,0.6200,0.00,33512.00
2026-03-12 18:11:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6200,5.00,33517.00
2026-03-12 18:12:00,,,,,,0.6200,0.00,33517.00
2026-03-12 18:13:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6200,19.00,33536.00
2026-03-12 18:14:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6200,169.00,33705.00
2026-03-12 18:15:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,53.00,33758.00
2026-03-12 18:16:00,,,,,,0.6300,0.00,33758.00
2026-03-12 18:17:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,38.00,33796.00
2026-03-12 18:18:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,15.00,33811.00
2026-03-12 18:20:00,,,,,,0.6300,0.00,33811.00
2026-03-12 18:21:00,,,,,,0.6300,0.00,33811.00
2026-03-12 18:22:00,,,,,,0.6300,0.00,33811.00
2026-03-12 18:23:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,308.00,34119.00
2026-03-12 18:24:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,1220.00,35339.00
2026-03-12 18:27:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6300,119.00,35220.00
2026-03-12 18:28:00,,,,,,0.6100,0.00,35220.00
2026-03-12 18:29:00,,,,,,0.6100,0.00,35220.00
2026-03-12 18:30:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6100,1.00,35221.00
2026-03-12 18:31:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,325.00,35546.00
2026-03-12 18:32:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,2000.00,37546.00
2026-03-12 18:33:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,1800.00,39346.00
2026-03-12 18:34:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,1547.00,40893.00
2026-03-12 18:35:00,,,,,,0.6300,0.00,40893.00
2026-03-12 18:36:00,,,,,,0.6300,0.00,40893.00
2026-03-12 18:37:00,,,,,,0.6300,0.00,40893.00
2026-03-12 18:38:00,,,,,,0.6300,0.00,40893.00
2026-03-12 18:39:00,,,,,,0.6300,0.00,40893.00
2026-03-12 18:40:00,,,,,,0.6300,0.00,40893.00
2026-03-12 18:41:00,,,,,,0.6300,0.00,40893.00
2026-03-12 18:42:00,,,,,,0.6300,0.00,40893.00
2026-03-12 18:43:00,0.6300,0.6200,0.6300,0.6300,0.6208,0.6300,2046.00,41047.00
2026-03-12 18:44:00,,,,,,0.6300,0.00,41047.00
2026-03-12 18:45:00,,,,,,0.6300,0.00,41047.00
2026-03-12 18:46:00,,,,,,0.6300,0.00,41047.00
2026-03-12 18:47:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,25.00,41072.00
2026-03-12 18:48:00,,,,,,0.6300,0.00,41072.00
2026-03-12 18:49:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,23.00,41095.00
2026-03-12 18:50:00,,,,,,0.6300,0.00,41095.00
2026-03-12 18:51:00,,,,,,0.6300,0.00,41095.00
2026-03-12 18:52:00,,,,,,0.6300,0.00,41095.00
2026-03-12 18:53:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,2.00,41097.00
2026-03-12 18:54:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,15.00,41112.00
2026-03-12 18:55:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,38.00,41150.00
2026-03-12 18:57:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,30.00,41180.00
2026-03-12 18:58:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,1115.00,42295.00
2026-03-12 18:59:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,307.00,42602.00
2026-03-12 19:00:00,,,,,,0.6300,0.00,42602.00
2026-03-12 19:01:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,61.00,42663.00
2026-03-12 19:02:00,,,,,,0.6300,0.00,42663.00
2026-03-12 19:03:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,51.00,42714.00
2026-03-12 19:04:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,232.00,42946.00
2026-03-12 19:07:00,,,,,,0.6300,0.00,42946.00
2026-03-12 19:08:00,0.6200,0.6100,0.6300,0.6300,0.6196,0.6300,27.00,42945.00
2026-03-12 19:09:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6300,7.00,42945.00
2026-03-12 19:10:00,,,,,,0.6100,0.00,42945.00
2026-03-12 19:11:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6100,19.00,42964.00
2026-03-12 19:12:00,,,,,,0.6300,0.00,42964.00
2026-03-12 19:14:00,,,,,,0.6300,0.00,42964.00
2026-03-12 19:15:00,0.6100,0.6100,0.6300,0.6300,0.6128,0.6300,392.00,42682.00
2026-03-12 19:16:00,,,,,,0.6300,0.00,42682.00
2026-03-12 19:17:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,7.00,42689.00
2026-03-12 19:19:00,,,,,,0.6300,0.00,42689.00
2026-03-12 19:20:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,169.00,42858.00
2026-03-12 19:21:00,,,,,,0.6300,0.00,42858.00
2026-03-12 19:24:00,,,,,,0.6300,0.00,42858.00
2026-03-12 19:26:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,18.00,42876.00
2026-03-12 19:27:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,3.00,42879.00
2026-03-12 19:28:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,88.00,42967.00
2026-03-12 19:29:00,,,,,,0.6300,0.00,42967.00
2026-03-12 19:30:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,464.00,43431.00
2026-03-12 19:31:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6300,768.00,44199.00
2026-03-12 19:32:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6200,13.00,44212.00
2026-03-12 19:33:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,25.00,44237.00
2026-03-12 19:34:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,3.00,44240.00
2026-03-12 19:35:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,306.00,44546.00
