end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-03-12 12:11:00,0.2300,0.2300,0.2300,0.2300,0.2300,0.2300,2272.00,29496.00
2026-03-12 12:12:00,0.2300,0.2300,0.2300,0.2300,0.2300,0.2300,6319.00,35815.00
2026-03-12 12:13:00,,,,,,0.2300,0.00,35815.00
2026-03-12 12:14:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2300,387.00,36202.00
2026-03-12 12:15:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,20.00,36222.00
2026-03-12 12:16:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,39.00,36261.00
2026-03-12 12:17:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,59.00,36320.00
2026-03-12 12:18:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,3.00,36323.00
2026-03-12 12:19:00,,,,,,0.2400,0.00,36323.00
2026-03-12 12:20:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,199.00,36522.00
2026-03-12 12:21:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,395.00,36917.00
2026-03-12 12:22:00,,,,,,0.2400,0.00,36917.00
2026-03-12 12:23:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,118.00,37035.00
2026-03-12 12:24:00,,,,,,0.2400,0.00,37035.00
2026-03-12 12:25:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,201.00,37236.00
2026-03-12 12:26:00,,,,,,0.2400,0.00,37236.00
2026-03-12 12:27:00,,,,,,0.2400,0.00,37236.00
2026-03-12 12:28:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,19.00,37255.00
2026-03-12 12:29:00,,,,,,0.2400,0.00,37255.00
2026-03-12 12:30:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,3.00,37258.00
2026-03-12 12:31:00,,,,,,0.2400,0.00,37258.00
2026-03-12 12:32:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,11.00,37269.00
2026-03-12 12:33:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,106.00,37375.00
2026-03-12 12:34:00,,,,,,0.2400,0.00,37375.00
2026-03-12 12:35:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,1948.00,39323.00
2026-03-12 12:36:00,,,,,,0.2400,0.00,39323.00
2026-03-12 12:37:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,533.00,39856.00
2026-03-12 12:38:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,39.00,39895.00
2026-03-12 12:39:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,3558.00,43453.00
2026-03-12 12:40:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,100.00,43553.00
2026-03-12 12:41:00,,,,,,0.2400,0.00,43553.00
2026-03-12 12:42:00,,,,,,0.2400,0.00,43553.00
2026-03-12 12:43:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,5.00,43558.00
2026-03-12 12:44:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,39.00,43597.00
2026-03-12 12:45:00,0.2300,0.2300,0.2300,0.2300,0.2300,0.2400,118.00,43597.00
2026-03-12 12:46:00,0.2300,0.2300,0.2300,0.2300,0.2300,0.2300,6.00,43603.00
2026-03-12 12:48:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2300,623.00,44226.00
2026-03-12 12:49:00,0.2300,0.2300,0.2300,0.2300,0.2300,0.2400,115.00,44341.00
2026-03-12 12:51:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2300,19.00,44360.00
2026-03-12 12:52:00,,,,,,0.2400,0.00,44360.00
2026-03-12 12:53:00,,,,,,0.2400,0.00,44360.00
2026-03-12 12:54:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,1186.00,45546.00
2026-03-12 12:55:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,39.00,45585.00
2026-03-12 12:56:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,39.00,45624.00
2026-03-12 12:57:00,0.2300,0.2300,0.2400,0.2400,0.2399,0.2400,751.00,46375.00
2026-03-12 12:59:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,362.00,46737.00
2026-03-12 13:00:00,,,,,,0.2400,0.00,46737.00
2026-03-12 13:01:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,217.00,46954.00
2026-03-12 13:02:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,400.00,47354.00
2026-03-12 13:03:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,3.00,47357.00
2026-03-12 13:05:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,3865.00,51222.00
2026-03-12 13:07:00,,,,,,0.2400,0.00,51222.00
2026-03-12 13:09:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,197.00,51419.00
2026-03-12 13:10:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,192.00,51611.00
2026-03-12 13:13:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,15.00,51626.00
2026-03-12 13:14:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,13.00,51639.00
2026-03-12 13:15:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,50.00,51689.00
2026-03-12 13:16:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,200.00,51889.00
2026-03-12 13:19:00,0.2400,0.2300,0.2400,0.2300,0.2372,0.2400,88.00,51977.00
2026-03-12 13:20:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2300,314.00,52291.00
2026-03-12 13:21:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,617.00,52908.00
2026-03-12 13:23:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,277.00,53185.00
2026-03-12 13:24:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,579.00,53764.00
2026-03-12 13:25:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,395.00,54159.00
2026-03-12 13:26:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,76.00,54235.00
2026-03-12 13:27:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,19.00,54254.00
2026-03-12 13:28:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,288.00,54542.00
2026-03-12 13:31:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,6.00,54548.00
2026-03-12 13:32:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,10.00,54558.00
2026-03-12 13:34:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,19.00,54577.00
2026-03-12 13:37:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,7.00,54584.00
2026-03-12 13:38:00,,,,,,0.2400,0.00,54584.00
2026-03-12 13:40:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,39.00,54623.00
2026-03-12 13:41:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,7.00,54630.00
2026-03-12 13:42:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,576.00,55206.00
2026-03-12 13:43:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,485.00,55691.00
2026-03-12 13:44:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,192.00,55883.00
2026-03-12 13:45:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,1.00,55884.00
2026-03-12 13:46:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,3.00,55887.00
2026-03-12 13:47:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,37.00,55924.00
2026-03-12 13:48:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,85.00,56009.00
2026-03-12 13:50:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,530.00,56539.00
2026-03-12 13:51:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,69.00,56608.00
2026-03-12 13:52:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,79.00,56687.00
2026-03-12 13:53:00,,,,,,0.2400,0.00,56687.00
2026-03-12 13:54:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,895.00,57582.00
2026-03-12 13:55:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,10.00,57592.00
2026-03-12 13:56:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,244.00,57602.00
2026-03-12 13:57:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,68201.00,125803.00
2026-03-12 13:58:00,0.2400,0.2400,0.2500,0.2500,0.2405,0.2400,274.00,126077.00
2026-03-12 13:59:00,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,45.00,126122.00
2026-03-12 14:00:00,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,228.00,126350.00
2026-03-12 14:01:00,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,306.00,126656.00
2026-03-12 14:02:00,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,1402.00,128058.00
2026-03-12 14:03:00,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,322.00,128380.00
