tourney_year_id,tourney_name,tourney_type,year,match_header,match_link,p1_name,p1_id,p1_rank,p2_name,p2_id,p2_rank,winner_name,winner_id,p1_score,p2_score
2023-2843,Adelaide 1,ATP 250,2023,Finals -,https://www.atptour.com/en/scores/stats-centre/archive/2023/2843/ms001,Novak Djokovic,d643,1,Sebastian Korda,k0ah,,Novak Djokovic,d643,6;7;6,7;6;4
2023-2843,Adelaide 1,ATP 250,2023,Semi-Finals -,https://www.atptour.com/en/scores/stats-centre/archive/2023/2843/ms002,Novak Djokovic,d643,1,Daniil Medvedev,mm58,3,Novak Djokovic,d643,6;6,3;4
2023-2843,Adelaide 1,ATP 250,2023,Semi-Finals -,https://www.atptour.com/en/scores/stats-centre/archive/2023/2843/ms003,Sebastian Korda,k0ah,,Yoshihito Nishioka,n732,,Sebastian Korda,k0ah,7;1,6;0
2023-2843,Adelaide 1,ATP 250,2023,Quarter-Finals -,https://www.atptour.com/en/scores/stats-centre/archive/2023/2843/ms004,Novak Djokovic,d643,1,Denis Shapovalov,su55,7,Novak Djokovic,d643,6;6,3;4
2023-2843,Adelaide 1,ATP 250,2023,Quarter-Finals -,https://www.atptour.com/en/scores/stats-centre/archive/2023/2843/ms005,Daniil Medvedev,mm58,3,Karen Khachanov,ke29,8,Daniil Medvedev,mm58,6;6,3;3
2023-2843,Adelaide 1,ATP 250,2023,Quarter-Finals -,https://www.atptour.com/en/scores/stats-centre/archive/2023/2843/ms006,Sebastian Korda,k0ah,,Jannik Sinner,s0ag,6,Sebastian Korda,k0ah,7;6,5;1
2023-2843,Adelaide 1,ATP 250,2023,Quarter-Finals -,https://www.atptour.com/en/scores/stats-centre/archive/2023/2843/ms007,Yoshihito Nishioka,n732,,Alexei Popyrin,p09z,Q,Yoshihito Nishioka,n732,7;6;6,6;7;2
2023-2843,Adelaide 1,ATP 250,2023,Round of 16 -,https://www.atptour.com/en/scores/stats-centre/archive/2023/2843/ms008,Novak Djokovic,d643,1,Quentin Halys,hb64,,Novak Djokovic,d643,7;7,6;6
2023-2843,Adelaide 1,ATP 250,2023,Round of 16 -,https://www.atptour.com/en/scores/stats-centre/archive/2023/2843/ms010,Daniil Medvedev,mm58,3,Miomir Kecmanovic,ki95,,Daniil Medvedev,mm58,6;6,0;3
2023-2843,Adelaide 1,ATP 250,2023,Round of 16 -,https://www.atptour.com/en/scores/stats-centre/archive/2023/2843/ms012,Jannik Sinner,s0ag,6,Thanasi Kokkinakis,kd46,WC,Jannik Sinner,s0ag,7;6,6;4
