match_id,p1_won_set1,p1_prob,outcome,brier
8861,True,1.0,1,0.0
8863,True,0.9502,1,0.0024800399999999954
8866,False,0.0572,1,0.88887184
8869,False,0.0394,0,0.0015523599999999998
8873,True,0.9002,1,0.00996004
8876,False,0.0,0,0.0
8880,True,0.6312,1,0.13601344
8881,True,0.8778,1,0.014932839999999994
8884,True,0.9996,1,1.5999999999996475e-07
8888,True,0.808,1,0.03686399999999998
8892,False,0.2496,0,0.06230015999999999
8893,False,0.176,1,0.6789760000000001
8894,False,0.0446,0,0.0019891600000000002
8895,True,1.0,0,1.0
8897,True,1.0,1,0.0
8898,False,0.0692,0,0.004788639999999999
8902,True,0.9996,1,1.5999999999996475e-07
8903,False,0.0,0,0.0
8904,False,0.3642,0,0.13264164
8905,True,0.9926,1,5.475999999999944e-05
8909,True,0.9968,1,1.0239999999999877e-05
8912,True,0.9954,1,2.1160000000000445e-05
8914,True,0.998,1,4.0000000000000074e-06
8916,False,0.0004,0,1.6e-07
8917,False,0.1234,1,0.7684275600000001
8918,True,0.8056,1,0.03779136000000001
8919,False,0.0068,0,4.624e-05
8920,False,0.0076,0,5.776e-05
8921,False,0.017,0,0.00028900000000000003
8926,False,0.0908,1,0.82664464
8927,False,0.0396,0,0.0015681600000000003
8931,True,0.9858,1,0.00020163999999999973
8932,True,0.9276,1,0.005241760000000003
8936,False,0.1576,0,0.024837759999999997
8938,True,0.8964,1,0.010732960000000005
8939,True,0.9932,1,4.6240000000000384e-05
8943,False,0.0036,0,1.296e-05
8946,False,0.0,1,1.0
8947,False,0.1342,0,0.018009640000000004
8948,True,1.0,1,0.0
8950,False,0.0004,1,0.9992001600000001
8951,True,0.977,1,0.0005290000000000009
8953,False,0.0852,0,0.00725904
8957,False,0.0048,0,2.3039999999999996e-05
8961,False,0.0714,0,0.00509796
8962,True,0.8506,0,0.7235203600000001
8963,False,0.005,0,2.5e-05
8965,True,0.9178,1,0.006756840000000009
8967,False,0.0728,0,0.00529984
8968,False,0.0,0,0.0
8970,True,0.8546,1,0.021141159999999992
8971,False,0.0806,0,0.0064963600000000005
8972,False,0.0024,0,5.759999999999999e-06
8973,True,0.52,1,0.2304
8974,False,0.0398,0,0.00158404
8975,True,1.0,1,0.0
8976,True,0.7792,0,0.60715264
8977,False,0.0056,0,3.136e-05
8979,False,0.0,0,0.0
8982,False,0.0504,0,0.00254016
8983,False,0.0384,0,0.0014745599999999998
8984,False,0.0562,0,0.00315844
8985,True,0.9998,0,0.99960004
8986,True,0.9352,1,0.004199039999999996
8987,True,0.9968,1,1.0239999999999877e-05
8988,False,0.0072,0,5.184e-05
8989,False,0.0,0,0.0
8990,False,0.0076,0,5.776e-05
8992,True,0.9384,1,0.0037945599999999985
8993,False,0.0002,0,4e-08
8995,False,0.0448,1,0.9124070400000001
9005,False,0.0,0,0.0
9006,False,0.0128,0,0.00016384
9007,True,0.9324,1,0.004569759999999999
9009,True,0.9998,1,3.9999999999991186e-08
9010,False,0.0046,0,2.116e-05
9024,False,0.2516,0,0.06330256
9052,True,0.9994,0,0.9988003599999999
9064,True,0.9848,0,0.96983104
9065,False,0.0014,0,1.96e-06
9249,True,0.9926,1,5.475999999999944e-05
9253,False,0.0126,1,0.9749587600000001
9257,False,0.512,0,0.262144
9265,True,1.0,0,1.0
9266,False,0.1582,0,0.025027240000000003
9270,False,0.0916,0,0.00839056
9271,False,0.4462,0,0.19909443999999998
9276,False,0.0922,0,0.00850084
9277,True,0.9936,1,4.0959999999999506e-05
9280,False,0.2876,0,0.08271376000000001
9300,True,0.99,0,0.9801
9308,True,0.939,1,0.0037210000000000064
9309,False,0.027,0,0.0007289999999999999
9310,False,0.1068,0,0.011406240000000002
9314,False,0.0052,1,0.98962704
9324,False,0.0036,0,1.296e-05
9325,True,0.9998,1,3.9999999999991186e-08
9330,True,0.9882,1,0.00013924000000000076
9331,True,0.972,1,0.0007840000000000014
9332,True,1.0,1,0.0
9336,True,0.9558,0,0.91355364
9339,False,0.0034,0,1.156e-05
9340,True,0.901,1,0.009800999999999995
9343,True,1.0,1,0.0
9344,False,0.0,0,0.0
9348,False,0.1674,0,0.028022759999999997
9351,True,0.9764,1,0.0005569599999999978
9352,False,0.3228,0,0.10419983999999999
9354,True,0.992,1,6.400000000000012e-05
9357,True,0.9904,1,9.216000000000101e-05
9358,False,0.0046,0,2.116e-05
9362,True,0.719,1,0.07896100000000002
9363,False,0.0064,0,4.096e-05
9364,True,0.9958,1,1.7639999999999845e-05
9365,True,0.8104,1,0.03594816
9366,False,0.0,1,1.0
9367,True,0.992,1,6.400000000000012e-05
9368,True,0.9706,1,0.0008643599999999989
9369,False,0.1936,0,0.03748096
9370,False,0.248,0,0.061503999999999996
9371,False,0.0464,0,0.0021529599999999998
9372,False,0.165,0,0.027225000000000003
9373,False,0.0,0,0.0
9375,False,0.1112,0,0.012365439999999998
9376,False,0.0,0,0.0
9378,False,0.1548,0,0.023963039999999998
9380,False,0.0028,0,7.84e-06
9381,False,0.0108,1,0.9785166399999999
9382,True,0.8366,1,0.026699559999999997
9383,True,0.9426,1,0.0032947600000000007
9385,False,0.0,0,0.0
9386,True,0.9812,1,0.00035344000000000147
9387,False,0.0,0,0.0
9389,False,0.0036,0,1.296e-05
9390,True,0.9584,1,0.0017305599999999975
9391,True,0.9484,1,0.002662559999999998
9392,False,0.0836,0,0.006988959999999999
9394,True,0.9998,1,3.9999999999991186e-08
9395,False,0.0048,0,2.3039999999999996e-05
9397,False,0.1584,0,0.025090560000000005
9399,False,0.0244,0,0.0005953600000000001
9402,False,0.0,0,0.0
9403,False,0.0152,0,0.00023104
9404,True,1.0,1,0.0
9405,True,1.0,1,0.0
9406,False,0.2804,0,0.07862415999999998
9407,False,0.0162,0,0.00026243999999999996
9409,False,0.0104,1,0.9793081600000001
9410,True,0.9066,1,0.008723560000000007
9413,True,1.0,1,0.0
9414,False,0.0682,0,0.004651239999999999
9415,False,0.0,0,0.0
9416,False,0.0268,0,0.0007182400000000001
9417,True,1.0,1,0.0
9419,True,1.0,1,0.0
9420,False,0.2596,1,0.5481921599999999
9421,True,0.988,1,0.00014400000000000025
9422,False,0.0014,0,1.96e-06
9426,True,0.7602,1,0.057504040000000006
9427,False,0.0,0,0.0
9428,True,1.0,1,0.0
9432,False,0.2096,0,0.043932160000000005
9433,True,0.9712,1,0.0008294400000000028
9434,True,1.0,1,0.0
9437,False,0.1992,1,0.64128064
9439,False,0.1008,0,0.01016064
9440,False,0.0,0,0.0
9441,True,0.9924,1,5.7760000000000775e-05
9443,True,0.9848,1,0.00023103999999999974
9445,False,0.049,0,0.0024010000000000004
9447,True,0.9944,1,3.1360000000000554e-05
9450,True,0.9954,1,2.1160000000000445e-05
9451,False,0.126,1,0.763876
9454,True,0.9954,1,2.1160000000000445e-05
9455,True,0.9876,1,0.00015375999999999918
9456,False,0.0,0,0.0
9457,True,1.0,0,1.0
9458,True,0.9942,1,3.3640000000000315e-05
9459,False,0.012,0,0.000144
9460,True,0.9998,0,0.99960004
9463,True,0.9298,1,0.004928040000000006
9464,True,0.977,0,0.954529
9465,False,0.0012,1,0.9976014400000001
9466,True,0.9978,1,4.839999999999911e-06
9467,False,0.1236,0,0.015276960000000001
9468,True,1.0,1,0.0
9471,True,0.6408,1,0.12902463999999997
9472,True,0.9842,0,0.96864964
9473,True,0.8692,1,0.01710864000000001
9474,False,0.115,0,0.013225
9475,False,0.0,0,0.0
9476,False,0.006,0,3.6e-05
9477,False,0.06,0,0.0036
9480,False,0.0002,0,4e-08
9481,True,1.0,1,0.0
9482,True,0.9998,1,3.9999999999991186e-08
9483,True,0.9026,1,0.009486760000000009
9484,False,0.0498,0,0.0024800399999999998
9488,True,0.7576,1,0.05875775999999998
9489,False,0.0,1,1.0
9491,True,0.8986,1,0.01028196000000001
9492,False,0.0,0,0.0
9493,False,0.0748,0,0.005595040000000001
9494,False,0.049,0,0.0024010000000000004
9496,False,0.0008,1,0.99840064
9497,False,0.2324,0,0.05400976
9498,True,1.0,1,0.0
9499,False,0.0896,0,0.00802816
9500,False,0.0038,0,1.444e-05
9501,False,0.0,0,0.0
9503,False,0.1654,0,0.02735716
